a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,12:00,OFF,jump ball,,Marcus Camby,,,Chris Kaman,,,,,,,Andre Miller,,,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,11:47,DEN,foul,,,,,,,,Sam Cassell,,Kenyon Martin,,,,,,offensive,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,11:47,DEN,turnover,,,,,,,,,,Kenyon Martin,,,foul,,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,11:39,LAC,shot,,,J.R. Smith,,,,,,,Sam Cassell,,,,missed,,layup,25,6
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,11:39,LAC,rebound,,,,,,,,,,,,,,,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,11:39,LAC,foul,,,,,,,,Kenyon Martin,,Cuttino Mobley,,,,,,offensive,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,11:39,LAC,turnover,,,,,,,,,,Cuttino Mobley,,,foul,,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,11:27,DEN,shot,,,,,,,,,,J.R. Smith,,,,missed,,3pt,12,29
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,11:25,LAC,rebound,,,,,,,,,,Quinton Ross,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,11:04,LAC,shot,,,,,,,,,,Cuttino Mobley,,,,missed,,jump,23,11
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,11:03,DEN,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,10:54,DEN,shot,Andre Miller,,,,,,,,,Kenyon Martin,2,,,made,,alley oop dunk,25,6
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,10:29,LAC,shot,,,,,,,,,,Sam Cassell,,,,missed,,jump,38,24
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,10:27,DEN,rebound,,,,,,,,,,Kenyon Martin,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,10:18,DEN,shot,,,,,,,,,,Carmelo Anthony,,,,missed,,jump,26,24
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,10:17,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,10:03,LAC,shot,Quinton Ross,,,,,,,,,Chris Kaman,2,,,made,,turnaround hook,33,9
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,9:52,DEN,shot,,,,,,,,,,Marcus Camby,,,,missed,,jump,22,22
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,9:50,LAC,rebound,,,,,,,,,,Cuttino Mobley,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,9:45,LAC,shot,,,,,,,,,,Sam Cassell,2,,,made,,running jump,25,27
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,9:38,LAC,foul,,,,,,,,J.R. Smith,,Sam Cassell,,,,,,personal,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,9:27,DEN,shot,Marcus Camby,,,,,,,,,Carmelo Anthony,2,,,made,,jump,30,12
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,9:20,LAC,shot,,,,,,,,,,Sam Cassell,,,,missed,,jump,35,16
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,9:18,DEN,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,9:12,LAC,foul,,,,,,,,Carmelo Anthony,,Quinton Ross,,,,,,personal,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Sam Cassell,1,9:04,LAC,foul,,,,,,,,J.R. Smith,,Sam Cassell,,,,,,personal,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,9:04,LAC,sub,,,,Shaun Livingston,,Sam Cassell,,,,,,,,,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:58,DEN,shot,J.R. Smith,,,,,,,,,Carmelo Anthony,2,,,made,,slam dunk,25,6
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:29,LAC,shot,,,,,,,,,,Quinton Ross,,,,missed,,jump,31,21
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:27,DEN,rebound,,,,,,,,,,J.R. Smith,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:19,LAC,foul,,,,,,,,Marcus Camby,,Chris Kaman,,,,,,personal,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:11,DEN,shot,,,,,,,,,,Carmelo Anthony,,,,missed,,jump,21,27
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:10,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:00,LAC,shot,Shaun Livingston,,,,,,,,,Cuttino Mobley,2,,,made,,jump,33,16
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,7:57,LAC,foul,,,,,,,,Carmelo Anthony,,Quinton Ross,,,,,,personal,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,7:57,DEN,free throw,,,,,,,1,,2,Carmelo Anthony,,,foul,missed,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,7:57,DEN,rebound,,,,,,,,,,,,,,,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:57,LAC,sub,,,,Tim Thomas,,Quinton Ross,,,,,,,,,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:57,DEN,free throw,,,,,,,2,,2,Carmelo Anthony,,,foul,made,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:38,LAC,shot,,,,,,,,,,Shaun Livingston,,,,missed,,jump,33,27
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:36,DEN,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:30,DEN,turnover,,,,,,,,,,Carmelo Anthony,,,palming turnover,,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:09,LAC,shot,,,Marcus Camby,,,,,,,Shaun Livingston,,,,missed,,jump,22,12
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:07,DEN,rebound,,,,,,,,,,Kenyon Martin,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:04,DEN,shot,,,,,,,,,,J.R. Smith,,,,missed,,layup,25,6
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:04,LAC,rebound,,,,,,,,,,,,,,,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:04,DEN,foul,,,,,,,,Cuttino Mobley,,Carmelo Anthony,,,,,,loose ball,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:44,LAC,shot,,,,,,,,,,Elton Brand,2,,,made,,turnaround jump,23,13
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:32,DEN,turnover,,,,,,,,,,J.R. Smith,,,lost ball,,Chris Kaman,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:31,DEN,foul,,,,,,,,Tim Thomas,,Marcus Camby,,,,,,personal,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:20,LAC,shot,Tim Thomas,,,,,,,,,Elton Brand,2,,,made,,turnaround jump,30,11
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:10,DEN,shot,,,,,,,,,,Kenyon Martin,,,,missed,,jump,18,23
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:09,LAC,rebound,,,,,,,,,,Shaun Livingston,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:04,DEN,foul,,,,,,,,Cuttino Mobley,,Andre Miller,,,,,,shooting,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:04,LAC,free throw,,,,,,,1,,2,Cuttino Mobley,,,foul,made,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:04,LAC,free throw,,,,,,,2,,2,Cuttino Mobley,,,foul,made,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,5:49,DEN,turnover,,,,,,,,,,J.R. Smith,,,lost ball,,Shaun Livingston,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,5:45,LAC,turnover,,,,,,,,,,Shaun Livingston,,,bad pass,,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,5:45,LAC,timeout,,,,,,,,,,,,,,,,regular,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,5:31,DEN,shot,Andre Miller,,,,,,,,,Marcus Camby,2,,,made,,dunk,25,6
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,5:09,LAC,shot,,,Marcus Camby,,,,,,,Tim Thomas,,,,missed,,layup,25,6
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,5:07,DEN,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,5:02,DEN,shot,,,Shaun Livingston,,,,,,,Andre Miller,,,,missed,,driving layup,25,6
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:58,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:55,LAC,shot,,,,,,,,,,Cuttino Mobley,,,,missed,,jump,11,11
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:54,DEN,rebound,,,,,,,,,,Kenyon Martin,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:46,DEN,shot,,,,,,,,,,Carmelo Anthony,2,,,made,,jump,12,22
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:26,LAC,turnover,,,,,,,,,,Shaun Livingston,,,bad pass,,Andre Miller,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:23,DEN,shot,Andre Miller,,,,,,,,,J.R. Smith,2,,,made,,layup,25,6
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:01,LAC,shot,,,,,,,,,,Cuttino Mobley,,,,missed,,jump,6,6
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,3:59,DEN,rebound,,,,,,,,,,Kenyon Martin,,,,,,def,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,3:55,DEN,shot,,,,,,,,,,Andre Miller,,,,missed,,layup,25,6
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,3:53,DEN,shot,,,,,,,,,,Carmelo Anthony,2,,,made,,follow up dunk,25,6
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,3:53,DEN,rebound,,,,,,,,,,Carmelo Anthony,,,,,,off,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,3:46,LAC,timeout,,,,,,,,,,,,,,,,short,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,3:41,LAC,foul,,,,,,,,Marcus Camby,,Shaun Livingston,,,,,,offensive,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Marcus Camby,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,3:41,LAC,turnover,,,,,,,,,,Shaun Livingston,,,foul,,,,,
Andre Miller,Carmelo Anthony,J.R. Smith,Kenyon Martin,Nene Hilario,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,3:41,DEN,sub,,,,Nene Hilario,,Marcus Camby,,,,,,,,,,,,
Carmelo Anthony,Earl Boykins,J.R. Smith,Kenyon Martin,Nene Hilario,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,3:41,DEN,sub,,,,Earl Boykins,,Andre Miller,,,,,,,,,,,,
Carmelo Anthony,Earl Boykins,J.R. Smith,Kenyon Martin,Nene Hilario,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,3:26,DEN,turnover,,,,,,,,,,Kenyon Martin,,,lost ball,,Shaun Livingston,,,
Carmelo Anthony,Earl Boykins,J.R. Smith,Kenyon Martin,Nene Hilario,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,3:21,LAC,shot,,,,,,,,,,Shaun Livingston,,,,missed,,layup,25,6
Carmelo Anthony,Earl Boykins,J.R. Smith,Kenyon Martin,Nene Hilario,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,3:20,DEN,rebound,,,,,,,,,,Nene Hilario,,,,,,def,,
