a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,12:00,OFF,jump ball,,Tim Duncan,,,DeSagana Diop,,,,,,,Tony Parker,,,,,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,11:45,SAS,shot,Fabricio Oberto,,,,,,,,,Manu Ginobili,2,,,made,,jump,41,10
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,11:27,DAL,shot,,,,,,,,,,Dirk Nowitzki,2,,,made,,driving layup,25,6
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,11:09,SAS,shot,,,,,,,,,,Manu Ginobili,,,,missed,,jump,41,8
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,11:07,DAL,rebound,,,,,,,,,,Jason Terry,,,,,,def,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,11:00,DAL,shot,,,,,,,,,,Jason Terry,2,,,made,,jump,14,19
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,10:52,SAS,turnover,,,,,,,,,,Fabricio Oberto,,,3 second violation,,,,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,10:34,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,41,25
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,10:33,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,10:20,SAS,shot,,,,,,,,,,Tony Parker,2,,,made,,jump,24,28
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,10:08,DAL,shot,,,,,,,,,,Jason Terry,,,,missed,,running jump,22,9
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,10:08,SAS,rebound,,,,,,,,,,,,,,,,,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,9:57,SAS,shot,,,,,,,,,,Tony Parker,,,,missed,,jump,23,13
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,9:56,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,9:39,DAL,shot,,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,24,21
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,9:22,DAL,foul,,,,,,,,Tony Parker,,Jason Terry,,,,,,shooting,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,9:22,SAS,free throw,,,,,,,1,,2,Tony Parker,,,foul,made,,,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,9:22,SAS,free throw,,,,,,,2,,2,Tony Parker,,,foul,made,,,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,9:05,DAL,shot,,,,,,,,,,Josh Howard,,,,missed,,layup,25,6
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,9:04,DAL,shot,,,,,,,,,,DeSagana Diop,,,,missed,,layup,25,6
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,9:04,DAL,rebound,,,,,,,,,,DeSagana Diop,,,,,,off,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,9:01,DAL,shot,,,,,,,,,,Josh Howard,2,,,made,,tip,25,6
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,9:01,DAL,rebound,,,,,,,,,,Josh Howard,,,,,,off,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,8:49,SAS,shot,,,,,,,,,,Tony Parker,,,,missed,,jump,41,15
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,8:48,SAS,rebound,,,,,,,,,,Bruce Bowen,,,,,,off,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,8:43,SAS,shot,Manu Ginobili,,,,,,,,,Fabricio Oberto,2,,,made,,reverse layup,25,6
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,8:14,DAL,shot,,,,,,,,,,Greg Buckner,,,,missed,,jump,7,11
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,8:13,SAS,rebound,,,,,,,,,,Fabricio Oberto,,,,,,def,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,8:10,SAS,turnover,,,,,,,,,,Fabricio Oberto,,,bad pass,,Greg Buckner,,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,8:07,DAL,shot,,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,11,14
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,8:00,DAL,foul,,,,,,,,Tony Parker,,DeSagana Diop,,,,,,personal,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,7:54,SAS,shot,,,,,,,,,,Manu Ginobili,,,,missed,,running jump,22,14
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,7:53,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,7:38,DAL,shot,,,Fabricio Oberto,,,,,,,Greg Buckner,,,,missed,,layup,25,6
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,7:37,DAL,rebound,,,,,,,,,,,,,,,,,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,7:20,DAL,shot,Jason Terry,,,,,,,,,Josh Howard,2,,,made,,jump,27,16
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,7:00,SAS,shot,,,,,,,,,,Tim Duncan,,,,missed,,jump,13,21
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,6:59,DAL,rebound,,,,,,,,,,Josh Howard,,,,,,def,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,6:49,DAL,shot,Josh Howard,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,13,9
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,6:42,SAS,timeout,,,,,,,,,,,,,,,,regular,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,6:31,SAS,shot,Tim Duncan,,,,,,,,,Bruce Bowen,2,,,made,,jump,22,26
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,6:16,DAL,shot,,,,,,,,,,Jason Terry,2,,,made,,jump,11,16
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,5:59,SAS,shot,Tim Duncan,,,,,,,,,Manu Ginobili,2,,,made,,jump,35,28
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,5:51,DAL,shot,,,,,,,,,,Jason Terry,2,,,made,,jump,18,27
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,5:32,SAS,turnover,,,,,,,,,,Tim Duncan,,,bad pass,,,,,
Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,5:20,SAS,foul,,,,,,,,Josh Howard,,Manu Ginobili,,,,,,shooting,,
Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,5:20,SAS,sub,,,,Robert Horry,,Fabricio Oberto,,,,,,,,,,,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,5:20,SAS,sub,,,,Michael Finley,,Manu Ginobili,,,,,,,,,,,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,5:20,DAL,free throw,,,,,,,1,,2,Josh Howard,,,foul,missed,,,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,5:20,DAL,rebound,,,,,,,,,,,,,,,,,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,5:20,DAL,free throw,,,,,,,2,,2,Josh Howard,,,foul,made,,,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,DeSagana Diop,Dirk Nowitzki,Greg Buckner,Jason Terry,Josh Howard,1,5:03,DAL,foul,,,,,,,,Tim Duncan,,DeSagana Diop,,,,,,personal,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,5:03,DAL,sub,,,,Erick Dampier,,DeSagana Diop,,,,,,,,,,,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,4:56,DAL,foul,,,,,,,,Tony Parker,,Jason Terry,,,,,,personal,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Anthony Johnson,Dirk Nowitzki,Erick Dampier,Greg Buckner,Josh Howard,1,4:56,DAL,sub,,,,Anthony Johnson,,Jason Terry,,,,,,,,,,,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Anthony Johnson,Dirk Nowitzki,Erick Dampier,Greg Buckner,Josh Howard,1,4:49,SAS,shot,,,,,,,,,,Michael Finley,,,,missed,,jump,7,7
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Anthony Johnson,Dirk Nowitzki,Erick Dampier,Greg Buckner,Josh Howard,1,4:48,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Anthony Johnson,Dirk Nowitzki,Erick Dampier,Greg Buckner,Josh Howard,1,4:29,DAL,shot,,,,,,,,,,Josh Howard,,,,missed,,jump,16,25
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Anthony Johnson,Dirk Nowitzki,Erick Dampier,Greg Buckner,Josh Howard,1,4:28,SAS,rebound,,,,,,,,,,Robert Horry,,,,,,def,,
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Anthony Johnson,Dirk Nowitzki,Erick Dampier,Greg Buckner,Josh Howard,1,4:22,SAS,shot,Bruce Bowen,,,,,,,,,Tim Duncan,2,,,made,,jump bank,22,10
Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Tony Parker,Anthony Johnson,Dirk Nowitzki,Erick Dampier,Greg Buckner,Josh Howard,1,4:22,DAL,foul,,,,,,,,Tim Duncan,,Dirk Nowitzki,,,,,,shooting,,
Beno Udrih,Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Anthony Johnson,Dirk Nowitzki,Erick Dampier,Greg Buckner,Josh Howard,1,4:22,SAS,sub,,,,Beno Udrih,,Tony Parker,,,,,,,,,,,,
Beno Udrih,Bruce Bowen,Michael Finley,Robert Horry,Tim Duncan,Anthony Johnson,Dirk Nowitzki,Erick Dampier,Jerry Stackhouse,Josh Howard,1,4:22,DAL,sub,,,,Jerry Stackhouse,,Greg Buckner,,,,,,,,,,,,
