a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Damon Stoudamire,Eddie Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,1,12:00,OFF,jump ball,,Yao Ming,,,Jake Tsakalidis,,,,,,,Rafer Alston,,,,,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Damon Stoudamire,Eddie Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,1,11:41,HOU,shot,,,,,,,,,,Yao Ming,,,,missed,,jump,13,7
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Damon Stoudamire,Eddie Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,1,11:39,MEM,rebound,,,,,,,,,,Hakim Warrick,,,,,,def,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Damon Stoudamire,Eddie Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,1,11:24,MEM,shot,,,Yao Ming,,,,,,,Hakim Warrick,,,,missed,,layup,25,6
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Damon Stoudamire,Eddie Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,1,11:23,MEM,rebound,,,,,,,,,,,,,,,,,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Damon Stoudamire,Eddie Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,1,11:17,MEM,shot,,,,,,,,,,Damon Stoudamire,,,,missed,,jump,36,20
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Damon Stoudamire,Eddie Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,1,11:16,HOU,rebound,,,,,,,,,,Tracy McGrady,,,,,,def,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Damon Stoudamire,Eddie Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,1,11:07,HOU,turnover,,,,,,,,,,Tracy McGrady,,,bad pass,,,,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Damon Stoudamire,Eddie Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,1,10:46,MEM,foul,,,,,,,,Chuck Hayes,,Jake Tsakalidis,,,,,,offensive,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Damon Stoudamire,Eddie Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,1,10:46,MEM,turnover,,,,,,,,,,Jake Tsakalidis,,,foul,,,,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Damon Stoudamire,Eddie Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,1,10:30,HOU,foul,,,,,,,,Jake Tsakalidis,,Yao Ming,,,,,,offensive,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Damon Stoudamire,Eddie Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,1,10:30,HOU,turnover,,,,,,,,,,Yao Ming,,,foul,,,,,
