a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Harrington,Danny Granger,David Harrison,Jamaal Tinsley,Stephen Jackson,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,12:00,OFF,jump ball,,David Harrison,,,Etan Thomas,,,,,,,Stephen Jackson,,,,,,
Al Harrington,Danny Granger,David Harrison,Jamaal Tinsley,Stephen Jackson,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:45,IND,turnover,,,,,,,,,,Stephen Jackson,,,bad pass,,Etan Thomas,,,
Al Harrington,Danny Granger,David Harrison,Jamaal Tinsley,Stephen Jackson,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:42,WAS,shot,Etan Thomas,,,,,,,,,Gilbert Arenas,2,,,made,,driving layup,26,6
Al Harrington,Danny Granger,David Harrison,Jamaal Tinsley,Stephen Jackson,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:42,IND,violation,,,,,,,,,,Danny Granger,,,,,,defensive goaltending,,
Al Harrington,Danny Granger,David Harrison,Jamaal Tinsley,Stephen Jackson,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:27,IND,shot,,,,,,,,,,Al Harrington,,,,missed,,jump,42,4
Al Harrington,Danny Granger,David Harrison,Jamaal Tinsley,Stephen Jackson,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:26,WAS,rebound,,,,,,,,,,Gilbert Arenas,,,,,,def,,
Al Harrington,Danny Granger,David Harrison,Jamaal Tinsley,Stephen Jackson,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:26,WAS,turnover,,,,,,,,,,Gilbert Arenas,,,traveling,,,,,
Al Harrington,Danny Granger,David Harrison,Jamaal Tinsley,Stephen Jackson,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:15,IND,turnover,,,,,,,,,,Stephen Jackson,,,lost ball,,Caron Butler,,,
Al Harrington,Danny Granger,David Harrison,Jamaal Tinsley,Stephen Jackson,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,10:58,IND,foul,,,,,,,,Etan Thomas,,David Harrison,,,,,,shooting,,
Al Harrington,Danny Granger,David Harrison,Jamaal Tinsley,Stephen Jackson,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,10:58,WAS,free throw,,,,,,,1,,2,Etan Thomas,,,foul,missed,,,,
Al Harrington,Danny Granger,David Harrison,Jamaal Tinsley,Stephen Jackson,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,10:58,WAS,rebound,,,,,,,,,,,,,,,,,,
