a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,12:00,OFF,jump ball,,Stromile Swift,,,Amare Stoudemire,,,,,,,Leandro Barbosa,,,,,,
Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:41,PHX,shot,,,,,,,,,,Leandro Barbosa,,,,missed,,jump,48,8
Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:39,PHX,rebound,,,,,,,,,,Steve Nash,,,,,,off,,
Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:34,MEM,foul,,,,,,,,Leandro Barbosa,,Mike Miller,,,,,,shooting,,
Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:34,PHX,free throw,,,,,,,1,,2,Leandro Barbosa,,,foul,made,,,,
Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:34,PHX,free throw,,,,,,,2,,2,Leandro Barbosa,,,foul,missed,,,,
Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:32,MEM,rebound,,,,,,,,,,Stromile Swift,,,,,,def,,
Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:20,PHX,foul,,,,,,,,,,Amare Stoudemire,,,,,,illegal defense,,
Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:20,MEM,free throw,,,,,,,1,,1,Damon Stoudamire,,,technical,made,,,,
Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:07,MEM,shot,,,,,,,,,,Hakim Warrick,2,,,made,,turnaround jump,17,10
