a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,12:00,OFF,jump ball,,Erick Dampier,,,Stromile Swift,,,,,,,Devin Harris,,,,,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,11:45,DAL,shot,Jason Terry,,,,,,,,,Devin Harris,2,,,made,,jump,25,16
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,11:25,DAL,foul,,,,,,,,Stromile Swift,,Devin Harris,,,,,,shooting,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,11:25,MEM,free throw,,,,,,,1,,2,Stromile Swift,,,foul,made,,,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,11:25,MEM,free throw,,,,,,,2,,2,Stromile Swift,,,foul,made,,,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,11:14,MEM,foul,,,,,,,,,,Stromile Swift,,,,,,illegal defense,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,11:14,DAL,free throw,,,,,,,1,,1,Dirk Nowitzki,,,technical,made,,,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,11:01,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,40,20
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,11:00,DAL,rebound,,,,,,,,,,Devin Harris,,,,,,off,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,11:00,DAL,turnover,,,,,,,,,,,,,24 second violation,,,,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,10:40,MEM,shot,,,,,,,,,,Stromile Swift,2,,,made,,jump,9,12
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,10:24,DAL,shot,Jerry Stackhouse,,,,,,,,,Jason Terry,2,,,made,,jump,39,18
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,10:14,MEM,shot,,,,,,,,,,Stromile Swift,,,,missed,,jump,26,26
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Chucky Atkins,Hakim Warrick,Mike Miller,Rudy Gay,Stromile Swift,1,10:14,DAL,rebound,,,,,,,,,,Devin Harris,,,,,,def,,
