a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antoine Wright,Jason Collins,Jason Kidd,Nenad Krstic,Vince Carter,Al Harrington,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Stephen Jackson,1,12:00,OFF,jump ball,,Jason Collins,,,Jermaine O'Neal,,,,,,,Al Harrington,,,,,,
Antoine Wright,Jason Collins,Jason Kidd,Nenad Krstic,Vince Carter,Al Harrington,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Stephen Jackson,1,11:41,IND,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,36,6
Antoine Wright,Jason Collins,Jason Kidd,Nenad Krstic,Vince Carter,Al Harrington,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Stephen Jackson,1,11:39,NJN,rebound,,,,,,,,,,Jason Collins,,,,,,def,,
Antoine Wright,Jason Collins,Jason Kidd,Nenad Krstic,Vince Carter,Al Harrington,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Stephen Jackson,1,11:21,NJN,shot,,,,,,,,,,Nenad Krstic,,,,missed,,jump,25,11
Antoine Wright,Jason Collins,Jason Kidd,Nenad Krstic,Vince Carter,Al Harrington,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Stephen Jackson,1,11:19,IND,rebound,,,,,,,,,,Al Harrington,,,,,,def,,
Antoine Wright,Jason Collins,Jason Kidd,Nenad Krstic,Vince Carter,Al Harrington,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Stephen Jackson,1,11:05,IND,shot,Stephen Jackson,,,,,,,,,Al Harrington,2,,,made,,jump,8,7
Antoine Wright,Jason Collins,Jason Kidd,Nenad Krstic,Vince Carter,Al Harrington,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Stephen Jackson,1,10:46,NJN,shot,,,,,,,,,,Jason Collins,2,,,made,,jump,24,25
Antoine Wright,Jason Collins,Jason Kidd,Nenad Krstic,Vince Carter,Al Harrington,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Stephen Jackson,1,10:24,IND,shot,,,,,,,,,,Jamaal Tinsley,2,,,made,,jump,40,22
Antoine Wright,Jason Collins,Jason Kidd,Nenad Krstic,Vince Carter,Al Harrington,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Stephen Jackson,1,10:05,NJN,shot,Nenad Krstic,,,,,,,,,Jason Kidd,3,,,made,,3pt,42,25
Antoine Wright,Jason Collins,Jason Kidd,Nenad Krstic,Vince Carter,Al Harrington,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Stephen Jackson,1,9:47,IND,shot,,,,,,,,,,Al Harrington,,,,missed,,jump,40,10
Antoine Wright,Jason Collins,Jason Kidd,Nenad Krstic,Vince Carter,Al Harrington,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Stephen Jackson,1,9:46,NJN,rebound,,,,,,,,,,Vince Carter,,,,,,def,,
Antoine Wright,Jason Collins,Jason Kidd,Nenad Krstic,Vince Carter,Al Harrington,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Stephen Jackson,1,9:36,NJN,shot,,,,,,,,,,Antoine Wright,,,,missed,,3pt,48,4
