a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,12:00,OFF,jump ball,,Emeka Okafor,,,Nazr Mohammed,,,,,,,Brevin Knight,,,,,,
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:41,CHA,shot,Emeka Okafor,,,,,,,,,Adam Morrison,2,,,made,,driving layup,25,6
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:20,DET,turnover,,,,,,,,,,Tayshaun Prince,,,lost ball,,Gerald Wallace,,,
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:14,CHA,shot,,,,,,,,,,Adam Morrison,,,,missed,,running jump,37,9
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:11,DET,rebound,,,,,,,,,,Nazr Mohammed,,,,,,def,,
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:05,DET,turnover,,,,,,,,,,Chauncey Billups,,,bad pass,,Raymond Felton,,,
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:59,CHA,shot,Brevin Knight,,,,,,,,,Raymond Felton,2,,,made,,jump,11,18
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:39,DET,shot,,,,,,,,,,Richard Hamilton,,,,missed,,jump,31,12
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:36,CHA,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:22,CHA,shot,,,,,,,,,,Gerald Wallace,,,,missed,,reverse layup,25,6
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:20,DET,rebound,,,,,,,,,,Richard Hamilton,,,,,,def,,
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:11,DET,turnover,,,,,,,,,,Richard Hamilton,,,bad pass,,Raymond Felton,,,
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:05,CHA,shot,Brevin Knight,,,,,,,,,Raymond Felton,2,,,made,,jump,43,25
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:59,DET,timeout,,,,,,,,,,,,,,,,short,,
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:44,DET,shot,,,Adam Morrison,,,,,,,Richard Hamilton,,,,missed,,layup,25,6
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:42,DET,rebound,,,,,,,,,,Richard Hamilton,,,,,,off,,
Adam Morrison,Brevin Knight,Emeka Okafor,Gerald Wallace,Raymond Felton,Chauncey Billups,Nazr Mohammed,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:37,DET,shot,,,,,,,,,,Richard Hamilton,2,,,made,,jump,10,10
