a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,12:00,OFF,jump ball,,Eddy Curry,,,Ben Wallace,,,,,,,David Lee,,,,,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,11:44,NYK,shot,,,,,,,,,,Eddy Curry,2,,,made,,hook,18,7
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,11:23,NYK,foul,,,,,,,,Luol Deng,,Stephon Marbury,,,,,,shooting,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,11:23,CHI,free throw,,,,,,,1,,2,Luol Deng,,,foul,made,,,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,11:23,CHI,free throw,,,,,,,2,,2,Luol Deng,,,foul,made,,,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,11:09,NYK,shot,David Lee,,,,,,,,,Stephon Marbury,2,,,made,,jump,44,20
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,10:58,CHI,shot,Chris Duhon,,,,,,,,,Luol Deng,2,,,made,,jump,17,25
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,10:41,NYK,shot,,,,,,,,,,Stephon Marbury,2,,,made,,jump,32,7
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,10:18,CHI,shot,,,,,,,,,,Luol Deng,,,,missed,,layup,25,6
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,10:17,CHI,rebound,,,,,,,,,,Ben Wallace,,,,,,off,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,10:13,CHI,shot,Kirk Hinrich,,,,,,,,,Andres Nocioni,2,,,made,,jump,42,24
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,9:52,NYK,shot,,,,,,,,,,Steve Francis,,,,missed,,jump,11,15
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,9:50,NYK,rebound,,,,,,,,,,Steve Francis,,,,,,off,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,9:46,NYK,shot,,,,,,,,,,Stephon Marbury,,,,missed,,jump,17,29
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,9:43,NYK,rebound,,,,,,,,,,David Lee,,,,,,off,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,9:41,NYK,shot,,,,,,,,,,David Lee,2,,,made,,layup,25,6
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,9:29,CHI,shot,,,,,,,,,,Kirk Hinrich,,,,missed,,jump,44,17
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,9:27,NYK,rebound,,,,,,,,,,David Lee,,,,,,def,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,9:21,NYK,turnover,,,,,,,,,,Stephon Marbury,,,lost ball out of bounds,,,,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,9:02,CHI,shot,,,,,,,,,,Andres Nocioni,2,,,made,,driving layup,25,6
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,8:47,NYK,shot,,,,,,,,,,Eddy Curry,,,,missed,,layup,25,6
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,8:46,CHI,rebound,,,,,,,,,,Luol Deng,,,,,,def,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,8:39,CHI,shot,,,Renaldo Balkman,,,,,,,Luol Deng,,,,missed,,layup,25,6
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,8:37,NYK,rebound,,,,,,,,,,Stephon Marbury,,,,,,def,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,8:35,NYK,foul,,,,,,,,Kirk Hinrich,,Renaldo Balkman,,,,,,offensive,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,8:35,NYK,turnover,,,,,,,,,,Renaldo Balkman,,,foul,,,,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,8:19,CHI,shot,,,David Lee,,,,,,,Kirk Hinrich,,,,missed,,jump,30,14
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,8:16,NYK,rebound,,,,,,,,,,Stephon Marbury,,,,,,def,,
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,8:12,NYK,shot,Stephon Marbury,,,,,,,,,Eddy Curry,2,,,made,,hook,25,13
David Lee,Eddy Curry,Renaldo Balkman,Stephon Marbury,Steve Francis,Andres Nocioni,Ben Wallace,Chris Duhon,Kirk Hinrich,Luol Deng,1,7:55,CHI,shot,,,,,,,,,,Chris Duhon,,,,missed,,jump,18,30
