a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dwight Howard,Grant Hill,Hedo Turkoglu,Jameer Nelson,Tony Battie,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,12:00,OFF,jump ball,,Dwight Howard,,,Elton Brand,,,,,,,Jameer Nelson,,,,,,
Dwight Howard,Grant Hill,Hedo Turkoglu,Jameer Nelson,Tony Battie,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:44,LAC,foul,,,,,,,,Dwight Howard,,Aaron Williams,,,,,,shooting,,
Dwight Howard,Grant Hill,Hedo Turkoglu,Jameer Nelson,Tony Battie,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:44,ORL,free throw,,,,,,,1,,2,Dwight Howard,,,foul,made,,,,
Dwight Howard,Grant Hill,Hedo Turkoglu,Jameer Nelson,Tony Battie,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:44,ORL,free throw,,,,,,,2,,2,Dwight Howard,,,foul,made,,,,
Dwight Howard,Grant Hill,Hedo Turkoglu,Jameer Nelson,Tony Battie,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:30,LAC,shot,,,,,,,,,,Elton Brand,,,,missed,,layup,25,6
Dwight Howard,Grant Hill,Hedo Turkoglu,Jameer Nelson,Tony Battie,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:29,LAC,shot,,,,,,,,,,Elton Brand,2,,,made,,tip,25,6
Dwight Howard,Grant Hill,Hedo Turkoglu,Jameer Nelson,Tony Battie,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:29,LAC,rebound,,,,,,,,,,Elton Brand,,,,,,off,,
Dwight Howard,Grant Hill,Hedo Turkoglu,Jameer Nelson,Tony Battie,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:11,ORL,shot,,,,,,,,,,Dwight Howard,2,,,made,,driving dunk,25,6
Dwight Howard,Grant Hill,Hedo Turkoglu,Jameer Nelson,Tony Battie,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:57,LAC,turnover,,,,,,,,,,Elton Brand,,,lost ball,,Jameer Nelson,,,
Dwight Howard,Grant Hill,Hedo Turkoglu,Jameer Nelson,Tony Battie,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:54,ORL,shot,,,,,,,,,,Jameer Nelson,2,,,made,,driving layup,25,6
