a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,12:00,OFF,jump ball,,Alonzo Mourning,,,Elton Brand,,,,,,,Udonis Haslem,,,,,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,11:42,MIA,shot,,,,,,,,,,Jason Williams,,,,missed,,jump,14,29
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,11:40,LAC,rebound,,,,,,,,,,Elton Brand,,,,,,def,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,11:17,LAC,shot,,,,,,,,,,Elton Brand,,,,missed,,jump,37,13
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,11:15,MIA,rebound,,,,,,,,,,Dorell Wright,,,,,,def,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,11:06,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,39,22
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,11:05,LAC,rebound,,,,,,,,,,,,,,,,,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,10:49,LAC,turnover,,,,,,,,,,Shaun Livingston,,,bad pass,,Dwyane Wade,,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,10:46,MIA,shot,,,,,,,,,,Dwyane Wade,2,,,made,,driving layup,25,6
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,10:29,LAC,turnover,,,,,,,,,,Shaun Livingston,,,traveling,,,,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,10:15,MIA,shot,,,,,,,,,,Jason Williams,2,,,made,,driving layup,25,6
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,10:04,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,hook,18,12
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,10:01,MIA,rebound,,,,,,,,,,Alonzo Mourning,,,,,,def,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,10:00,MIA,turnover,,,,,,,,,,Udonis Haslem,,,traveling,,,,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,9:52,LAC,shot,,,,,,,,,,Shaun Livingston,2,,,made,,jump,13,17
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,9:34,MIA,shot,,,,,,,,,,Jason Williams,,,,missed,,jump,48,6
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,9:32,LAC,rebound,,,,,,,,,,Elton Brand,,,,,,def,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,9:21,LAC,shot,Shaun Livingston,,,,,,,,,Quinton Ross,2,,,made,,jump,41,23
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,9:07,MIA,turnover,,,,,,,,,,Dwyane Wade,,,lost ball out of bounds,,,,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:57,LAC,shot,,,Alonzo Mourning,,,,,,,Quinton Ross,,,,missed,,driving layup,25,6
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:55,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,def,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:49,MIA,shot,Jason Williams,,,,,,,,,Dorell Wright,2,,,made,,jump,40,6
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:30,LAC,shot,,,Dwyane Wade,,,,,,,Cuttino Mobley,,,,missed,,layup,25,6
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:25,MIA,rebound,,,,,,,,,,Dorell Wright,,,,,,def,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:22,MIA,turnover,,,,,,,,,,Dorell Wright,,,bad pass,,Cuttino Mobley,,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:13,MIA,foul,,,,,,,,Elton Brand,,Alonzo Mourning,,,,,,personal,,
Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,1,8:08,MIA,foul,,,,,,,,Shaun Livingston,,Jason Williams,,,,,,personal,,
