a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,12:00,OFF,jump ball,,Josh Smith,,,Marcus Camby,,,,,,,Andre Miller,,,,,,
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,11:41,DEN,shot,,,,,,,,,,J.R. Smith,,,,missed,,jump,45,21
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,11:38,ATL,rebound,,,,,,,,,,Shelden Williams,,,,,,def,,
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,11:15,ATL,shot,Tyronn Lue,,,,,,,,,Josh Smith,2,,,made,,jump,46,23
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,11:02,DEN,turnover,,,,,,,,,,Carmelo Anthony,,,offensive goaltending,,,,,
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,10:51,ATL,shot,,,,,,,,,,Josh Smith,,,,missed,,running jump,30,11
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,10:49,ATL,shot,,,,,,,,,,Lorenzen Wright,2,,,made,,layup,25,6
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,10:49,ATL,rebound,,,,,,,,,,Lorenzen Wright,,,,,,off,,
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,10:35,ATL,foul,,,,,,,,J.R. Smith,,Shelden Williams,,,,,,shooting,,
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,10:35,DEN,free throw,,,,,,,1,,2,J.R. Smith,,,foul,made,,,,
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,10:35,DEN,free throw,,,,,,,2,,2,J.R. Smith,,,foul,made,,,,
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,10:18,ATL,shot,,,,,,,,,,Shelden Williams,,,,missed,,jump,44,10
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,10:16,ATL,rebound,,,,,,,,,,Joe Johnson,,,,,,off,,
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,10:13,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,jump,17,22
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,10:07,DEN,shot,Andre Miller,,,,,,,,,Carmelo Anthony,2,,,made,,finger roll,25,6
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,9:49,ATL,shot,,,,,,,,,,Joe Johnson,2,,,made,,running jump,26,12
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,9:39,ATL,foul,,,,,,,,Eduardo Najera,,Shelden Williams,,,,,,shooting,,
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,9:39,DEN,free throw,,,,,,,1,,2,Eduardo Najera,,,foul,missed,,,,
Joe Johnson,Josh Smith,Lorenzen Wright,Shelden Williams,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,9:39,DEN,rebound,,,,,,,,,,,,,,,,,,
Joe Johnson,Josh Smith,Lorenzen Wright,Solomon Jones,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,9:39,ATL,sub,,,,Solomon Jones,,Shelden Williams,,,,,,,,,,,,
Joe Johnson,Josh Smith,Lorenzen Wright,Solomon Jones,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,9:39,DEN,free throw,,,,,,,2,,2,Eduardo Najera,,,foul,missed,,,,
Joe Johnson,Josh Smith,Lorenzen Wright,Solomon Jones,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,9:38,ATL,rebound,,,,,,,,,,Tyronn Lue,,,,,,def,,
Joe Johnson,Josh Smith,Lorenzen Wright,Solomon Jones,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,9:23,ATL,shot,,,,,,,,,,Lorenzen Wright,,,,missed,,driving layup,25,6
Joe Johnson,Josh Smith,Lorenzen Wright,Solomon Jones,Tyronn Lue,Andre Miller,Carmelo Anthony,Eduardo Najera,J.R. Smith,Marcus Camby,1,9:20,DEN,rebound,,,,,,,,,,Marcus Camby,,,,,,def,,
