a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chucky Atkins,Dahntay Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,1,12:00,OFF,jump ball,,Hakim Warrick,,,Andrew Bogut,,,,,,,Mo Williams,,,,,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,1,11:44,MIL,shot,,,,,,,,,,Andrew Bogut,,,,missed,,layup,25,6
Chucky Atkins,Dahntay Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,1,11:43,MEM,rebound,,,,,,,,,,Jake Tsakalidis,,,,,,def,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,1,11:19,MEM,shot,,,,,,,,,,Dahntay Jones,,,,missed,,jump,44,3
Chucky Atkins,Dahntay Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,1,11:17,MIL,rebound,,,,,,,,,,Mo Williams,,,,,,def,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,1,11:09,MIL,shot,Charlie Bell,,,,,,,,,Michael Redd,2,,,made,,jump,15,31
Chucky Atkins,Dahntay Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,1,10:43,MEM,shot,,,,,,,,,,Chucky Atkins,,,,missed,,jump,40,12
Chucky Atkins,Dahntay Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,1,10:41,MIL,rebound,,,,,,,,,,Michael Redd,,,,,,def,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,1,10:30,MIL,shot,,,,,,,,,,Ruben Patterson,,,,missed,,jump,36,5
Chucky Atkins,Dahntay Jones,Hakim Warrick,Jake Tsakalidis,Mike Miller,Andrew Bogut,Charlie Bell,Michael Redd,Mo Williams,Ruben Patterson,1,10:29,MEM,rebound,,,,,,,,,,Hakim Warrick,,,,,,def,,
