a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,12:00,OFF,jump ball,,Al Jefferson,,,Jason Collins,,,,,,,Jason Kidd,,,,,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:39,NJN,shot,,,,,,,,,,Jason Kidd,,,,missed,,jump,24,31
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:37,BOS,rebound,,,,,,,,,,Ryan Gomes,,,,,,def,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:23,BOS,shot,,,,,,,,,,Ryan Gomes,,,,missed,,jump,20,24
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:21,NJN,rebound,,,,,,,,,,Vince Carter,,,,,,def,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:11,NJN,shot,Richard Jefferson,,,,,,,,,Nenad Krstic,2,,,made,,jump,33,23
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:57,BOS,shot,,,Nenad Krstic,,,,,,,Paul Pierce,,,,missed,,driving layup,25,6
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:55,NJN,rebound,,,,,,,,,,Nenad Krstic,,,,,,def,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:47,NJN,shot,,,,,,,,,,Vince Carter,2,,,made,,driving dunk,25,6
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:25,BOS,shot,,,,,,,,,,Tony Allen,,,,missed,,jump,2,5
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:24,NJN,rebound,,,,,,,,,,Richard Jefferson,,,,,,def,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:17,NJN,shot,,,,,,,,,,Nenad Krstic,,,,missed,,hook,20,8
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:15,BOS,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:06,BOS,turnover,,,,,,,,,,Paul Pierce,,,bad pass,,Jason Collins,,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:52,NJN,shot,,,,,,,,,,Nenad Krstic,,,,missed,,turnaround jump,39,8
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:51,BOS,rebound,,,,,,,,,,Al Jefferson,,,,,,def,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:42,BOS,shot,,,,,,,,,,Al Jefferson,,,,missed,,jump,19,23
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:41,NJN,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:39,BOS,foul,,,,,,,,Richard Jefferson,,Paul Pierce,,,,,,personal,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:31,BOS,foul,,,,,,,,Vince Carter,,Tony Allen,,,,,,personal,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:23,NJN,shot,,,,,,,,,,Richard Jefferson,,,,missed,,jump,36,28
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:22,NJN,rebound,,,,,,,,,,Nenad Krstic,,,,,,off,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:20,NJN,shot,,,,,,,,,,Nenad Krstic,,,,missed,,layup,25,6
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:19,NJN,rebound,,,,,,,,,,Nenad Krstic,,,,,,off,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:18,NJN,shot,,,,,,,,,,Nenad Krstic,2,,,made,,layup,25,6
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:01,BOS,foul,,,,,,,,Vince Carter,,Tony Allen,,,,,,offensive,,
Al Jefferson,Paul Pierce,Ryan Gomes,Sebastian Telfair,Tony Allen,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:01,BOS,turnover,,,,,,,,,,Tony Allen,,,foul,,,,,
