a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,12:00,OFF,jump ball,,Yao Ming,,,Etan Thomas,,,,,,,Rafer Alston,,,,,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:45,HOU,shot,,,,,,,,,,Yao Ming,,,,missed,,jump,24,13
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:44,WAS,rebound,,,,,,,,,,Caron Butler,,,,,,def,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:27,WAS,shot,,,,,,,,,,Antawn Jamison,2,,,made,,finger roll,28,8
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:19,HOU,shot,,,Etan Thomas,,,,,,,Yao Ming,,,,missed,,jump,20,7
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:17,WAS,rebound,,,,,,,,,,Caron Butler,,,,,,def,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:08,WAS,shot,,,,,,,,,,Gilbert Arenas,,,,missed,,jump,42,13
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,11:06,HOU,rebound,,,,,,,,,,Shane Battier,,,,,,def,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,10:54,HOU,shot,Shane Battier,,,,,,,,,Tracy McGrady,2,,,made,,jump,31,22
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,10:41,HOU,foul,,,,,,,,Antawn Jamison,,Chuck Hayes,,,,,,personal,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,10:37,WAS,turnover,,,,,,,,,,Gilbert Arenas,,,bad pass,,Rafer Alston,,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,10:32,HOU,shot,,,,,,,,,,Rafer Alston,,,,missed,,jump,23,11
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,10:30,HOU,rebound,,,,,,,,,,Rafer Alston,,,,,,off,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,10:27,HOU,shot,,,,,,,,,,Tracy McGrady,,,,missed,,jump,18,30
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,10:25,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,def,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,10:09,WAS,shot,,,Yao Ming,,,,,,,Etan Thomas,,,,missed,,jump,28,9
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,10:04,HOU,rebound,,,,,,,,,,Yao Ming,,,,,,def,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,9:53,HOU,shot,,,,,,,,,,Yao Ming,2,,,made,,fade away,35,4
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,9:36,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,jump,4,6
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,9:34,HOU,rebound,,,,,,,,,,Tracy McGrady,,,,,,def,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,9:24,HOU,shot,,,,,,,,,,Tracy McGrady,,,,missed,,jump,7,4
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,9:22,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,def,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,9:14,WAS,turnover,,,,,,,,,,Gilbert Arenas,,,lost ball,,Rafer Alston,,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,9:07,HOU,turnover,,,,,,,,,,Chuck Hayes,,,bad pass,,Antawn Jamison,,,
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,9:01,WAS,shot,,,,,,,,,,DeShawn Stevenson,,,,missed,,jump,11,22
Chuck Hayes,Rafer Alston,Shane Battier,Tracy McGrady,Yao Ming,Antawn Jamison,Caron Butler,DeShawn Stevenson,Etan Thomas,Gilbert Arenas,1,9:00,HOU,rebound,,,,,,,,,,Yao Ming,,,,,,def,,
