a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,12:00,OFF,jump ball,,Jake Tsakalidis,,,Jason Collins,,,,,,,Jason Kidd,,,,,,
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:49,NJN,shot,,,,,,,,,,Vince Carter,,,,missed,,jump,36,23
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:48,NJN,rebound,,,,,,,,,,Richard Jefferson,,,,,,off,,
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:37,NJN,shot,Nenad Krstic,,,,,,,,,Richard Jefferson,2,,,made,,jump,8,6
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:17,MEM,shot,,,,,,,,,,Hakim Warrick,,,,missed,,turnaround jump,23,16
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,11:15,NJN,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:59,NJN,shot,Nenad Krstic,,,,,,,,,Jason Kidd,2,,,made,,jump,23,25
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:39,MEM,shot,,,,,,,,,,Mike Miller,,,,missed,,3pt,36,29
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:37,MEM,rebound,,,,,,,,,,Dahntay Jones,,,,,,off,,
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:36,MEM,shot,,,,,,,,,,Dahntay Jones,,,,missed,,layup,25,6
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:35,NJN,rebound,,,,,,,,,,Vince Carter,,,,,,def,,
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:31,NJN,shot,,,,,,,,,,Nenad Krstic,,,,missed,,jump,38,13
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:30,MEM,rebound,,,,,,,,,,Mike Miller,,,,,,def,,
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:21,MEM,shot,,,,,,,,,,Damon Stoudamire,2,,,made,,jump,24,25
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:02,MEM,foul,,,,,,,,Jason Collins,,Hakim Warrick,,,,,,shooting,,
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:02,NJN,free throw,,,,,,,1,,2,Jason Collins,,,foul,made,,,,
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:02,NJN,free throw,,,,,,,2,,2,Jason Collins,,,foul,missed,,,,
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,10:01,MEM,rebound,,,,,,,,,,Jake Tsakalidis,,,,,,def,,
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:42,MEM,turnover,,,,,,,,,,Jake Tsakalidis,,,3 second violation,,,,,
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:23,MEM,foul,,,,,,,,Nenad Krstic,,Hakim Warrick,,,,,,shooting,,
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:23,NJN,free throw,,,,,,,1,,2,Nenad Krstic,,,foul,missed,,,,
Dahntay Jones,Damon Stoudamire,Hakim Warrick,Jake Tsakalidis,Mike Miller,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:23,NJN,rebound,,,,,,,,,,,,,,,,,,
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:23,MEM,sub,,,,Stromile Swift,,Hakim Warrick,,,,,,,,,,,,
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:23,NJN,free throw,,,,,,,2,,2,Nenad Krstic,,,foul,made,,,,
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:02,MEM,turnover,,,,,,,,,,Mike Miller,,,out of bounds lost ball turnover,,,,,
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,9:00,MEM,foul,,,,,,,,Richard Jefferson,,Mike Miller,,,,,,personal,,
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:43,NJN,shot,,,,,,,,,,Jason Kidd,,,,missed,,jump,6,6
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:41,MEM,rebound,,,,,,,,,,Stromile Swift,,,,,,def,,
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:38,MEM,shot,,,,,,,,,,Damon Stoudamire,,,,missed,,jump,24,21
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:36,NJN,rebound,,,,,,,,,,Richard Jefferson,,,,,,def,,
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:30,NJN,shot,Jason Collins,,,,,,,,,Vince Carter,3,,,made,,3pt,39,26
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:10,MEM,turnover,,,,,,,,,,Damon Stoudamire,,,bad pass,,Richard Jefferson,,,
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,8:06,NJN,shot,Jason Kidd,,,,,,,,,Vince Carter,3,,,made,,3pt,43,25
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,7:58,MEM,timeout,,,,,,,,,,,,,,,,regular,,
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,7:38,MEM,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,7:28,MEM,violation,,,,,,,,,,Jake Tsakalidis,,,,,,kicked ball,,
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,7:20,NJN,shot,Jason Kidd,,,,,,,,,Richard Jefferson,2,,,made,,jump,41,8
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,6:59,MEM,shot,Damon Stoudamire,,,,,,,,,Stromile Swift,2,,,made,,dunk,25,6
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,6:39,NJN,shot,,,,,,,,,,Nenad Krstic,,,,missed,,jump,39,13
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,6:37,MEM,rebound,,,,,,,,,,Mike Miller,,,,,,def,,
Dahntay Jones,Damon Stoudamire,Jake Tsakalidis,Mike Miller,Stromile Swift,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,1,6:21,NJN,foul,,,,,,,,Damon Stoudamire,,Jason Collins,,,,,,shooting,,
