a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,1,12:00,OFF,jump ball,,Kwame Brown,,,Yao Ming,,,,,,,Houston,,,,,,
Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,1,11:48,HOU,shot,,,,,,,,,,Luther Head,,,,missed,,jump,1,7
Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,1,11:46,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,1,11:29,LAL,shot,,,,,,,,,,Lamar Odom,,,,missed,,jump,12,29
Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,1,11:27,HOU,rebound,,,,,,,,,,Shane Battier,,,,,,def,,
Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,1,11:20,HOU,turnover,,,,,,,,,,Shane Battier,,,bad pass,,Smush Parker,,,
Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,1,11:17,LAL,shot,Smush Parker,,,,,,,,,Luke Walton,2,,,made,,layup,25,6
Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,1,10:56,HOU,shot,,,,,,,,,,Yao Ming,2,,,made,,hook,28,11
Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,1,10:56,LAL,foul,,,,,,,,Yao Ming,,Kwame Brown,,,,,,shooting,,
Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,1,10:56,HOU,free throw,,,,,,,1,,1,Yao Ming,,,foul,made,,,,
