a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Adonal Foyle,Baron Davis,Matt Barnes,Mickael Pietrus,Monta Ellis,1,12:00,OFF,jump ball,,Yao Ming,,,Adonal Foyle,,,,,,,Baron Davis,,,,,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Adonal Foyle,Baron Davis,Matt Barnes,Mickael Pietrus,Monta Ellis,1,11:46,HOU,foul,,,,,,,,Adonal Foyle,,Chuck Hayes,,,,,,shooting,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Adonal Foyle,Baron Davis,Matt Barnes,Mickael Pietrus,Monta Ellis,1,11:46,GSW,free throw,,,,,,,1,,2,Adonal Foyle,,,foul,made,,,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Adonal Foyle,Baron Davis,Matt Barnes,Mickael Pietrus,Monta Ellis,1,11:46,GSW,free throw,,,,,,,2,,2,Adonal Foyle,,,foul,made,,,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Adonal Foyle,Baron Davis,Matt Barnes,Mickael Pietrus,Monta Ellis,1,11:28,HOU,shot,,,,,,,,,,Rafer Alston,,,,missed,,jump,15,23
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Adonal Foyle,Baron Davis,Matt Barnes,Mickael Pietrus,Monta Ellis,1,11:27,GSW,rebound,,,,,,,,,,,,,,,,,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Adonal Foyle,Baron Davis,Matt Barnes,Mickael Pietrus,Monta Ellis,1,11:12,GSW,shot,,,,,,,,,,Mickael Pietrus,,,,missed,,jump,49,10
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Adonal Foyle,Baron Davis,Matt Barnes,Mickael Pietrus,Monta Ellis,1,11:10,HOU,rebound,,,,,,,,,,Shane Battier,,,,,,def,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Adonal Foyle,Baron Davis,Matt Barnes,Mickael Pietrus,Monta Ellis,1,11:09,HOU,turnover,,,,,,,,,,Shane Battier,,,bad pass,,,,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Adonal Foyle,Baron Davis,Matt Barnes,Mickael Pietrus,Monta Ellis,1,11:02,GSW,shot,Baron Davis,,,,,,,,,Mickael Pietrus,2,,,made,,reverse layup,25,6
