a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,12:00,OFF,jump ball,,Emeka Okafor,,,Eddy Curry,,,,,,,Jamal Crawford,,,,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,11:47,NYK,shot,,,,,,,,,,Eddy Curry,,,,missed,,jump,19,5
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,11:45,CHA,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,11:25,CHA,shot,,,,,,,,,,Emeka Okafor,,,,missed,,jump,15,5
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,11:24,NYK,rebound,,,,,,,,,,David Lee,,,,,,def,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,11:16,NYK,shot,,,,,,,,,,Stephon Marbury,2,,,made,,driving layup,25,6
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,10:51,CHA,shot,,,Channing Frye,,,,,,,Gerald Wallace,,,,missed,,layup,25,6
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,10:49,CHA,rebound,,,,,,,,,,Derek Anderson,,,,,,off,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,10:48,CHA,shot,,,,,,,,,,Derek Anderson,,,,missed,,jump,30,30
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,10:45,NYK,rebound,,,,,,,,,,David Lee,,,,,,def,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,10:39,NYK,shot,,,,,,,,,,Channing Frye,,,,missed,,jump,42,5
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,10:37,CHA,rebound,,,,,,,,,,Primoz Brezec,,,,,,def,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,10:24,CHA,shot,,,,,,,,,,Derek Anderson,2,,,made,,driving layup,25,6
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,10:00,NYK,shot,,,,,,,,,,Channing Frye,2,,,made,,jump,12,5
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,9:46,CHA,shot,,,,,,,,,,Primoz Brezec,2,,,made,,jump,14,24
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,9:27,CHA,foul,,,,,,,,Eddy Curry,,Primoz Brezec,,,,,,shooting,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,9:27,NYK,free throw,,,,,,,1,,2,Eddy Curry,,,foul,missed,,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,9:27,NYK,rebound,,,,,,,,,,,,,,,,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Primoz Brezec,Raymond Felton,Channing Frye,David Lee,Eddy Curry,Jamal Crawford,Stephon Marbury,1,9:27,NYK,free throw,,,,,,,2,,2,Eddy Curry,,,foul,made,,,,
