a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Rashard Lewis,1,12:00,OFF,jump ball,,Erick Dampier,,,Andreas Glyniadakis,,,,,,,Josh Howard,,,,,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Rashard Lewis,1,11:43,DAL,shot,Devin Harris,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,38,4
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Rashard Lewis,1,11:29,SEA,shot,,,,,,,,,,Chris Wilcox,,,,missed,,jump,33,13
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Rashard Lewis,1,11:28,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Rashard Lewis,1,11:22,DAL,shot,,,Rashard Lewis,,,,,,,Erick Dampier,,,,missed,,layup,25,6
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Rashard Lewis,1,11:19,DAL,shot,,,,,,,,,,Erick Dampier,,,,missed,,tip,25,6
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Rashard Lewis,1,11:19,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,off,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Rashard Lewis,1,11:19,DAL,rebound,,,,,,,,,,,,,,,,,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Rashard Lewis,1,11:05,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,40,11
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Rashard Lewis,1,11:03,DAL,rebound,,,,,,,,,,Jason Terry,,,,,,off,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Rashard Lewis,1,11:00,DAL,shot,Jason Terry,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,40,9
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Rashard Lewis,1,10:54,SEA,timeout,,,,,,,,,,,,,,,,short,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Mickael Gelabale,1,10:54,SEA,sub,,,,Mickael Gelabale,,Rashard Lewis,,,,,,,,,,,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Mickael Gelabale,1,10:43,SEA,shot,,,,,,,,,,Chris Wilcox,,,,missed,,jump,22,21
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Mickael Gelabale,1,10:41,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Mickael Gelabale,1,10:34,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,27,31
Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,Andreas Glyniadakis,Chris Wilcox,Damien Wilkins,Luke Ridnour,Mickael Gelabale,1,10:32,SEA,rebound,,,,,,,,,,Andreas Glyniadakis,,,,,,def,,
