a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Bruce Bowen,Francisco Elson,Manu Ginobili,Tim Duncan,Tony Parker,1,12:00,OFF,jump ball,,Yao Ming,,,Tim Duncan,,,,,,,Tony Parker,,,,,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Bruce Bowen,Francisco Elson,Manu Ginobili,Tim Duncan,Tony Parker,1,11:45,SAS,turnover,,,,,,,,,,Francisco Elson,,,lost ball possession,,,,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Bruce Bowen,Francisco Elson,Manu Ginobili,Tim Duncan,Tony Parker,1,11:29,SAS,foul,,,,,,,,Yao Ming,,Manu Ginobili,,,,,,shooting,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Bruce Bowen,Francisco Elson,Manu Ginobili,Tim Duncan,Tony Parker,1,11:29,HOU,free throw,,,,,,,1,,2,Yao Ming,,,foul,made,,,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Bruce Bowen,Francisco Elson,Manu Ginobili,Tim Duncan,Tony Parker,1,11:29,HOU,free throw,,,,,,,2,,2,Yao Ming,,,foul,made,,,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Bruce Bowen,Francisco Elson,Manu Ginobili,Tim Duncan,Tony Parker,1,11:14,SAS,shot,,,,,,,,,,Francisco Elson,,,,missed,,jump,12,9
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Bruce Bowen,Francisco Elson,Manu Ginobili,Tim Duncan,Tony Parker,1,11:12,HOU,rebound,,,,,,,,,,Shane Battier,,,,,,def,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Bruce Bowen,Francisco Elson,Manu Ginobili,Tim Duncan,Tony Parker,1,11:01,HOU,shot,,,,,,,,,,Rafer Alston,,,,missed,,jump,35,28
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Bruce Bowen,Francisco Elson,Manu Ginobili,Tim Duncan,Tony Parker,1,10:59,SAS,rebound,,,,,,,,,,Bruce Bowen,,,,,,def,,
Chuck Hayes,Luther Head,Rafer Alston,Shane Battier,Yao Ming,Bruce Bowen,Francisco Elson,Manu Ginobili,Tim Duncan,Tony Parker,1,10:53,SAS,shot,Tony Parker,,,,,,,,,Manu Ginobili,2,,,made,,jump,44,22
