a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,12:00,OFF,jump ball,,Adonal Foyle,,,Alonzo Mourning,,,,,,,Udonis Haslem,,,,,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,11:34,MIA,shot,,,,,,,,,,Dwyane Wade,,,,missed,,jump,35,25
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,11:32,GSW,rebound,,,,,,,,,,Baron Davis,,,,,,def,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,11:23,GSW,shot,,,Alonzo Mourning,,,,,,,Baron Davis,,,,missed,,jump,27,10
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,11:19,GSW,rebound,,,,,,,,,,Matt Barnes,,,,,,off,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,11:17,GSW,shot,,,,,,,,,,Matt Barnes,,,,missed,,jump,14,19
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,11:14,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,def,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,11:06,MIA,shot,,,,,,,,,,Udonis Haslem,,,,missed,,jump,25,12
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,11:05,GSW,rebound,,,,,,,,,,Matt Barnes,,,,,,def,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,10:58,GSW,shot,,,,,,,,,,Jason Richardson,2,,,made,,jump,30,20
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,10:38,MIA,shot,,,,,,,,,,Udonis Haslem,2,,,made,,jump,26,20
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,10:27,GSW,shot,,,,,,,,,,Jason Richardson,2,,,made,,jump,11,19
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,10:08,MIA,shot,,,,,,,,,,Jason Williams,,,,missed,,jump,16,30
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,10:05,GSW,rebound,,,,,,,,,,Mike Dunleavy,,,,,,def,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,10:00,GSW,shot,,,,,,,,,,Mike Dunleavy,,,,missed,,driving layup,25,6
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,9:57,GSW,rebound,,,,,,,,,,Baron Davis,,,,,,off,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,9:55,GSW,shot,,,,,,,,,,Mike Dunleavy,,,,missed,,jump,40,5
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,9:53,GSW,rebound,,,,,,,,,,Jason Richardson,,,,,,off,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,9:49,GSW,shot,,,,,,,,,,Jason Richardson,,,,missed,,layup,25,6
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,9:48,MIA,rebound,,,,,,,,,,Dorell Wright,,,,,,def,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,9:43,MIA,shot,,,,,,,,,,Dorell Wright,,,,missed,,jump,38,21
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,9:41,GSW,rebound,,,,,,,,,,Mike Dunleavy,,,,,,def,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,9:36,GSW,shot,Mike Dunleavy,,,,,,,,,Jason Richardson,2,,,made,,jump,48,11
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,9:19,MIA,shot,,,,,,,,,,Dorell Wright,,,,missed,,jump,26,11
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,9:18,GSW,rebound,,,,,,,,,,Matt Barnes,,,,,,def,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,9:13,GSW,shot,,,Dwyane Wade,,,,,,,Baron Davis,,,,missed,,driving layup,25,6
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,9:12,MIA,rebound,,,,,,,,,,,,,,,,,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,8:53,MIA,shot,,,,,,,,,,Alonzo Mourning,,,,missed,,hook,26,13
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,8:52,MIA,rebound,,,,,,,,,,Alonzo Mourning,,,,,,off,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,8:51,GSW,foul,,,,,,,,Alonzo Mourning,,Adonal Foyle,,,,,,shooting,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,8:51,MIA,free throw,,,,,,,1,,2,Alonzo Mourning,,,foul,made,,,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,8:51,MIA,free throw,,,,,,,2,,2,Alonzo Mourning,,,foul,missed,,,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,8:47,GSW,rebound,,,,,,,,,,Jason Richardson,,,,,,def,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,8:35,GSW,turnover,,,,,,,,,,Matt Barnes,,,bad pass,,Udonis Haslem,,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,8:31,MIA,turnover,,,,,,,,,,Udonis Haslem,,,bad pass,,Mike Dunleavy,,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,8:26,GSW,shot,,,,,,,,,,Mike Dunleavy,,,,missed,,layup,25,6
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,8:23,MIA,rebound,,,,,,,,,,Udonis Haslem,,,,,,def,,
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,8:04,MIA,shot,Jason Williams,,,,,,,,,Udonis Haslem,2,,,made,,jump,41,5
Adonal Foyle,Baron Davis,Jason Richardson,Matt Barnes,Mike Dunleavy,Alonzo Mourning,Dorell Wright,Dwyane Wade,Jason Williams,Udonis Haslem,1,8:00,GSW,turnover,,,,,,,,,,Adonal Foyle,,,bad pass,,,,,
