a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,12:00,OFF,jump ball,,Jason Collins,,,Andrew Bogut,,,,,,,Richard Jefferson,,,,,,
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,11:37,NJN,shot,,,,,,,,,,Eddie House,,,,missed,,jump,8,4
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,11:35,NJN,rebound,,,,,,,,,,Richard Jefferson,,,,,,off,,
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,11:26,NJN,shot,,,,,,,,,,Richard Jefferson,2,,,made,,jump,16,20
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,11:03,MIL,shot,Brian Skinner,,,,,,,,,Mo Williams,2,,,made,,jump,33,13
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,10:46,NJN,shot,,,,,,,,,,Richard Jefferson,,,,missed,,layup,25,6
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,10:44,NJN,rebound,,,,,,,,,,Jason Kidd,,,,,,off,,
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,10:42,NJN,shot,,,,,,,,,,Eddie House,,,,missed,,jump,26,26
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,10:40,MIL,rebound,,,,,,,,,,Andrew Bogut,,,,,,def,,
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,10:34,MIL,shot,Mo Williams,,,,,,,,,Charlie Bell,2,,,made,,jump,6,13
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,10:12,NJN,shot,,,,,,,,,,Jason Kidd,,,,missed,,jump,36,29
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,10:10,MIL,rebound,,,,,,,,,,,,,,,,,,
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,10:10,NJN,foul,,,,,,,,Andrew Bogut,,Jason Collins,,,,,,loose ball,,
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,9:54,MIL,shot,,,,,,,,,,Michael Redd,2,,,made,,driving layup,25,6
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,9:37,NJN,shot,,,,,,,,,,Richard Jefferson,,,,missed,,jump,41,16
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,9:35,MIL,rebound,,,,,,,,,,Mo Williams,,,,,,def,,
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,9:31,MIL,shot,,,,,,,,,,Mo Williams,2,,,made,,jump,15,18
Eddie House,Jason Collins,Jason Kidd,Richard Jefferson,Vince Carter,Andrew Bogut,Brian Skinner,Charlie Bell,Michael Redd,Mo Williams,1,9:12,NJN,shot,,,,,,,,,,Vince Carter,,,,missed,,jump,14,28
