a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brad Miller,Kenny Thomas,Kevin Martin,Mike Bibby,Ron Artest,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,12:00,OFF,jump ball,,Brad Miller,,,Chris Kaman,,,,,,,Los Angeles,,,,,,
Brad Miller,Kenny Thomas,Kevin Martin,Mike Bibby,Ron Artest,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:40,LAC,shot,,,,,,,,,,Tim Thomas,,,,missed,,jump,11,28
Brad Miller,Kenny Thomas,Kevin Martin,Mike Bibby,Ron Artest,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:38,SAC,rebound,,,,,,,,,,Kevin Martin,,,,,,def,,
Brad Miller,Kenny Thomas,Kevin Martin,Mike Bibby,Ron Artest,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:23,SAC,turnover,,,,,,,,,,Ron Artest,,,traveling,,,,,
Brad Miller,Kenny Thomas,Kevin Martin,Mike Bibby,Ron Artest,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:02,LAC,shot,Cuttino Mobley,,,,,,,,,Chris Kaman,2,,,made,,hook,21,11
Brad Miller,Kenny Thomas,Kevin Martin,Mike Bibby,Ron Artest,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:45,SAC,shot,,,,,,,,,,Mike Bibby,,,,missed,,jump,45,22
Brad Miller,Kenny Thomas,Kevin Martin,Mike Bibby,Ron Artest,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:43,LAC,rebound,,,,,,,,,,Cuttino Mobley,,,,,,def,,
Brad Miller,Kenny Thomas,Kevin Martin,Mike Bibby,Ron Artest,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:35,LAC,turnover,,,,,,,,,,Cuttino Mobley,,,bad pass,,Kevin Martin,,,
Brad Miller,Kenny Thomas,Kevin Martin,Mike Bibby,Ron Artest,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:35,LAC,foul,,,,,,,,Kevin Martin,,Shaun Livingston,,,,,,clear path,,
Brad Miller,Kenny Thomas,Kevin Martin,Mike Bibby,Ron Artest,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:16,SAC,shot,,,,,,,,,,Brad Miller,2,,,made,,driving layup,25,6
Brad Miller,Kenny Thomas,Kevin Martin,Mike Bibby,Ron Artest,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,9:52,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,jump,11,6
