a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,12:00,OFF,jump ball,,Zydrunas Ilgauskas,,,Ben Wallace,,,,,,,Luol Deng,,,,,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,11:37,CHI,shot,,,,,,,,,,Thabo Sefolosha,,,,missed,,jump,8,5
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,11:35,CLE,rebound,,,,,,,,,,Drew Gooden,,,,,,def,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,11:18,CLE,shot,,,,,,,,,,LeBron James,2,,,made,,jump,8,7
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,10:58,CHI,shot,,,,,,,,,,Luol Deng,,,,missed,,jump,37,23
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,10:57,CLE,rebound,,,,,,,,,,Drew Gooden,,,,,,def,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,10:48,CLE,shot,,,,,,,,,,Drew Gooden,,,,missed,,jump,14,6
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,10:46,CLE,shot,,,,,,,,,,Zydrunas Ilgauskas,2,,,made,,tip,25,6
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,10:46,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,off,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,10:33,CHI,shot,Ben Wallace,,,,,,,,,Luol Deng,2,,,made,,running layup,25,6
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,10:11,CLE,shot,Eric Snow,,,,,,,,,Zydrunas Ilgauskas,2,,,made,,jump,25,23
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,9:43,CHI,shot,,,,,,,,,,Andres Nocioni,,,,missed,,jump,25,31
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,9:42,CLE,rebound,,,,,,,,,,Drew Gooden,,,,,,def,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,9:37,CLE,shot,,,,,,,,,,LeBron James,,,,missed,,jump,42,5
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,9:37,CHI,rebound,,,,,,,,,,,,,,,,,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,9:26,CHI,shot,Chris Duhon,,,,,,,,,Andres Nocioni,2,,,made,,jump,16,24
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,9:06,CLE,shot,,,Andres Nocioni,,,,,,,LeBron James,,,,missed,,layup,25,6
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,9:06,OFF,jump ball,,LeBron James,,,Andres Nocioni,,,,,,,Thabo Sefolosha,,,,,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,9:06,CHI,rebound,,,,,,,,,,,,,,,,,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,8:58,CHI,shot,,,,,,,,,,Thabo Sefolosha,,,,missed,,layup,25,6
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,8:55,CHI,shot,,,,,,,,,,Andres Nocioni,2,,,made,,tip,25,6
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,8:55,CHI,rebound,,,,,,,,,,Andres Nocioni,,,,,,off,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,8:39,CHI,foul,,,,,,,,Zydrunas Ilgauskas,,Thabo Sefolosha,,,,,,personal,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Wallace,Chris Duhon,Luol Deng,Thabo Sefolosha,1,8:30,CHI,foul,,,,,,,,Larry Hughes,,Thabo Sefolosha,,,,,,personal,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,8:30,CHI,sub,,,,Ben Gordon,,Thabo Sefolosha,,,,,,,,,,,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,8:30,CHI,foul,,,,,,,,Eric Snow,,Ben Gordon,,,,,,personal,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,8:24,CLE,foul,,,,,,,,Andres Nocioni,,Drew Gooden,,,,,,offensive,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,8:24,CLE,turnover,,,,,,,,,,Drew Gooden,,,foul,,,,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,8:11,CHI,shot,,,Eric Snow,,,,,,,Ben Wallace,,,,missed,,layup,25,6
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,8:09,CHI,rebound,,,,,,,,,,Andres Nocioni,,,,,,off,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,8:08,CHI,shot,,,,,,,,,,Andres Nocioni,,,,missed,,layup,25,6
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,8:07,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,def,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,8:01,CLE,turnover,,,,,,,,,,Zydrunas Ilgauskas,,,3 second violation,,,,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,7:51,CHI,shot,Chris Duhon,,,,,,,,,Ben Gordon,2,,,made,,jump,37,22
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,7:51,CLE,foul,,,,,,,,Ben Gordon,,Eric Snow,,,,,,shooting,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,7:51,CHI,free throw,,,,,,,1,,1,Ben Gordon,,,foul,made,,,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,7:30,CLE,shot,,,,,,,,,,Larry Hughes,,,,missed,,jump,31,27
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,7:28,CHI,rebound,,,,,,,,,,Ben Gordon,,,,,,def,,
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,7:24,CHI,shot,,,,,,,,,,Chris Duhon,,,,missed,,jump,41,26
Drew Gooden,Eric Snow,Larry Hughes,LeBron James,Zydrunas Ilgauskas,Andres Nocioni,Ben Gordon,Ben Wallace,Chris Duhon,Luol Deng,1,7:23,CHI,rebound,,,,,,,,,,Andres Nocioni,,,,,,off,,
