a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andris Biedrins,Baron Davis,Jason Richardson,Matt Barnes,Mickael Pietrus,Brad Miller,John Salmons,Kevin Martin,Mike Bibby,Ron Artest,1,12:00,OFF,jump ball,,Andris Biedrins,,,Brad Miller,,,,,,,Mickael Pietrus,,,,,,
Andris Biedrins,Baron Davis,Jason Richardson,Matt Barnes,Mickael Pietrus,Brad Miller,John Salmons,Kevin Martin,Mike Bibby,Ron Artest,1,11:46,GSW,shot,,,,,,,,,,Baron Davis,2,,,made,,jump,8,11
Andris Biedrins,Baron Davis,Jason Richardson,Matt Barnes,Mickael Pietrus,Brad Miller,John Salmons,Kevin Martin,Mike Bibby,Ron Artest,1,11:25,SAC,shot,,,,,,,,,,John Salmons,,,,missed,,jump,22,8
Andris Biedrins,Baron Davis,Jason Richardson,Matt Barnes,Mickael Pietrus,Brad Miller,John Salmons,Kevin Martin,Mike Bibby,Ron Artest,1,11:24,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
Andris Biedrins,Baron Davis,Jason Richardson,Matt Barnes,Mickael Pietrus,Brad Miller,John Salmons,Kevin Martin,Mike Bibby,Ron Artest,1,11:03,GSW,shot,,,,,,,,,,Mickael Pietrus,,,,missed,,jump,2,6
Andris Biedrins,Baron Davis,Jason Richardson,Matt Barnes,Mickael Pietrus,Brad Miller,John Salmons,Kevin Martin,Mike Bibby,Ron Artest,1,11:01,GSW,rebound,,,,,,,,,,Baron Davis,,,,,,off,,
Andris Biedrins,Baron Davis,Jason Richardson,Matt Barnes,Mickael Pietrus,Brad Miller,John Salmons,Kevin Martin,Mike Bibby,Ron Artest,1,10:57,GSW,shot,,,,,,,,,,Baron Davis,2,,,made,,jump,48,5
Andris Biedrins,Baron Davis,Jason Richardson,Matt Barnes,Mickael Pietrus,Brad Miller,John Salmons,Kevin Martin,Mike Bibby,Ron Artest,1,10:39,SAC,shot,Kevin Martin,,,,,,,,,Mike Bibby,2,,,made,,jump,38,26
Andris Biedrins,Baron Davis,Jason Richardson,Matt Barnes,Mickael Pietrus,Brad Miller,John Salmons,Kevin Martin,Mike Bibby,Ron Artest,1,10:23,GSW,shot,,,,,,,,,,Matt Barnes,2,,,made,,jump bank,18,9
Andris Biedrins,Baron Davis,Jason Richardson,Matt Barnes,Mickael Pietrus,Brad Miller,John Salmons,Kevin Martin,Mike Bibby,Ron Artest,1,10:12,SAC,shot,,,,,,,,,,Mike Bibby,2,,,made,,driving layup,25,6
Andris Biedrins,Baron Davis,Jason Richardson,Matt Barnes,Mickael Pietrus,Brad Miller,John Salmons,Kevin Martin,Mike Bibby,Ron Artest,1,10:07,SAC,foul,,,,,,,,Mickael Pietrus,,John Salmons,,,,,,shooting,,
Andris Biedrins,Baron Davis,Jason Richardson,Matt Barnes,Mickael Pietrus,Brad Miller,John Salmons,Kevin Martin,Mike Bibby,Ron Artest,1,10:07,GSW,free throw,,,,,,,1,,2,Mickael Pietrus,,,foul,missed,,,,
