a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,12:00,OFF,jump ball,,Eddy Curry,,,Chris Kaman,,,,,,,Shaun Livingston,,,,,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:36,LAC,shot,Tim Thomas,,,,,,,,,Elton Brand,2,,,made,,reverse layup,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:19,NYK,shot,,,,,,,,,,Jared Jeffries,,,,missed,,jump,43,23
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:17,LAC,rebound,,,,,,,,,,Elton Brand,,,,,,def,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:54,LAC,turnover,,,,,,,,,,,,,24 second violation,,,,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:40,NYK,turnover,,,,,,,,,,Channing Frye,,,bad pass,,,,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:26,LAC,shot,Tim Thomas,,,,,,,,,Elton Brand,2,,,made,,jump,36,5
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:17,LAC,foul,,,,,,,,Stephon Marbury,,Shaun Livingston,,,,,,personal,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:11,NYK,shot,,,,,,,,,,Stephon Marbury,2,,,made,,running jump,11,18
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,9:55,NYK,foul,,,,,,,,Tim Thomas,,Channing Frye,,,,,,shooting,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,9:55,LAC,free throw,,,,,,,1,,2,Tim Thomas,,,foul,made,,,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,9:55,LAC,free throw,,,,,,,2,,2,Tim Thomas,,,foul,made,,,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,9:41,NYK,shot,,,,,,,,,,Channing Frye,,,,missed,,hook,23,10
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,9:38,NYK,shot,,,,,,,,,,Channing Frye,2,,,made,,tip,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,9:38,NYK,rebound,,,,,,,,,,Channing Frye,,,,,,off,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,9:31,LAC,shot,,,,,,,,,,Shaun Livingston,2,,,made,,jump,36,13
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,9:30,LAC,violation,,,,,,,,,,,,,,,,delay of game,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,9:13,NYK,shot,Jared Jeffries,,,,,,,,,Eddy Curry,2,,,made,,layup,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,9:06,LAC,shot,Shaun Livingston,,,,,,,,,Elton Brand,2,,,made,,reverse layup,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,8:56,NYK,shot,,,,,,,,,,Stephon Marbury,,,,missed,,jump,26,23
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,8:54,LAC,rebound,,,,,,,,,,Elton Brand,,,,,,def,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,8:44,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,turnaround jump,15,12
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,8:41,LAC,rebound,,,,,,,,,,Elton Brand,,,,,,off,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,8:40,LAC,shot,,,,,,,,,,Elton Brand,,,,missed,,layup,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,8:39,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,off,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,8:37,LAC,shot,,,,,,,,,,Chris Kaman,,,,missed,,layup,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,8:36,NYK,rebound,,,,,,,,,,Stephon Marbury,,,,,,def,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,8:28,NYK,shot,,,,,,,,,,Stephon Marbury,2,,,made,,driving layup,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,8:06,LAC,shot,Shaun Livingston,,,,,,,,,Elton Brand,2,,,made,,reverse layup,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:56,NYK,shot,,,,,,,,,,Channing Frye,,,,missed,,jump,24,24
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:54,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:46,LAC,shot,Shaun Livingston,,,,,,,,,Elton Brand,2,,,made,,fade away,18,12
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:23,NYK,shot,,,,,,,,,,Stephon Marbury,,,,missed,,layup,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:22,NYK,rebound,,,,,,,,,,,,,,,,,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:08,LAC,foul,,,,,,,,Jared Jeffries,,Chris Kaman,,,,,,shooting,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:08,NYK,free throw,,,,,,,1,,2,Jared Jeffries,,,foul,made,,,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,7:08,NYK,free throw,,,,,,,2,,2,Jared Jeffries,,,foul,made,,,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:57,NYK,foul,,,,,,,,Elton Brand,,Stephon Marbury,,,,,,personal,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:49,LAC,turnover,,,,,,,,,,Elton Brand,,,3 second violation,,,,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:49,NYK,foul,,,,,,,,,,Stephon Marbury,,,,,,technical,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:49,LAC,free throw,,,,,,,1,,1,Cuttino Mobley,,,technical,made,,,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:38,NYK,shot,Jamal Crawford,,,,,,,,,Jared Jeffries,2,,,made,,slam dunk,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:22,LAC,shot,Shaun Livingston,,,,,,,,,Cuttino Mobley,2,,,made,,jump,3,19
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:05,NYK,shot,,,,,,,,,,Eddy Curry,2,,,made,,layup,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Chris Kaman,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:05,LAC,foul,,,,,,,,Eddy Curry,,Chris Kaman,,,,,,shooting,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:05,LAC,sub,,,,Aaron Williams,,Chris Kaman,,,,,,,,,,,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:05,NYK,free throw,,,,,,,1,,1,Eddy Curry,,,foul,made,,,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:00,LAC,shot,Tim Thomas,,,,,,,,,Elton Brand,2,,,made,,layup,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:00,NYK,violation,,,,,,,,,,Eddy Curry,,,,,,defensive goaltending,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:00,NYK,foul,,,,,,,,Elton Brand,,Jared Jeffries,,,,,,shooting,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,6:00,LAC,free throw,,,,,,,1,,1,Elton Brand,,,foul,made,,,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,5:38,NYK,shot,,,,,,,,,,Jared Jeffries,,,,missed,,hook,29,12
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,5:35,LAC,rebound,,,,,,,,,,Aaron Williams,,,,,,def,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,5:26,LAC,shot,,,,,,,,,,Elton Brand,,,,missed,,layup,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,5:25,NYK,rebound,,,,,,,,,,Jared Jeffries,,,,,,def,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,5:11,NYK,shot,,,,,,,,,,Channing Frye,,,,missed,,jump,38,18
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,5:10,LAC,rebound,,,,,,,,,,Aaron Williams,,,,,,def,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:57,LAC,shot,,,,,,,,,,Tim Thomas,,,,missed,,jump,41,27
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:55,NYK,rebound,,,,,,,,,,Channing Frye,,,,,,def,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:49,NYK,shot,,,,,,,,,,Stephon Marbury,,,,missed,,layup,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:48,LAC,rebound,,,,,,,,,,Aaron Williams,,,,,,def,,
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:43,LAC,shot,Shaun Livingston,,,,,,,,,Elton Brand,2,,,made,,reverse layup,25,6
Channing Frye,Eddy Curry,Jamal Crawford,Jared Jeffries,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:34,NYK,timeout,,,,,,,,,,,,,,,,regular,,
Channing Frye,Eddy Curry,Jamal Crawford,Jerome James,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:34,NYK,sub,,,,Jerome James,,Jared Jeffries,,,,,,,,,,,,
David Lee,Eddy Curry,Jamal Crawford,Jerome James,Stephon Marbury,Aaron Williams,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,4:34,NYK,sub,,,,David Lee,,Channing Frye,,,,,,,,,,,,
David Lee,Eddy Curry,Jamal Crawford,Jerome James,Stephon Marbury,Aaron Williams,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,1,4:34,LAC,sub,,,,Corey Maggette,,Tim Thomas,,,,,,,,,,,,
David Lee,Eddy Curry,Jamal Crawford,Jerome James,Stephon Marbury,Aaron Williams,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,1,4:24,NYK,shot,,,Aaron Williams,,,,,,,Eddy Curry,,,,missed,,layup,25,6
David Lee,Eddy Curry,Jamal Crawford,Jerome James,Stephon Marbury,Aaron Williams,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,1,4:24,NYK,rebound,,,,,,,,,,,,,,,,,,
David Lee,Eddy Curry,Jamal Crawford,Jerome James,Stephon Marbury,Aaron Williams,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,1,4:19,LAC,foul,,,,,,,,Eddy Curry,,Aaron Williams,,,,,,personal,,
David Lee,Eddy Curry,Jamal Crawford,Jerome James,Stephon Marbury,Aaron Williams,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,1,4:07,NYK,shot,,,,,,,,,,Eddy Curry,,,,missed,,hook,27,11
David Lee,Eddy Curry,Jamal Crawford,Jerome James,Stephon Marbury,Aaron Williams,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,1,4:05,LAC,rebound,,,,,,,,,,Corey Maggette,,,,,,def,,
David Lee,Eddy Curry,Jamal Crawford,Jerome James,Stephon Marbury,Aaron Williams,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,1,3:50,LAC,shot,,,,,,,,,,Shaun Livingston,,,,missed,,jump,43,8
David Lee,Eddy Curry,Jamal Crawford,Jerome James,Stephon Marbury,Aaron Williams,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,1,3:48,NYK,rebound,,,,,,,,,,Jamal Crawford,,,,,,def,,
