a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Desmond Mason,Devin Brown,Marc Jackson,Rasual Butler,Tyson Chandler,1,12:00,OFF,jump ball,,Brendan Haywood,,,Tyson Chandler,,,,,,,Gilbert Arenas,,,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Desmond Mason,Devin Brown,Marc Jackson,Rasual Butler,Tyson Chandler,1,11:57,WAS,shot,,,,,,,,,,Gilbert Arenas,2,,,made,,layup,25,6
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Desmond Mason,Devin Brown,Marc Jackson,Rasual Butler,Tyson Chandler,1,11:57,NOK,foul,,,,,,,,Gilbert Arenas,,Devin Brown,,,,,,shooting,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Desmond Mason,Devin Brown,Marc Jackson,Rasual Butler,Tyson Chandler,1,11:57,WAS,free throw,,,,,,,1,,1,Gilbert Arenas,,,foul,made,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Desmond Mason,Devin Brown,Marc Jackson,Rasual Butler,Tyson Chandler,1,11:38,NOK,shot,,,,,,,,,,Desmond Mason,,,,missed,,jump,21,8
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Desmond Mason,Devin Brown,Marc Jackson,Rasual Butler,Tyson Chandler,1,11:36,NOK,rebound,,,,,,,,,,Tyson Chandler,,,,,,off,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Desmond Mason,Devin Brown,Marc Jackson,Rasual Butler,Tyson Chandler,1,11:33,NOK,shot,,,,,,,,,,Rasual Butler,,,,missed,,finger roll,42,24
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Desmond Mason,Devin Brown,Marc Jackson,Rasual Butler,Tyson Chandler,1,11:31,NOK,rebound,,,,,,,,,,Desmond Mason,,,,,,off,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Desmond Mason,Devin Brown,Marc Jackson,Rasual Butler,Tyson Chandler,1,11:29,NOK,shot,,,,,,,,,,Desmond Mason,,,,missed,,layup,25,6
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Desmond Mason,Devin Brown,Marc Jackson,Rasual Butler,Tyson Chandler,1,11:28,NOK,rebound,,,,,,,,,,Tyson Chandler,,,,,,off,,
