a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Andre Miller,Joe Smith,Samuel Dalembert,Willie Green,Derek Anderson,Emeka Okafor,Matt Carroll,Primoz Brezec,Raymond Felton,1,12:00,OFF,jump ball,,Samuel Dalembert,,,Emeka Okafor,,,,,,,Raymond Felton,,,,,,
Andre Iguodala,Andre Miller,Joe Smith,Samuel Dalembert,Willie Green,Derek Anderson,Emeka Okafor,Matt Carroll,Primoz Brezec,Raymond Felton,1,11:48,CHA,shot,,,Andre Iguodala,,,,,,,Matt Carroll,,,,missed,,jump,25,28
Andre Iguodala,Andre Miller,Joe Smith,Samuel Dalembert,Willie Green,Derek Anderson,Emeka Okafor,Matt Carroll,Primoz Brezec,Raymond Felton,1,11:46,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Andre Iguodala,Andre Miller,Joe Smith,Samuel Dalembert,Willie Green,Derek Anderson,Emeka Okafor,Matt Carroll,Primoz Brezec,Raymond Felton,1,11:42,PHI,shot,,,,,,,,,,Andre Iguodala,2,,,made,,dunk,25,6
Andre Iguodala,Andre Miller,Joe Smith,Samuel Dalembert,Willie Green,Derek Anderson,Emeka Okafor,Matt Carroll,Primoz Brezec,Raymond Felton,1,11:20,CHA,shot,,,,,,,,,,Raymond Felton,,,,missed,,jump,46,18
Andre Iguodala,Andre Miller,Joe Smith,Samuel Dalembert,Willie Green,Derek Anderson,Emeka Okafor,Matt Carroll,Primoz Brezec,Raymond Felton,1,11:17,PHI,rebound,,,,,,,,,,Willie Green,,,,,,def,,
Andre Iguodala,Andre Miller,Joe Smith,Samuel Dalembert,Willie Green,Derek Anderson,Emeka Okafor,Matt Carroll,Primoz Brezec,Raymond Felton,1,10:56,PHI,shot,,,,,,,,,,Joe Smith,,,,missed,,jump,25,21
Andre Iguodala,Andre Miller,Joe Smith,Samuel Dalembert,Willie Green,Derek Anderson,Emeka Okafor,Matt Carroll,Primoz Brezec,Raymond Felton,1,10:54,CHA,rebound,,,,,,,,,,Primoz Brezec,,,,,,def,,
Andre Iguodala,Andre Miller,Joe Smith,Samuel Dalembert,Willie Green,Derek Anderson,Emeka Okafor,Matt Carroll,Primoz Brezec,Raymond Felton,1,10:43,CHA,shot,,,Samuel Dalembert,,,,,,,Emeka Okafor,,,,missed,,hook,25,12
Andre Iguodala,Andre Miller,Joe Smith,Samuel Dalembert,Willie Green,Derek Anderson,Emeka Okafor,Matt Carroll,Primoz Brezec,Raymond Felton,1,10:38,PHI,rebound,,,,,,,,,,Joe Smith,,,,,,def,,
Andre Iguodala,Andre Miller,Joe Smith,Samuel Dalembert,Willie Green,Derek Anderson,Emeka Okafor,Matt Carroll,Primoz Brezec,Raymond Felton,1,10:32,CHA,foul,,,,,,,,Andre Miller,,Raymond Felton,,,,,,personal,,
Andre Iguodala,Andre Miller,Joe Smith,Samuel Dalembert,Willie Green,Derek Anderson,Emeka Okafor,Matt Carroll,Primoz Brezec,Raymond Felton,1,10:19,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,36,11
Andre Iguodala,Andre Miller,Joe Smith,Samuel Dalembert,Willie Green,Derek Anderson,Emeka Okafor,Matt Carroll,Primoz Brezec,Raymond Felton,1,10:17,CHA,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
