a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,12:00,OFF,jump ball,,Brendan Haywood,,,Tim Duncan,,,,,,,DeShawn Stevenson,,,,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,11:38,WAS,shot,,,Robert Horry,,,,,,,Antawn Jamison,,,,missed,,turnaround jump,27,10
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,11:37,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,layup,27,10
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,11:37,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,off,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,11:35,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,11:23,SAS,shot,,,,,,,,,,Tim Duncan,2,,,made,,hook,22,9
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,11:11,WAS,turnover,,,,,,,,,,Gilbert Arenas,,,bad pass,,Bruce Bowen,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,10:51,SAS,turnover,,,,,,,,,,Tim Duncan,,,lost ball,,Antawn Jamison,,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,10:45,WAS,shot,,,,,,,,,,DeShawn Stevenson,,,,missed,,jump,39,20
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,10:44,SAS,rebound,,,,,,,,,,Tony Parker,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,10:27,WAS,foul,,,,,,,,Tony Parker,,Antawn Jamison,,,,,,personal,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,10:16,SAS,shot,,,Brendan Haywood,,,,,,,Tim Duncan,,,,missed,,layup,24,9
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,10:13,SAS,shot,,,,,,,,,,Tim Duncan,,,,missed,,layup,24,9
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,10:13,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,off,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,10:11,SAS,shot,,,,,,,,,,Tim Duncan,2,,,made,,tip,24,8
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,10:11,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,off,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,9:58,WAS,shot,,,Tim Duncan,,,,,,,Brendan Haywood,,,,missed,,layup,24,7
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,9:56,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,9:53,SAS,shot,,,,,,,,,,Tony Parker,2,,,made,,layup,23,7
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,9:38,WAS,shot,,,,,,,,,,Caron Butler,,,,missed,,layup,26,8
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,9:35,SAS,rebound,,,,,,,,,,Manu Ginobili,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,9:18,SAS,shot,,,,,,,,,,Robert Horry,,,,missed,,jump,37,28
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,9:15,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Antawn Jamison,Brendan Haywood,Caron Butler,DeShawn Stevenson,Gilbert Arenas,Bruce Bowen,Manu Ginobili,Robert Horry,Tim Duncan,Tony Parker,1,9:10,WAS,shot,,,,,,,,,,DeShawn Stevenson,,,,missed,,layup,26,8
