a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,12:00,OFF,jump ball,,Emeka Okafor,,,Chris Bosh,,,,,,,Jose Calderon,,,,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,11:47,TOR,shot,,,,,,,,,,Chris Bosh,,,,missed,,jump,12,11
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,11:45,CHA,rebound,,,,,,,,,,,,,,,,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,11:33,CHA,shot,,,,,,,,,,Emeka Okafor,,,,missed,,jump hook,24,15
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,11:31,TOR,rebound,,,,,,,,,,Chris Bosh,,,,,,def,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,11:22,TOR,shot,,,,,,,,,,Jose Calderon,2,,,made,,driving layup,25,6
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,10:57,CHA,shot,,,,,,,,,,Gerald Wallace,,,,missed,,jump,46,21
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,10:56,TOR,rebound,,,,,,,,,,Jorge Garbajosa,,,,,,def,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,10:45,CHA,foul,,,,,,,,,,Derek Anderson,,,,,,illegal defense,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,10:45,TOR,free throw,,,,,,,1,,1,Jose Calderon,,,technical,made,,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,10:39,TOR,shot,Jose Calderon,,,,,,,,,Chris Bosh,2,,,made,,jump,39,15
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,10:18,CHA,turnover,,,,,,,,,,Gerald Wallace,,,bad pass,,Jorge Garbajosa,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,10:08,TOR,shot,Jorge Garbajosa,,,,,,,,,Rasho Nesterovic,2,,,made,,jump hook,31,8
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,10:02,CHA,timeout,,,,,,,,,,,,,,,,short,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,9:49,CHA,shot,Raymond Felton,,,,,,,,,Emeka Okafor,2,,,made,,dunk,25,6
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,9:32,TOR,shot,Jose Calderon,,,,,,,,,Chris Bosh,2,,,made,,jump,26,26
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,9:11,CHA,shot,Raymond Felton,,,,,,,,,Gerald Wallace,2,,,made,,driving finger roll,25,6
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,8:55,CHA,foul,,,,,,,,Rasho Nesterovic,,Gerald Wallace,,,,,,personal,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,8:48,TOR,foul,,,,,,,,Emeka Okafor,,Chris Bosh,,,,,,offensive,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,8:48,TOR,turnover,,,,,,,,,,Chris Bosh,,,foul,,,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,8:32,CHA,shot,Gerald Wallace,,,,,,,,,Raymond Felton,3,,,made,,3pt,48,8
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,8:23,TOR,shot,,,,,,,,,,Jose Calderon,,,,missed,,jump bank,37,10
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,8:21,TOR,rebound,,,,,,,,,,Rasho Nesterovic,,,,,,off,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,8:19,TOR,shot,,,,,,,,,,Rasho Nesterovic,2,,,made,,layup,25,6
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,8:01,CHA,shot,,,Rasho Nesterovic,,,,,,,Matt Carroll,,,,missed,,reverse layup,25,6
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,8:01,CHA,rebound,,,,,,,,,,,,,,,,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Matt Carroll,Raymond Felton,Anthony Parker,Chris Bosh,Jorge Garbajosa,Jose Calderon,Rasho Nesterovic,1,7:59,CHA,shot,Derek Anderson,,,,,,,,,Emeka Okafor,2,,,made,,layup,25,6
