a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,12:00,OFF,jump ball,,Chris Wilcox,,,Erick Dampier,,,,,,,Dirk Nowitzki,,,,,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,11:39,DAL,shot,,,,,,,,,,Jason Terry,,,,missed,,running jump,27,9
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,11:37,DAL,rebound,,,,,,,,,,Jason Terry,,,,,,off,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,11:34,SEA,foul,,,,,,,,Jason Terry,,Nick Collison,,,,,,shooting,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,11:34,DAL,free throw,,,,,,,1,,2,Jason Terry,,,foul,missed,,,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,11:34,DAL,rebound,,,,,,,,,,,,,,,,,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,11:34,DAL,free throw,,,,,,,2,,2,Jason Terry,,,foul,made,,,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,11:18,SEA,shot,Earl Watson,,,,,,,,,Nick Collison,2,,,made,,driving layup,25,6
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,11:00,DAL,shot,Jason Terry,,,,,,,,,Devin Harris,2,,,made,,driving layup,25,6
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,10:36,SEA,shot,Chris Wilcox,,,,,,,,,Earl Watson,2,,,made,,jump,10,18
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,10:24,DAL,shot,Jason Terry,,,,,,,,,Devean George,2,,,made,,jump,17,20
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,10:08,SEA,shot,Ray Allen,,,,,,,,,Nick Collison,2,,,made,,turnaround hook,23,11
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,9:50,SEA,foul,,,,,,,,Jason Terry,,Ray Allen,,,,,,personal,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,9:41,SEA,foul,,,,,,,,Dirk Nowitzki,,Chris Wilcox,,,,,,shooting,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,9:41,DAL,free throw,,,,,,,1,,2,Dirk Nowitzki,,,foul,made,,,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,9:41,DAL,free throw,,,,,,,2,,2,Dirk Nowitzki,,,foul,made,,,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,9:17,SEA,shot,,,,,,,,,,Ray Allen,2,,,made,,jump,43,17
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,9:08,DAL,shot,,,,,,,,,,Devin Harris,,,,missed,,running layup,25,6
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,9:05,SEA,rebound,,,,,,,,,,Chris Wilcox,,,,,,def,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,8:52,SEA,shot,,,,,,,,,,Ray Allen,2,,,made,,jump,41,10
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,8:32,DAL,shot,,,,,,,,,,Dirk Nowitzki,2,,,made,,layup,25,6
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,8:18,SEA,shot,,,,,,,,,,Ray Allen,2,,,made,,jump,40,9
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,1,8:10,DAL,timeout,,,,,,,,,,,,,,,,regular,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,8:10,DAL,sub,,,,Greg Buckner,,Devin Harris,,,,,,,,,,,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,7:55,DAL,shot,,,,,,,,,,Greg Buckner,2,,,made,,driving layup,25,6
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,7:42,SEA,shot,,,,,,,,,,Mickael Gelabale,,,,missed,,jump,16,9
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,7:40,DAL,rebound,,,,,,,,,,Greg Buckner,,,,,,def,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,7:25,DAL,shot,,,,,,,,,,Dirk Nowitzki,2,,,made,,running layup,25,6
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,7:19,SEA,shot,Earl Watson,,,,,,,,,Nick Collison,2,,,made,,layup,25,6
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,7:06,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,25,16
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,7:06,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,off,,
Chris Wilcox,Earl Watson,Mickael Gelabale,Nick Collison,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,7:06,SEA,foul,,,,,,,,Erick Dampier,,Nick Collison,,,,,,loose ball,,
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,7:06,SEA,sub,,,,Johan Petro,,Nick Collison,,,,,,,,,,,,
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,6:56,DAL,shot,Erick Dampier,,,,,,,,,Jason Terry,2,,,made,,jump,14,23
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,6:40,SEA,shot,,,,,,,,,,Mickael Gelabale,,,,missed,,jump,10,11
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,6:38,DAL,rebound,,,,,,,,,,Jason Terry,,,,,,def,,
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,6:32,DAL,turnover,,,,,,,,,,Jason Terry,,,bad pass,,Chris Wilcox,,,
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,6:28,SEA,turnover,,,,,,,,,,Earl Watson,,,lost ball out of bounds,,,,,
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,6:09,DAL,turnover,,,,,,,,,,Dirk Nowitzki,,,bad pass,,Chris Wilcox,,,
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,5:56,SEA,shot,,,,,,,,,,Earl Watson,2,,,made,,jump,38,16
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,5:37,DAL,shot,,,,,,,,,,Devean George,2,,,made,,running jump,25,11
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,5:18,SEA,shot,Earl Watson,,,,,,,,,Ray Allen,2,,,made,,layup,25,6
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,5:05,SEA,foul,,,,,,,,,,Johan Petro,,,,,,illegal defense,,
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,Devean George,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,1,5:05,DAL,free throw,,,,,,,1,,1,Dirk Nowitzki,,,technical,made,,,,
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,DeSagana Diop,Devean George,Dirk Nowitzki,Greg Buckner,Jason Terry,1,5:05,DAL,sub,,,,DeSagana Diop,,Erick Dampier,,,,,,,,,,,,
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,DeSagana Diop,Devean George,Devin Harris,Dirk Nowitzki,Greg Buckner,1,5:05,DAL,sub,,,,Devin Harris,,Jason Terry,,,,,,,,,,,,
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,DeSagana Diop,Devean George,Devin Harris,Dirk Nowitzki,Greg Buckner,1,4:54,DAL,shot,,,,,,,,,,Greg Buckner,,,,missed,,jump,23,12
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,DeSagana Diop,Devean George,Devin Harris,Dirk Nowitzki,Greg Buckner,1,4:51,SEA,rebound,,,,,,,,,,Johan Petro,,,,,,def,,
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,DeSagana Diop,Devean George,Devin Harris,Dirk Nowitzki,Greg Buckner,1,4:48,SEA,shot,Ray Allen,,,,,,,,,Chris Wilcox,2,,,made,,reverse layup,25,6
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,DeSagana Diop,Devean George,Devin Harris,Dirk Nowitzki,Greg Buckner,1,4:22,DAL,shot,Greg Buckner,,,,,,,,,Devean George,2,,,made,,jump,19,28
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,DeSagana Diop,Devean George,Devin Harris,Dirk Nowitzki,Greg Buckner,1,4:08,SEA,shot,,,,,,,,,,Ray Allen,2,,,made,,jump bank,19,30
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,DeSagana Diop,Devean George,Devin Harris,Dirk Nowitzki,Greg Buckner,1,3:57,SEA,foul,,,,,,,,Dirk Nowitzki,,Chris Wilcox,,,,,,personal,,
Chris Wilcox,Earl Watson,Johan Petro,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,3:57,DAL,sub,,,,Jerry Stackhouse,,Devean George,,,,,,,,,,,,
Chris Wilcox,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,3:57,SEA,sub,,,,Luke Ridnour,,Earl Watson,,,,,,,,,,,,
Chris Wilcox,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,3:57,DAL,free throw,,,,,,,1,,2,Dirk Nowitzki,,,foul,made,,,,
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,3:57,SEA,sub,,,,Andre Brown,,Chris Wilcox,,,,,,,,,,,,
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,3:57,DAL,free throw,,,,,,,2,,2,Dirk Nowitzki,,,foul,made,,,,
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,3:33,SEA,shot,,,,,,,,,,Mickael Gelabale,,,,missed,,jump,44,6
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,3:30,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,3:24,SEA,foul,,,,,,,,Dirk Nowitzki,,Johan Petro,,,,,,shooting,,
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,3:24,DAL,free throw,,,,,,,1,,2,Dirk Nowitzki,,,foul,made,,,,
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,3:24,DAL,free throw,,,,,,,2,,2,Dirk Nowitzki,,,foul,made,,,,
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,3:09,SEA,shot,,,,,,,,,,Luke Ridnour,,,,missed,,jump,39,16
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,3:07,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,3:01,DAL,shot,,,,,,,,,,Greg Buckner,2,,,made,,jump hook,26,10
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:51,SEA,shot,,,,,,,,,,Ray Allen,,,,missed,,jump,17,30
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:49,DAL,rebound,,,,,,,,,,Jerry Stackhouse,,,,,,def,,
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:42,DAL,shot,,,Luke Ridnour,,,,,,,Greg Buckner,,,,missed,,layup,25,6
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:40,DAL,rebound,,,,,,,,,,Devin Harris,,,,,,off,,
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:36,SEA,foul,,,,,,,,,,Johan Petro,,,,,,illegal defense,,
Andre Brown,Johan Petro,Luke Ridnour,Mickael Gelabale,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:36,SEA,timeout,,,,,,,,,,,,,,,,regular,,
Andre Brown,Damien Wilkins,Johan Petro,Luke Ridnour,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:36,SEA,sub,,,,Damien Wilkins,,Mickael Gelabale,,,,,,,,,,,,
Andre Brown,Damien Wilkins,Johan Petro,Luke Ridnour,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:36,DAL,free throw,,,,,,,1,,1,Dirk Nowitzki,,,technical,missed,,,,
Andre Brown,Damien Wilkins,Johan Petro,Luke Ridnour,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:36,DAL,rebound,,,,,,,,,,,,,,,,,,
Andre Brown,Damien Wilkins,Johan Petro,Luke Ridnour,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:28,DAL,shot,,,,,,,,,,Jerry Stackhouse,,,,missed,,jump,41,9
Andre Brown,Damien Wilkins,Johan Petro,Luke Ridnour,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:25,SEA,rebound,,,,,,,,,,Andre Brown,,,,,,def,,
Andre Brown,Damien Wilkins,Johan Petro,Luke Ridnour,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:19,SEA,shot,Damien Wilkins,,,,,,,,,Andre Brown,2,,,made,,layup,25,6
Andre Brown,Damien Wilkins,Johan Petro,Luke Ridnour,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:19,DAL,foul,,,,,,,,Andre Brown,,Dirk Nowitzki,,,,,,shooting,,
Andre Brown,Damien Wilkins,Johan Petro,Luke Ridnour,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,2:19,SEA,free throw,,,,,,,1,,1,Andre Brown,,,foul,made,,,,
Andre Brown,Damien Wilkins,Johan Petro,Luke Ridnour,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,1:58,DAL,shot,,,,,,,,,,Jerry Stackhouse,,,,missed,,jump,24,32
Andre Brown,Damien Wilkins,Johan Petro,Luke Ridnour,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,1:55,SEA,rebound,,,,,,,,,,Andre Brown,,,,,,def,,
Andre Brown,Damien Wilkins,Johan Petro,Luke Ridnour,Ray Allen,DeSagana Diop,Devin Harris,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,1,1:49,DAL,foul,,,,,,,,Johan Petro,,Greg Buckner,,,,,,personal,,
