a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Carmelo Anthony,J.R. Smith,Marcus Camby,Reggie Evans,Steve Blake,Brandon Roy,Ime Udoka,Jarrett Jack,Joel Przybilla,Zach Randolph,1,12:00,OFF,jump ball,,Marcus Camby,,,Joel Przybilla,,,,,,,Steve Blake,,,,,,
Carmelo Anthony,J.R. Smith,Marcus Camby,Reggie Evans,Steve Blake,Brandon Roy,Ime Udoka,Jarrett Jack,Joel Przybilla,Zach Randolph,1,11:41,DEN,shot,,,Joel Przybilla,,,,,,,Marcus Camby,,,,missed,,dunk,25,6
Carmelo Anthony,J.R. Smith,Marcus Camby,Reggie Evans,Steve Blake,Brandon Roy,Ime Udoka,Jarrett Jack,Joel Przybilla,Zach Randolph,1,11:38,DEN,rebound,,,,,,,,,,Reggie Evans,,,,,,off,,
Carmelo Anthony,J.R. Smith,Marcus Camby,Reggie Evans,Steve Blake,Brandon Roy,Ime Udoka,Jarrett Jack,Joel Przybilla,Zach Randolph,1,11:36,DEN,shot,,,,,,,,,,J.R. Smith,,,,missed,,jump,48,6
Carmelo Anthony,J.R. Smith,Marcus Camby,Reggie Evans,Steve Blake,Brandon Roy,Ime Udoka,Jarrett Jack,Joel Przybilla,Zach Randolph,1,11:35,POR,rebound,,,,,,,,,,Zach Randolph,,,,,,def,,
Carmelo Anthony,J.R. Smith,Marcus Camby,Reggie Evans,Steve Blake,Brandon Roy,Ime Udoka,Jarrett Jack,Joel Przybilla,Zach Randolph,1,11:22,POR,shot,Brandon Roy,,,,,,,,,Jarrett Jack,2,,,made,,jump,39,7
Carmelo Anthony,J.R. Smith,Marcus Camby,Reggie Evans,Steve Blake,Brandon Roy,Ime Udoka,Jarrett Jack,Joel Przybilla,Zach Randolph,1,11:06,DEN,shot,,,Joel Przybilla,,,,,,,Marcus Camby,,,,missed,,jump,21,7
Carmelo Anthony,J.R. Smith,Marcus Camby,Reggie Evans,Steve Blake,Brandon Roy,Ime Udoka,Jarrett Jack,Joel Przybilla,Zach Randolph,1,11:04,POR,rebound,,,,,,,,,,Zach Randolph,,,,,,def,,
Carmelo Anthony,J.R. Smith,Marcus Camby,Reggie Evans,Steve Blake,Brandon Roy,Ime Udoka,Jarrett Jack,Joel Przybilla,Zach Randolph,1,10:45,DEN,foul,,,,,,,,Brandon Roy,,J.R. Smith,,,,,,personal,,
Carmelo Anthony,J.R. Smith,Marcus Camby,Reggie Evans,Steve Blake,Brandon Roy,Ime Udoka,Jarrett Jack,Joel Przybilla,Zach Randolph,1,10:41,POR,foul,,,,,,,,Steve Blake,,Joel Przybilla,,,,,,offensive,,
