a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,12:00,OFF,jump ball,,Mehmet Okur,,,Amare Stoudemire,,,,,,,Derek Fisher,,,,,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:39,UTA,shot,,,Shawn Marion,,,,,,,Paul Millsap,,,,missed,,jump,20,13
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:39,PHX,rebound,,,,,,,,,,,,,,,,,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:30,PHX,shot,,,,,,,,,,Boris Diaw,,,,missed,,layup,25,6
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:26,PHX,rebound,,,,,,,,,,Boris Diaw,,,,,,off,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:23,PHX,shot,,,,,,,,,,Leandro Barbosa,,,,missed,,running jump,26,14
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:22,PHX,rebound,,,,,,,,,,Leandro Barbosa,,,,,,off,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:21,PHX,shot,,,,,,,,,,Leandro Barbosa,2,,,made,,layup,25,6
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,11:03,UTA,shot,Andrei Kirilenko,,,,,,,,,Derek Fisher,2,,,made,,layup,25,6
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,10:59,UTA,foul,,,,,,,,Steve Nash,,Deron Williams,,,,,,personal,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,10:48,PHX,shot,,,,,,,,,,Steve Nash,2,,,made,,jump,39,19
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,10:32,UTA,shot,Deron Williams,,,,,,,,,Mehmet Okur,2,,,made,,jump,41,15
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,10:21,PHX,shot,Steve Nash,,,,,,,,,Amare Stoudemire,2,,,made,,jump,24,24
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,10:01,UTA,shot,Derek Fisher,,,,,,,,,Deron Williams,2,,,made,,jump,13,21
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,9:50,PHX,foul,,,,,,,,Paul Millsap,,Amare Stoudemire,,,,,,offensive,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,9:50,PHX,turnover,,,,,,,,,,Amare Stoudemire,,,foul,,,,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,9:39,UTA,shot,,,,,,,,,,Derek Fisher,2,,,made,,driving layup,25,6
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,9:32,PHX,shot,Steve Nash,,,,,,,,,Leandro Barbosa,2,,,made,,layup,25,6
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,9:19,UTA,shot,,,,,,,,,,Andrei Kirilenko,,,,missed,,jump,11,17
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,9:17,PHX,rebound,,,,,,,,,,Steve Nash,,,,,,def,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,9:11,PHX,turnover,,,,,,,,,,Boris Diaw,,,out of bounds lost ball turnover,,,,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,8:56,UTA,turnover,,,,,,,,,,Paul Millsap,,,bad pass,,Steve Nash,,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,8:51,PHX,shot,,,,,,,,,,Leandro Barbosa,,,,missed,,layup,25,6
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,8:50,UTA,rebound,,,,,,,,,,Andrei Kirilenko,,,,,,def,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,8:36,UTA,shot,,,,,,,,,,Mehmet Okur,,,,missed,,jump,28,12
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,8:36,PHX,rebound,,,,,,,,,,,,,,,,,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,8:36,UTA,foul,,,,,,,,Amare Stoudemire,,Mehmet Okur,,,,,,loose ball,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,8:21,PHX,shot,Steve Nash,,,,,,,,,Boris Diaw,2,,,made,,layup,25,6
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,8:00,UTA,shot,,,,,,,,,,Deron Williams,,,,missed,,jump,11,19
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,7:58,PHX,rebound,,,,,,,,,,Leandro Barbosa,,,,,,def,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,7:48,PHX,shot,Boris Diaw,,,,,,,,,Amare Stoudemire,2,,,made,,reverse layup,25,6
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,7:33,PHX,foul,,,,,,,,Andrei Kirilenko,,Shawn Marion,,,,,,shooting,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,7:33,UTA,free throw,,,,,,,1,,2,Andrei Kirilenko,,,foul,made,,,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,7:33,UTA,free throw,,,,,,,2,,2,Andrei Kirilenko,,,foul,made,,,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,7:21,PHX,shot,,,,,,,,,,Shawn Marion,,,,missed,,3pt,43,25
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,7:18,PHX,rebound,,,,,,,,,,Boris Diaw,,,,,,off,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,7:15,PHX,shot,,,,,,,,,,Steve Nash,,,,missed,,jump,34,21
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,7:13,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,off,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,7:07,PHX,shot,,,,,,,,,,Leandro Barbosa,,,,missed,,3pt,5,23
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,7:05,UTA,rebound,,,,,,,,,,Andrei Kirilenko,,,,,,def,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,6:56,UTA,shot,,,,,,,,,,Paul Millsap,,,,missed,,turnaround jump,22,15
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,6:53,PHX,rebound,,,,,,,,,,Shawn Marion,,,,,,def,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,6:52,PHX,foul,,,,,,,,Derek Fisher,,Leandro Barbosa,,,,,,offensive,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,6:52,PHX,turnover,,,,,,,,,,Leandro Barbosa,,,foul,,,,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,6:38,UTA,shot,,,,,,,,,,Deron Williams,2,,,made,,jump bank,15,10
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,6:32,PHX,shot,Steve Nash,,,,,,,,,Shawn Marion,2,,,made,,layup,25,6
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,6:21,PHX,foul,,,,,,,,Deron Williams,,Boris Diaw,,,,,,personal,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,6:08,UTA,shot,,,,,,,,,,Derek Fisher,,,,missed,,3pt,39,27
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,6:06,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,5:57,UTA,foul,,,,,,,,Amare Stoudemire,,Paul Millsap,,,,,,shooting,,
Andrei Kirilenko,Derek Fisher,Deron Williams,Mehmet Okur,Paul Millsap,Amare Stoudemire,Boris Diaw,Leandro Barbosa,Shawn Marion,Steve Nash,1,5:57,PHX,timeout,,,,,,,,,,,,,,,,regular,,
