a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Kaman,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,12:00,OFF,jump ball,,Chris Kaman,,,Jermaine O'Neal,,,,,,,Jamaal Tinsley,,,,,,
Chris Kaman,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,11:47,IND,shot,,,,,,,,,,Troy Murphy,,,,missed,,jump,30,27
Chris Kaman,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,11:45,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Chris Kaman,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,11:30,LAC,shot,,,,,,,,,,Cuttino Mobley,,,,missed,,jump,13,21
Chris Kaman,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,11:28,IND,rebound,,,,,,,,,,Jermaine O'Neal,,,,,,def,,
Chris Kaman,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,11:16,IND,shot,,,,,,,,,,Jamaal Tinsley,,,,missed,,jump,25,16
Chris Kaman,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,11:15,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Chris Kaman,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,11:07,LAC,shot,,,,,,,,,,Sam Cassell,,,,missed,,jump,17,21
Chris Kaman,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,11:05,IND,rebound,,,,,,,,,,Jamaal Tinsley,,,,,,def,,
Chris Kaman,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,10:54,IND,shot,,,,,,,,,,Mike Dunleavy,2,,,made,,turnaround jump,14,7
Chris Kaman,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,10:39,LAC,turnover,,,,,,,,,,Chris Kaman,,,traveling,,,,,
Chris Kaman,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,10:28,IND,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,25,25
Chris Kaman,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,1,10:26,LAC,rebound,,,,,,,,,,Elton Brand,,,,,,def,,
