a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,12:00,OFF,jump ball,,Pau Gasol,,,Chris Wilcox,,,,,,,Nick Collison,,,,,,
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,11:42,MEM,foul,,,,,,,,Rashard Lewis,,Rudy Gay,,,,,,shooting,,
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,11:42,SEA,free throw,,,,,,,1,,2,Rashard Lewis,,,foul,made,,,,
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,11:42,SEA,free throw,,,,,,,2,,2,Rashard Lewis,,,foul,missed,,,,
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,11:40,MEM,rebound,,,,,,,,,,Stromile Swift,,,,,,def,,
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,11:26,MEM,shot,Damon Stoudamire,,,,,,,,,Mike Miller,3,,,made,,3pt,40,27
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,11:12,SEA,shot,,,,,,,,,,Chris Wilcox,,,,missed,,hook,23,14
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,11:10,MEM,rebound,,,,,,,,,,Stromile Swift,,,,,,def,,
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,11:01,MEM,shot,Damon Stoudamire,,,,,,,,,Rudy Gay,2,,,made,,jump,9,9
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,10:49,SEA,shot,,,,,,,,,,Rashard Lewis,,,,missed,,jump,21,12
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,10:47,SEA,rebound,,,,,,,,,,Rashard Lewis,,,,,,off,,
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,10:46,SEA,shot,,,,,,,,,,Rashard Lewis,2,,,made,,layup,25,6
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,10:36,MEM,turnover,,,,,,,,,,Stromile Swift,,,lost ball,,Luke Ridnour,,,
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,10:32,SEA,shot,,,,,,,,,,Luke Ridnour,2,,,made,,running layup,23,10
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,10:32,MEM,foul,,,,,,,,Luke Ridnour,,Damon Stoudamire,,,,,,shooting,,
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,10:32,SEA,free throw,,,,,,,1,,1,Luke Ridnour,,,foul,missed,,,,
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,10:29,MEM,rebound,,,,,,,,,,Stromile Swift,,,,,,def,,
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,10:17,MEM,shot,Damon Stoudamire,,,,,,,,,Rudy Gay,2,,,made,,jump,11,10
Damon Stoudamire,Mike Miller,Pau Gasol,Rudy Gay,Stromile Swift,Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,1,10:04,SEA,shot,,,,,,,,,,Ray Allen,,,,missed,,reverse layup,25,6
