a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,Brent Barry,Bruce Bowen,Francisco Elson,Tim Duncan,Tony Parker,1,12:00,OFF,jump ball,,Chris Wilcox,,,Tim Duncan,,,,,,,Francisco Elson,,,,,,
Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,Brent Barry,Bruce Bowen,Francisco Elson,Tim Duncan,Tony Parker,1,11:37,SAS,shot,Tim Duncan,,,,,,,,,Brent Barry,3,,,made,,3pt,45,19
Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,Brent Barry,Bruce Bowen,Francisco Elson,Tim Duncan,Tony Parker,1,11:15,SEA,shot,,,,,,,,,,Rashard Lewis,,,,missed,,jump,15,5
Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,Brent Barry,Bruce Bowen,Francisco Elson,Tim Duncan,Tony Parker,1,11:13,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,Brent Barry,Bruce Bowen,Francisco Elson,Tim Duncan,Tony Parker,1,11:10,SEA,foul,,,,,,,,Brent Barry,,Luke Ridnour,,,,,,shooting,,
Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,Brent Barry,Bruce Bowen,Francisco Elson,Tim Duncan,Tony Parker,1,11:10,SAS,free throw,,,,,,,1,,2,Brent Barry,,,foul,made,,,,
Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,Brent Barry,Bruce Bowen,Francisco Elson,Tim Duncan,Tony Parker,1,11:10,SAS,free throw,,,,,,,2,,2,Brent Barry,,,foul,made,,,,
Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,Brent Barry,Bruce Bowen,Francisco Elson,Tim Duncan,Tony Parker,1,11:00,SEA,shot,,,,,,,,,,Chris Wilcox,,,,missed,,layup,25,6
Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,Brent Barry,Bruce Bowen,Francisco Elson,Tim Duncan,Tony Parker,1,10:58,SEA,shot,,,Tim Duncan,,,,,,,Nick Collison,,,,missed,,layup,23,6
Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,Brent Barry,Bruce Bowen,Francisco Elson,Tim Duncan,Tony Parker,1,10:58,SEA,rebound,,,,,,,,,,Nick Collison,,,,,,off,,
Chris Wilcox,Luke Ridnour,Nick Collison,Rashard Lewis,Ray Allen,Brent Barry,Bruce Bowen,Francisco Elson,Tim Duncan,Tony Parker,1,10:55,SAS,rebound,,,,,,,,,,Tony Parker,,,,,,def,,
