a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Derek Anderson,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,12:00,OFF,jump ball,,Gerald Wallace,,,Elton Brand,,,,,,,Elton Brand,,,,,,
Derek Anderson,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:39,CHA,foul,,,,,,,,Shaun Livingston,,Primoz Brezec,,,,,,personal,,
Derek Anderson,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:30,LAC,shot,,,,,,,,,,Shaun Livingston,2,,,made,,running jump,20,17
Derek Anderson,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:13,CHA,shot,,,,,,,,,,Raymond Felton,,,,missed,,3pt,22,33
Derek Anderson,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:11,LAC,rebound,,,,,,,,,,Tim Thomas,,,,,,def,,
Derek Anderson,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,11:03,LAC,shot,Shaun Livingston,,,,,,,,,Corey Maggette,2,,,made,,driving layup,25,6
Derek Anderson,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:44,CHA,shot,,,,,,,,,,Gerald Wallace,,,,missed,,driving layup,25,6
Derek Anderson,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:41,LAC,rebound,,,,,,,,,,Corey Maggette,,,,,,def,,
Derek Anderson,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:21,LAC,shot,,,,,,,,,,Elton Brand,,,,missed,,jump,34,17
Derek Anderson,Gerald Wallace,Matt Carroll,Primoz Brezec,Raymond Felton,Corey Maggette,Cuttino Mobley,Elton Brand,Shaun Livingston,Tim Thomas,1,10:19,LAC,rebound,,,,,,,,,,Tim Thomas,,,,,,off,,
