a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,12:00,OFF,jump ball,,Tyson Chandler,,,Zydrunas Ilgauskas,,,,,,,David West,,,,,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,11:43,NOK,shot,,,,,,,,,,Desmond Mason,,,,missed,,jump hook,23,10
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,11:40,NOK,shot,,,,,,,,,,Tyson Chandler,2,,,made,,tip,25,6
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,11:40,NOK,rebound,,,,,,,,,,Tyson Chandler,,,,,,off,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,11:26,CLE,turnover,,,,,,,,,,Larry Hughes,,,bad pass,,David West,,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,11:21,NOK,shot,Devin Brown,,,,,,,,,Desmond Mason,2,,,made,,slam dunk,24,6
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,11:06,CLE,shot,,,,,,,,,,Drew Gooden,2,,,made,,layup,24,4
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,10:48,NOK,shot,,,,,,,,,,Desmond Mason,,,,missed,,turnaround jump,12,5
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,10:44,CLE,rebound,,,,,,,,,,Drew Gooden,,,,,,def,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,10:42,CLE,shot,,,,,,,,,,LeBron James,2,,,made,,layup,25,5
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,10:37,NOK,foul,,,,,,,,Daniel Gibson,,Chris Paul,,,,,,offensive,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,10:37,NOK,turnover,,,,,,,,,,Chris Paul,,,foul,,,,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,10:23,CLE,shot,LeBron James,,,,,,,,,Zydrunas Ilgauskas,2,,,made,,layup,25,6
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,10:23,NOK,foul,,,,,,,,Zydrunas Ilgauskas,,Tyson Chandler,,,,,,shooting,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,10:23,CLE,free throw,,,,,,,1,,1,Zydrunas Ilgauskas,,,foul,made,,,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,10:12,NOK,shot,,,,,,,,,,Tyson Chandler,,,,missed,,jump,10,8
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,10:10,NOK,shot,,,,,,,,,,David West,,,,missed,,tip,25,5
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,10:10,NOK,rebound,,,,,,,,,,David West,,,,,,off,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,10:07,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,def,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,10:00,CLE,shot,,,,,,,,,,Drew Gooden,,,,missed,,jump,11,7
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,9:59,NOK,rebound,,,,,,,,,,Tyson Chandler,,,,,,def,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,9:50,NOK,shot,Chris Paul,,,,,,,,,Desmond Mason,2,,,made,,driving finger roll,23,8
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,9:30,NOK,foul,,,,,,,,Drew Gooden,,Devin Brown,,,,,,personal,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,9:19,CLE,shot,,,,,,,,,,Zydrunas Ilgauskas,,,,missed,,hook,35,10
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,9:15,NOK,rebound,,,,,,,,,,Chris Paul,,,,,,def,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,9:12,CLE,foul,,,,,,,,Chris Paul,,Daniel Gibson,,,,,,personal,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,9:03,NOK,shot,,,,,,,,,,Desmond Mason,,,,missed,,jump,23,14
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,9:02,CLE,rebound,,,,,,,,,,,,,,,,,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,8:42,CLE,shot,,,,,,,,,,Drew Gooden,,,,missed,,jump hook,27,12
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,8:38,NOK,rebound,,,,,,,,,,David West,,,,,,def,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,8:28,NOK,shot,David West,,,,,,,,,Tyson Chandler,2,,,made,,dunk,24,7
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,8:07,CLE,shot,,,,,,,,,,Zydrunas Ilgauskas,,,,missed,,jump,10,11
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,8:06,NOK,rebound,,,,,,,,,,Devin Brown,,,,,,def,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,7:56,NOK,shot,,,,,,,,,,David West,,,,missed,,jump bank,39,10
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,7:53,CLE,rebound,,,,,,,,,,LeBron James,,,,,,def,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,7:41,CLE,turnover,,,,,,,,,,Daniel Gibson,,,bad pass,,Chris Paul,,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,7:34,CLE,foul,,,,,,,,David West,,Drew Gooden,,,,,,shooting,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,7:34,NOK,free throw,,,,,,,1,,2,David West,,,foul,made,,,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,7:34,NOK,free throw,,,,,,,2,,2,David West,,,foul,made,,,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,7:20,CLE,shot,,,,,,,,,,Larry Hughes,,,,missed,,jump,41,15
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,7:18,NOK,rebound,,,,,,,,,,Chris Paul,,,,,,def,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,7:10,NOK,shot,,,,,,,,,,Chris Paul,,,,missed,,jump,15,19
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,7:07,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,def,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,7:07,CLE,turnover,,,,,,,,,,LeBron James,,,traveling,,,,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,7:01,NOK,shot,,,,,,,,,,David West,,,,missed,,jump,29,23
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,6:57,CLE,rebound,,,,,,,,,,,,,,,,,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,6:38,CLE,shot,Larry Hughes,,,,,,,,,Daniel Gibson,3,,,made,,3pt,2,15
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,6:19,NOK,shot,,,,,,,,,,David West,,,,missed,,jump,13,19
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,6:16,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,def,,
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,6:13,CLE,shot,LeBron James,,,,,,,,,Larry Hughes,2,,,made,,driving layup,25,5
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,6:02,NOK,shot,,,,,,,,,,Chris Paul,2,,,made,,layup,25,5
Chris Paul,David West,Desmond Mason,Devin Brown,Tyson Chandler,Daniel Gibson,Drew Gooden,Larry Hughes,LeBron James,Zydrunas Ilgauskas,1,5:55,CLE,shot,,,,,,,,,,Daniel Gibson,,,,missed,,3pt,45,20
