a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,12:00,OFF,jump ball,,Zydrunas Ilgauskas,,,Erick Dampier,,,,,,,Dirk Nowitzki,,,,,,
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,11:44,DAL,shot,Dirk Nowitzki,,,,,,,,,Erick Dampier,2,,,made,,hook,18,8
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,11:22,DAL,foul,,,,,,,,LeBron James,,Erick Dampier,,,,,,shooting,,
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,11:22,CLE,free throw,,,,,,,1,,2,LeBron James,,,foul,made,,,,
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,11:22,CLE,free throw,,,,,,,2,,2,LeBron James,,,foul,made,,,,
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,11:07,DAL,shot,,,,,,,,,,Josh Howard,2,,,made,,running jump,27,10
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,10:58,DAL,violation,,,,,,,,,,Erick Dampier,,,,,,kicked ball,,
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,10:49,CLE,turnover,,,,,,,,,,Daniel Gibson,,,traveling,,,,,
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,10:32,DAL,shot,,,,,,,,,,Josh Howard,,,,missed,,jump,10,13
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,10:32,CLE,rebound,,,,,,,,,,,,,,,,,,
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,10:14,CLE,shot,Daniel Gibson,,,,,,,,,LeBron James,2,,,made,,driving layup,25,6
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,10:00,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,jump,14,12
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,9:59,DAL,rebound,,,,,,,,,,Erick Dampier,,,,,,off,,
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,9:54,DAL,shot,,,,,,,,,,Jason Terry,2,,,made,,jump,12,11
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,9:29,CLE,shot,,,,,,,,,,Sasha Pavlovic,,,,missed,,3pt,4,20
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,9:29,DAL,rebound,,,,,,,,,,Josh Howard,,,,,,def,,
Daniel Gibson,Drew Gooden,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Dirk Nowitzki,Erick Dampier,Greg Buckner,Jason Terry,Josh Howard,1,9:12,DAL,shot,Jason Terry,,,,,,,,,Josh Howard,3,,,made,,3pt,37,28
