a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,12:00,OFF,jump ball,,Jermaine O'Neal,,,Brad Miller,,,,,,,Jamaal Tinsley,,,,,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,11:41,IND,shot,,,,,,,,,,Mike Dunleavy,,,,missed,,3pt,48,7
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,11:38,SAC,rebound,,,,,,,,,,Kenny Thomas,,,,,,def,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,11:24,SAC,shot,,,,,,,,,,Kenny Thomas,,,,missed,,running hook,20,11
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,11:22,IND,rebound,,,,,,,,,,Mike Dunleavy,,,,,,def,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,11:13,IND,shot,,,,,,,,,,Jamaal Tinsley,2,,,made,,jump,22,11
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,10:54,SAC,shot,,,,,,,,,,Kevin Martin,,,,missed,,3pt,6,22
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,10:52,IND,rebound,,,,,,,,,,Jermaine O'Neal,,,,,,def,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,10:44,SAC,foul,,,,,,,,Troy Murphy,,Brad Miller,,,,,,shooting,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,10:44,IND,free throw,,,,,,,1,,2,Troy Murphy,,,foul,missed,,,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,10:44,IND,rebound,,,,,,,,,,,,,,,,,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,10:44,IND,free throw,,,,,,,2,,2,Troy Murphy,,,foul,made,,,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,10:28,SAC,shot,,,,,,,,,,John Salmons,2,,,made,,fade away jumper,15,10
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,10:11,IND,turnover,,,,,,,,,,Jermaine O'Neal,,,traveling,,,,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,10:02,SAC,shot,Brad Miller,,,,,,,,,John Salmons,2,,,made,,layup,25,6
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,10:02,IND,foul,,,,,,,,John Salmons,,Jermaine O'Neal,,,,,,shooting,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,10:02,SAC,free throw,,,,,,,1,,1,John Salmons,,,foul,made,,,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,9:41,IND,shot,,,,,,,,,,Mike Dunleavy,2,,,made,,jump,7,8
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,9:29,SAC,shot,,,,,,,,,,Kenny Thomas,,,,missed,,layup,25,6
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,9:28,IND,rebound,,,,,,,,,,Troy Murphy,,,,,,def,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,9:22,IND,shot,,,,,,,,,,Jamaal Tinsley,,,,missed,,jump,19,11
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,9:20,SAC,rebound,,,,,,,,,,Brad Miller,,,,,,def,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,9:15,SAC,shot,,,,,,,,,,Mike Bibby,,,,missed,,3pt,4,20
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,9:13,SAC,rebound,,,,,,,,,,Kenny Thomas,,,,,,off,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,9:09,SAC,shot,John Salmons,,,,,,,,,Kevin Martin,3,,,made,,3pt,48,7
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,8:48,IND,shot,,,,,,,,,,Jermaine O'Neal,,,,missed,,jump,36,9
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,8:46,SAC,rebound,,,,,,,,,,Kevin Martin,,,,,,def,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,8:35,SAC,shot,,,,,,,,,,Brad Miller,2,,,made,,jump,34,7
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,8:28,IND,shot,,,,,,,,,,Jamaal Tinsley,2,,,made,,driving layup,25,6
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,8:15,SAC,shot,Kenny Thomas,,,,,,,,,Mike Bibby,2,,,made,,jump,15,25
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,8:00,IND,shot,,,,,,,,,,Jamaal Tinsley,2,,,made,,jump,33,11
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,8:00,SAC,foul,,,,,,,,Jamaal Tinsley,,Mike Bibby,,,,,,shooting,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,8:00,IND,free throw,,,,,,,1,,1,Jamaal Tinsley,,,foul,made,,,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,7:50,IND,foul,,,,,,,,Kevin Martin,,Mike Dunleavy,,,,,,shooting,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,7:50,SAC,free throw,,,,,,,1,,2,Kevin Martin,,,foul,missed,,,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,7:50,SAC,rebound,,,,,,,,,,,,,,,,,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,7:50,SAC,free throw,,,,,,,2,,2,Kevin Martin,,,foul,made,,,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,7:40,IND,shot,Jamaal Tinsley,,,,,,,,,Jermaine O'Neal,2,,,made,,dunk,25,6
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,7:30,SAC,turnover,,,,,,,,,,Kenny Thomas,,,bad pass,,,,,
Danny Granger,Jamaal Tinsley,Jermaine O'Neal,Mike Dunleavy,Troy Murphy,Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Mike Bibby,1,7:05,IND,turnover,,,,,,,,,,Mike Dunleavy,,,bad pass,,John Salmons,,,
