a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chauncey Billups,Chris Webber,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Allen Iverson,Carmelo Anthony,DerMarr Johnson,Marcus Camby,Nene Hilario,1,12:00,OFF,jump ball,,Rasheed Wallace,,,Marcus Camby,,,,,,,Carmelo Anthony,,,,,,
Chauncey Billups,Chris Webber,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Allen Iverson,Carmelo Anthony,DerMarr Johnson,Marcus Camby,Nene Hilario,1,11:49,DEN,turnover,,,,,,,,,,Carmelo Anthony,,,lost ball,,Tayshaun Prince,,,
Chauncey Billups,Chris Webber,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Allen Iverson,Carmelo Anthony,DerMarr Johnson,Marcus Camby,Nene Hilario,1,11:45,DET,shot,Tayshaun Prince,,,,,,,,,Chauncey Billups,2,,,made,,layup,25,6
Chauncey Billups,Chris Webber,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Allen Iverson,Carmelo Anthony,DerMarr Johnson,Marcus Camby,Nene Hilario,1,11:27,DEN,shot,Nene Hilario,,,,,,,,,Marcus Camby,2,,,made,,layup,25,6
Chauncey Billups,Chris Webber,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Allen Iverson,Carmelo Anthony,DerMarr Johnson,Marcus Camby,Nene Hilario,1,11:10,DET,shot,Richard Hamilton,,,,,,,,,Rasheed Wallace,3,,,made,,3pt,30,30
Chauncey Billups,Chris Webber,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Allen Iverson,Carmelo Anthony,DerMarr Johnson,Marcus Camby,Nene Hilario,1,10:47,DEN,shot,,,,,,,,,,DerMarr Johnson,,,,missed,,3pt,11,26
Chauncey Billups,Chris Webber,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Allen Iverson,Carmelo Anthony,DerMarr Johnson,Marcus Camby,Nene Hilario,1,10:46,DEN,rebound,,,,,,,,,,Nene Hilario,,,,,,off,,
Chauncey Billups,Chris Webber,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Allen Iverson,Carmelo Anthony,DerMarr Johnson,Marcus Camby,Nene Hilario,1,10:43,DEN,shot,,,,,,,,,,Allen Iverson,,,,missed,,jump,31,26
Chauncey Billups,Chris Webber,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Allen Iverson,Carmelo Anthony,DerMarr Johnson,Marcus Camby,Nene Hilario,1,10:40,DET,rebound,,,,,,,,,,Richard Hamilton,,,,,,def,,
Chauncey Billups,Chris Webber,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,Allen Iverson,Carmelo Anthony,DerMarr Johnson,Marcus Camby,Nene Hilario,1,10:26,DET,turnover,,,,,,,,,,Richard Hamilton,,,3 second violation,,,,,
