a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andrei Kirilenko,Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Eddie Jones,James Posey,Jason Williams,Shaquille O'Neal,Udonis Haslem,1,12:00,OFF,jump ball,,Mehmet Okur,,,Shaquille O'Neal,,,,,,,Jason Williams,,,,,,
Andrei Kirilenko,Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Eddie Jones,James Posey,Jason Williams,Shaquille O'Neal,Udonis Haslem,1,11:39,MIA,shot,,,,,,,,,,Shaquille O'Neal,,,,missed,,turnaround jump,32,8
Andrei Kirilenko,Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Eddie Jones,James Posey,Jason Williams,Shaquille O'Neal,Udonis Haslem,1,11:37,UTA,rebound,,,,,,,,,,Carlos Boozer,,,,,,def,,
Andrei Kirilenko,Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Eddie Jones,James Posey,Jason Williams,Shaquille O'Neal,Udonis Haslem,1,11:25,UTA,shot,Mehmet Okur,,,,,,,,,Deron Williams,2,,,made,,jump,11,20
Andrei Kirilenko,Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Eddie Jones,James Posey,Jason Williams,Shaquille O'Neal,Udonis Haslem,1,11:02,MIA,shot,,,,,,,,,,Shaquille O'Neal,2,,,made,,hook,24,13
Andrei Kirilenko,Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Eddie Jones,James Posey,Jason Williams,Shaquille O'Neal,Udonis Haslem,1,10:48,UTA,shot,,,,,,,,,,Carlos Boozer,2,,,made,,jump,11,7
Andrei Kirilenko,Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Eddie Jones,James Posey,Jason Williams,Shaquille O'Neal,Udonis Haslem,1,10:35,MIA,turnover,,,,,,,,,,Udonis Haslem,,,traveling,,,,,
Andrei Kirilenko,Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Eddie Jones,James Posey,Jason Williams,Shaquille O'Neal,Udonis Haslem,1,10:20,UTA,shot,,,,,,,,,,Carlos Boozer,,,,missed,,jump,24,22
Andrei Kirilenko,Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Eddie Jones,James Posey,Jason Williams,Shaquille O'Neal,Udonis Haslem,1,10:18,MIA,rebound,,,,,,,,,,James Posey,,,,,,def,,
Andrei Kirilenko,Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Eddie Jones,James Posey,Jason Williams,Shaquille O'Neal,Udonis Haslem,1,10:08,MIA,shot,,,,,,,,,,James Posey,,,,missed,,3pt,4,22
