a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,12:00,OFF,jump ball,,Brendan Haywood,,,Jamaal Magloire,,,,,,,Gilbert Arenas,,,,,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,11:55,POR,foul,,,,,,,,Gilbert Arenas,,Jarrett Jack,,,,,,personal,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,11:44,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump bank,43,13
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,11:41,POR,rebound,,,,,,,,,,Brandon Roy,,,,,,def,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,11:23,POR,shot,,,,,,,,,,Jamaal Magloire,2,,,made,,driving layup,25,6
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,11:15,OFF,jump ball,,Gilbert Arenas,,,Ime Udoka,,,,,,,Andray Blatche,,,,,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,10:59,WAS,shot,Antawn Jamison,,,,,,,,,DeShawn Stevenson,3,,,made,,3pt,40,26
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,10:43,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,3pt,12,27
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,10:41,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,def,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,10:35,WAS,shot,Andray Blatche,,,,,,,,,Antawn Jamison,3,,,made,,3pt,41,25
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,10:25,POR,turnover,,,,,,,,,,Brandon Roy,,,traveling,,,,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,10:23,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,3pt,47,18
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,10:20,POR,rebound,,,,,,,,,,Jamaal Magloire,,,,,,def,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,10:06,POR,shot,,,,,,,,,,Ime Udoka,,,,missed,,jump,36,23
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,10:05,POR,rebound,,,,,,,,,,,,,,,,,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,10:05,WAS,foul,,,,,,,,Ime Udoka,,DeShawn Stevenson,,,,,,loose ball,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,9:54,POR,shot,Brandon Roy,,,,,,,,,Ime Udoka,2,,,made,,jump,10,19
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,9:38,WAS,foul,,,,,,,,Brandon Roy,,Antawn Jamison,,,,,,offensive,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,9:38,WAS,turnover,,,,,,,,,,Antawn Jamison,,,foul,,,,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,9:25,POR,shot,,,Brendan Haywood,,,,,,,Jamaal Magloire,,,,missed,,hook,25,10
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,9:23,POR,rebound,,,,,,,,,,Brandon Roy,,,,,,off,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,9:23,POR,turnover,,,,,,,,,,Brandon Roy,,,poss lost ball turnover,,,,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,9:10,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,31,22
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,9:08,POR,rebound,,,,,,,,,,Brandon Roy,,,,,,def,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,9:02,WAS,foul,,,,,,,,Jarrett Jack,,Brendan Haywood,,,,,,personal,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,8:54,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,jump,11,15
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,8:52,WAS,rebound,,,,,,,,,,Andray Blatche,,,,,,def,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,8:40,WAS,shot,,,,,,,,,,Brendan Haywood,2,,,made,,turnaround jump,25,12
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,8:25,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,jump,28,22
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,8:23,POR,rebound,,,,,,,,,,Jamaal Magloire,,,,,,off,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,8:15,POR,shot,,,,,,,,,,Ime Udoka,,,,missed,,3pt,48,6
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,8:13,WAS,rebound,,,,,,,,,,Brendan Haywood,,,,,,def,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,8:05,WAS,shot,Gilbert Arenas,,,,,,,,,Brendan Haywood,2,,,made,,dunk,25,6
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,7:37,POR,shot,,,,,,,,,,Brandon Roy,,,,missed,,layup,25,6
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,7:35,POR,shot,,,,,,,,,,LaMarcus Aldridge,,,,missed,,tip,25,6
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,7:35,POR,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,off,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,7:35,POR,rebound,,,,,,,,,,,,,,,,,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,7:34,POR,shot,,,,,,,,,,Jarrett Jack,,,,missed,,reverse layup,25,6
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,7:31,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,def,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Brandon Roy,Ime Udoka,Jamaal Magloire,Jarrett Jack,LaMarcus Aldridge,1,7:24,WAS,shot,,,,,,,,,,DeShawn Stevenson,,,,missed,,layup,25,6
