a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,1,12:00,OFF,jump ball,,Brendan Haywood,,,Andris Biedrins,,,,,,,Stephen Jackson,,,,,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,1,11:47,GSW,shot,,,,,,,,,,Andris Biedrins,,,,missed,,jump,28,8
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,1,11:46,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,def,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,1,11:35,WAS,shot,Gilbert Arenas,,,,,,,,,Antawn Jamison,3,,,made,,3pt,44,22
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,1,11:25,GSW,turnover,,,,,,,,,,Stephen Jackson,,,bad pass,,Andray Blatche,,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,1,11:25,GSW,foul,,,,,,,,DeShawn Stevenson,,Baron Davis,,,,,,personal,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,1,11:10,WAS,shot,,,,,,,,,,Brendan Haywood,,,,missed,,jump,24,9
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,1,11:09,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,tip,25,6
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,1,11:09,WAS,rebound,,,,,,,,,,Antawn Jamison,,,,,,off,,
Andray Blatche,Antawn Jamison,Brendan Haywood,DeShawn Stevenson,Gilbert Arenas,Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,1,11:05,GSW,rebound,,,,,,,,,,Andris Biedrins,,,,,,def,,
