a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,1,12:00,OFF,jump ball,,Andris Biedrins,,,Lamar Odom,,,,,,,Jason Richardson,,,,,,
Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,1,11:40,GSW,shot,,,,,,,,,,Al Harrington,,,,missed,,jump,31,8
Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,1,11:39,LAL,rebound,,,,,,,,,,Lamar Odom,,,,,,def,,
Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,1,11:32,LAL,shot,,,,,,,,,,Luke Walton,,,,missed,,jump,10,6
Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,1,11:29,LAL,rebound,,,,,,,,,,Kobe Bryant,,,,,,off,,
Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,1,11:28,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,driving layup,25,6
Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,1,11:19,GSW,turnover,,,,,,,,,,Stephen Jackson,,,lost ball,,Smush Parker,,,
Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,1,11:13,LAL,shot,Luke Walton,,,,,,,,,Smush Parker,2,,,made,,layup,25,6
Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,1,11:13,GSW,foul,,,,,,,,Smush Parker,,Al Harrington,,,,,,shooting,,
Al Harrington,Andris Biedrins,Baron Davis,Jason Richardson,Stephen Jackson,Kobe Bryant,Kwame Brown,Lamar Odom,Luke Walton,Smush Parker,1,11:13,LAL,free throw,,,,,,,1,,1,Smush Parker,,,foul,made,,,,
