a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,12:00,OFF,jump ball,,Jason Maxiell,,,Ben Wallace,,,,,,,Ben Gordon,,,,,,
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,11:39,CHI,shot,,,Jason Maxiell,,,,,,,Ben Wallace,,,,missed,,jump,38,6
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,11:36,DET,rebound,,,,,,,,,,Rasheed Wallace,,,,,,def,,
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,11:26,CHI,foul,,,,,,,,Ronald Murray,,Ben Gordon,,,,,,personal,,
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,11:12,DET,shot,,,,,,,,,,Rasheed Wallace,,,,missed,,jump,10,18
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,11:10,DET,rebound,,,,,,,,,,Jason Maxiell,,,,,,off,,
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,10:58,DET,shot,,,,,,,,,,Tayshaun Prince,,,,missed,,3pt,49,5
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,10:56,CHI,rebound,,,,,,,,,,P.J. Brown,,,,,,def,,
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,10:51,CHI,shot,Kirk Hinrich,,,,,,,,,Luol Deng,2,,,made,,layup,25,6
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,10:30,CHI,foul,,,,,,,,,,Luol Deng,,,,,,defense 3 second,,
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,10:30,DET,free throw,,,,,,,1,,1,Chauncey Billups,,,technical,made,,,,
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,10:16,DET,shot,,,,,,,,,,Ronald Murray,,,,missed,,3pt,11,27
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,10:14,CHI,rebound,,,,,,,,,,Kirk Hinrich,,,,,,def,,
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,10:03,OFF,jump ball,,Ronald Murray,,,Ben Gordon,,,,,,,Kirk Hinrich,,,,,,
Chauncey Billups,Jason Maxiell,Rasheed Wallace,Ronald Murray,Tayshaun Prince,Ben Gordon,Ben Wallace,Kirk Hinrich,Luol Deng,P.J. Brown,1,9:56,DET,foul,,,,,,,,Ben Gordon,,Ronald Murray,,,,,,shooting,,
