a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,12:00,OFF,jump ball,,Eddy Curry,,,Erick Dampier,,,,,,,Dirk Nowitzki,,,,,,
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,11:44,DAL,shot,,,,,,,,,,Josh Howard,,,,missed,,jump,43,6
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,11:43,NYK,rebound,,,,,,,,,,Stephon Marbury,,,,,,def,,
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,11:27,NYK,shot,Nate Robinson,,,,,,,,,Eddy Curry,2,,,made,,hook,20,8
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,11:03,DAL,shot,Devin Harris,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,40,10
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,10:43,NYK,shot,,,,,,,,,,Eddy Curry,,,,missed,,jump,20,9
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,10:43,NYK,rebound,,,,,,,,,,Jared Jeffries,,,,,,off,,
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,10:43,DAL,foul,,,,,,,,Jared Jeffries,,Dirk Nowitzki,,,,,,loose ball,,
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,10:37,NYK,shot,,,,,,,,,,Stephon Marbury,3,,,made,,3pt,15,29
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,10:19,DAL,shot,Jason Terry,,,,,,,,,Erick Dampier,2,,,made,,slam dunk,25,6
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,9:56,NYK,shot,,,Josh Howard,,,,,,,Jared Jeffries,,,,missed,,turnaround jump,28,9
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,9:56,NYK,rebound,,,,,,,,,,,,,,,,,,
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,9:53,NYK,shot,,,,,,,,,,Channing Frye,,,,missed,,3pt,40,33
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,9:53,NYK,rebound,,,,,,,,,,,,,,,,,,
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,9:53,NYK,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,9:36,DAL,turnover,,,,,,,,,,Erick Dampier,,,3 second violation,,,,,
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,9:22,NYK,shot,,,Erick Dampier,,,,,,,Jared Jeffries,,,,missed,,hook,29,10
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,9:21,DAL,rebound,,,,,,,,,,,,,,,,,,
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,9:15,DAL,shot,,,Jared Jeffries,,,,,,,Erick Dampier,,,,missed,,layup,25,6
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,9:13,NYK,rebound,,,,,,,,,,Stephon Marbury,,,,,,def,,
Channing Frye,Eddy Curry,Jared Jeffries,Nate Robinson,Stephon Marbury,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Josh Howard,1,9:06,NYK,shot,Stephon Marbury,,,,,,,,,Channing Frye,2,,,made,,jump,13,22
