a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kevin Garnett,Mark Blount,Marko Jaric,Mike James,Ricky Davis,Channing Frye,Eddy Curry,Jared Jeffries,Mardy Collins,Stephon Marbury,1,12:00,OFF,jump ball,,Kevin Garnett,,,Eddy Curry,,,,,,,Mark Blount,,,,,,
Kevin Garnett,Mark Blount,Marko Jaric,Mike James,Ricky Davis,Channing Frye,Eddy Curry,Jared Jeffries,Mardy Collins,Stephon Marbury,1,11:40,MIN,shot,,,,,,,,,,Kevin Garnett,2,,,made,,jump,22,14
Kevin Garnett,Mark Blount,Marko Jaric,Mike James,Ricky Davis,Channing Frye,Eddy Curry,Jared Jeffries,Mardy Collins,Stephon Marbury,1,11:24,NYK,shot,Mardy Collins,,,,,,,,,Channing Frye,2,,,made,,jump,36,21
Kevin Garnett,Mark Blount,Marko Jaric,Mike James,Ricky Davis,Channing Frye,Eddy Curry,Jared Jeffries,Mardy Collins,Stephon Marbury,1,11:17,NYK,foul,,,,,,,,Kevin Garnett,,Channing Frye,,,,,,personal,,
Kevin Garnett,Mark Blount,Marko Jaric,Mike James,Ricky Davis,Channing Frye,Eddy Curry,Jared Jeffries,Mardy Collins,Stephon Marbury,1,11:17,NYK,timeout,,,,,,,,,,,,,,,,short,,
Kevin Garnett,Mark Blount,Marko Jaric,Mike James,Ricky Davis,Channing Frye,Eddy Curry,Jared Jeffries,Mardy Collins,Stephon Marbury,1,11:15,NYK,foul,,,,,,,,Ricky Davis,,Mardy Collins,,,,,,personal,,
Kevin Garnett,Mark Blount,Marko Jaric,Mike James,Ricky Davis,Channing Frye,Eddy Curry,Jared Jeffries,Mardy Collins,Stephon Marbury,1,11:07,MIN,shot,Kevin Garnett,,,,,,,,,Ricky Davis,2,,,made,,jump,12,18
Kevin Garnett,Mark Blount,Marko Jaric,Mike James,Ricky Davis,Channing Frye,Eddy Curry,Jared Jeffries,Mardy Collins,Stephon Marbury,1,10:44,NYK,shot,,,,,,,,,,Channing Frye,,,,missed,,jump,19,18
Kevin Garnett,Mark Blount,Marko Jaric,Mike James,Ricky Davis,Channing Frye,Eddy Curry,Jared Jeffries,Mardy Collins,Stephon Marbury,1,10:41,MIN,rebound,,,,,,,,,,Kevin Garnett,,,,,,def,,
Kevin Garnett,Mark Blount,Marko Jaric,Mike James,Ricky Davis,Channing Frye,Eddy Curry,Jared Jeffries,Mardy Collins,Stephon Marbury,1,10:38,MIN,turnover,,,,,,,,,,Ricky Davis,,,traveling,,,,,
