a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Antawn Jamison,Antonio Daniels,DeShawn Stevenson,Etan Thomas,Jarvis Hayes,Jason Collins,Jason Kidd,Mikki Moore,Richard Jefferson,Vince Carter,1,12:00,OFF,jump ball,,Etan Thomas,,,Jason Collins,,,,,,,Washington,,,,,,
Antawn Jamison,Antonio Daniels,DeShawn Stevenson,Etan Thomas,Jarvis Hayes,Jason Collins,Jason Kidd,Mikki Moore,Richard Jefferson,Vince Carter,1,11:40,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,37,17
Antawn Jamison,Antonio Daniels,DeShawn Stevenson,Etan Thomas,Jarvis Hayes,Jason Collins,Jason Kidd,Mikki Moore,Richard Jefferson,Vince Carter,1,11:39,NJN,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
Antawn Jamison,Antonio Daniels,DeShawn Stevenson,Etan Thomas,Jarvis Hayes,Jason Collins,Jason Kidd,Mikki Moore,Richard Jefferson,Vince Carter,1,11:32,NJN,shot,Jason Kidd,,,,,,,,,Vince Carter,3,,,made,,3pt,40,26
Antawn Jamison,Antonio Daniels,DeShawn Stevenson,Etan Thomas,Jarvis Hayes,Jason Collins,Jason Kidd,Mikki Moore,Richard Jefferson,Vince Carter,1,11:15,WAS,shot,Etan Thomas,,,,,,,,,Jarvis Hayes,2,,,made,,driving layup,25,6
Antawn Jamison,Antonio Daniels,DeShawn Stevenson,Etan Thomas,Jarvis Hayes,Jason Collins,Jason Kidd,Mikki Moore,Richard Jefferson,Vince Carter,1,11:01,NJN,turnover,,,,,,,,,,Jason Kidd,,,bad pass,,,,,
Antawn Jamison,Antonio Daniels,DeShawn Stevenson,Etan Thomas,Jarvis Hayes,Jason Collins,Jason Kidd,Mikki Moore,Richard Jefferson,Vince Carter,1,10:50,WAS,shot,Jarvis Hayes,,,,,,,,,Antonio Daniels,3,,,made,,3pt,40,25
Antawn Jamison,Antonio Daniels,DeShawn Stevenson,Etan Thomas,Jarvis Hayes,Jason Collins,Jason Kidd,Mikki Moore,Richard Jefferson,Vince Carter,1,10:39,NJN,turnover,,,,,,,,,,Vince Carter,,,bad pass,,,,,
Antawn Jamison,Antonio Daniels,DeShawn Stevenson,Etan Thomas,Jarvis Hayes,Jason Collins,Jason Kidd,Mikki Moore,Richard Jefferson,Vince Carter,1,10:28,WAS,shot,,,,,,,,,,Antawn Jamison,,,,missed,,jump,33,19
Antawn Jamison,Antonio Daniels,DeShawn Stevenson,Etan Thomas,Jarvis Hayes,Jason Collins,Jason Kidd,Mikki Moore,Richard Jefferson,Vince Carter,1,10:27,WAS,rebound,,,,,,,,,,Etan Thomas,,,,,,off,,
