a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,12:00,OFF,jump ball,,Mehmet Okur,,,Al Harrington,,,,,,,Baron Davis,,,,,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,11:40,GSW,shot,,,,,,,,,,Baron Davis,,,,missed,,layup,27,8
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,11:39,UTA,rebound,,,,,,,,,,Carlos Boozer,,,,,,def,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,11:31,UTA,shot,,,,,,,,,,Mehmet Okur,,,,missed,,jump hook,25,8
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,11:30,UTA,rebound,,,,,,,,,,Mehmet Okur,,,,,,off,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,11:28,UTA,shot,,,,,,,,,,Mehmet Okur,2,,,made,,jump bank,27,10
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,11:07,GSW,shot,,,,,,,,,,Monta Ellis,2,,,made,,driving layup,23,8
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,10:47,UTA,turnover,,,,,,,,,,Carlos Boozer,,,3 second violation,,,,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,10:35,GSW,shot,,,,,,,,,,Stephen Jackson,,,,missed,,jump,31,27
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,10:33,UTA,rebound,,,,,,,,,,Deron Williams,,,,,,def,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,10:25,UTA,shot,,,,,,,,,,Carlos Boozer,,,,missed,,layup,27,8
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,10:25,GSW,rebound,,,,,,,,,,Jason Richardson,,,,,,def,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,10:25,OFF,jump ball,,Ronnie Brewer,,,Jason Richardson,,,,,,,Baron Davis,,,,,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,10:19,GSW,shot,,,,,,,,,,Stephen Jackson,2,,,made,,running hook,25,10
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,10:19,UTA,foul,,,,,,,,Stephen Jackson,,Mehmet Okur,,,,,,shooting,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,10:19,GSW,free throw,,,,,,,1,,1,Stephen Jackson,,,foul,made,,,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,10:05,UTA,shot,,,,,,,,,,Derek Fisher,2,,,made,,driving layup,27,7
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,9:58,GSW,shot,,,,,,,,,,Jason Richardson,,,,missed,,3pt,48,4
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,9:57,UTA,rebound,,,,,,,,,,Carlos Boozer,,,,,,def,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,9:53,UTA,turnover,,,,,,,,,,Ronnie Brewer,,,poss lost ball turnover,,,,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,9:40,GSW,turnover,,,,,,,,,,Stephen Jackson,,,traveling,,,,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,9:26,UTA,shot,,,,,,,,,,Deron Williams,,,,missed,,jump,40,20
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,9:25,GSW,rebound,,,,,,,,,,Al Harrington,,,,,,def,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,9:10,GSW,shot,Stephen Jackson,,,,,,,,,Baron Davis,3,,,made,,3pt,12,28
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,8:45,UTA,shot,,,,,,,,,,Deron Williams,,,,missed,,fade away jumper,12,15
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,8:44,GSW,rebound,,,,,,,,,,Al Harrington,,,,,,def,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,8:34,GSW,shot,Baron Davis,,,,,,,,,Monta Ellis,2,,,made,,jump,9,6
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,8:09,UTA,shot,,,,,,,,,,Ronnie Brewer,2,,,made,,driving layup,23,7
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,8:06,UTA,foul,,,,,,,,Jason Richardson,,Deron Williams,,,,,,shooting,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,8:06,GSW,free throw,,,,,,,1,,2,Jason Richardson,,,foul,missed,,,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,8:06,GSW,rebound,,,,,,,,,,,,,,,,,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,8:06,GSW,free throw,,,,,,,2,,2,Jason Richardson,,,foul,made,,,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,7:41,UTA,shot,,,,,,,,,,Ronnie Brewer,,,,missed,,jump hook,32,7
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,7:39,UTA,rebound,,,,,,,,,,Ronnie Brewer,,,,,,off,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,7:26,UTA,foul,,,,,,,,Stephen Jackson,,Mehmet Okur,,,,,,offensive,,
Carlos Boozer,Derek Fisher,Deron Williams,Mehmet Okur,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,7:26,UTA,turnover,,,,,,,,,,Mehmet Okur,,,foul,,,,,
Carlos Boozer,Derek Fisher,Deron Williams,Paul Millsap,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,7:26,UTA,sub,,,,Paul Millsap,,Mehmet Okur,,,,,,,,,,,,
Carlos Boozer,Derek Fisher,Deron Williams,Paul Millsap,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,7:10,GSW,shot,,,,,,,,,,Stephen Jackson,2,,,made,,driving layup,23,7
Carlos Boozer,Derek Fisher,Deron Williams,Paul Millsap,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,6:54,GSW,foul,,,,,,,,Derek Fisher,,Stephen Jackson,,,,,,shooting,,
Carlos Boozer,Derek Fisher,Deron Williams,Paul Millsap,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,6:54,UTA,free throw,,,,,,,1,,2,Derek Fisher,,,foul,made,,,,
Carlos Boozer,Derek Fisher,Deron Williams,Paul Millsap,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,6:54,UTA,free throw,,,,,,,2,,2,Derek Fisher,,,foul,made,,,,
Carlos Boozer,Derek Fisher,Deron Williams,Paul Millsap,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,6:38,GSW,shot,,,,,,,,,,Jason Richardson,,,,missed,,3pt,44,20
Carlos Boozer,Derek Fisher,Deron Williams,Paul Millsap,Ronnie Brewer,Al Harrington,Baron Davis,Jason Richardson,Monta Ellis,Stephen Jackson,1,6:37,UTA,rebound,,,,,,,,,,Carlos Boozer,,,,,,def,,
