a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,12:00,OFF,jump ball,,Amare Stoudemire,,,Mehmet Okur,,,,,,,Steve Nash,,,,,,
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,11:42,PHX,turnover,,,,,,,,,,Shawn Marion,,,bad pass,,,,,
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,11:30,UTA,shot,,,,,,,,,,Mehmet Okur,,,,missed,,jump,18,7
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,11:29,PHX,rebound,,,,,,,,,,Amare Stoudemire,,,,,,def,,
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,11:22,PHX,shot,Steve Nash,,,,,,,,,Shawn Marion,2,,,made,,layup,25,6
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,11:08,UTA,turnover,,,,,,,,,,Derek Fisher,,,bad pass,,,,,
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,10:57,PHX,shot,James Jones,,,,,,,,,Amare Stoudemire,2,,,made,,slam dunk,25,6
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,10:32,UTA,shot,,,,,,,,,,Deron Williams,,,,missed,,jump,25,17
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,10:30,PHX,rebound,,,,,,,,,,James Jones,,,,,,def,,
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,10:21,PHX,shot,,,,,,,,,,James Jones,2,,,made,,driving layup,25,6
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,10:15,UTA,timeout,,,,,,,,,,,,,,,,regular,,
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,10:08,PHX,foul,,,,,,,,Carlos Boozer,,Amare Stoudemire,,,,,,shooting,,
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,10:08,UTA,free throw,,,,,,,1,,2,Carlos Boozer,,,foul,missed,,,,
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,10:08,UTA,rebound,,,,,,,,,,,,,,,,,,
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,10:08,UTA,free throw,,,,,,,2,,2,Carlos Boozer,,,foul,made,,,,
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,9:48,PHX,shot,,,,,,,,,,Shawn Marion,,,,missed,,running jump,20,11
Amare Stoudemire,James Jones,Raja Bell,Shawn Marion,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,1,9:45,UTA,rebound,,,,,,,,,,Matt Harpring,,,,,,def,,
