a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,12:00,OFF,jump ball,,Zydrunas Ilgauskas,,,Samuel Dalembert,,,,,,,Andre Miller,,,,,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,11:40,PHI,shot,Bobby Jones,,,,,,,,,Willie Green,3,,,made,,3pt,1,4
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,11:21,CLE,shot,,,,,,,,,,Zydrunas Ilgauskas,,,,missed,,hook,23,11
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,11:20,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,11:06,PHI,shot,Samuel Dalembert,,,,,,,,,Willie Green,2,,,made,,slam dunk,25,6
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,10:46,CLE,shot,,,,,,,,,,Drew Gooden,,,,missed,,jump,23,10
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,10:45,PHI,rebound,,,,,,,,,,Willie Green,,,,,,def,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,10:33,PHI,shot,,,,,,,,,,Andre Miller,,,,missed,,jump,32,8
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,10:31,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,off,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,10:29,PHI,shot,,,,,,,,,,Samuel Dalembert,2,,,made,,hook,22,6
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,10:14,PHI,foul,,,,,,,,Larry Hughes,,Andre Miller,,,,,,personal,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,10:07,CLE,shot,Larry Hughes,,,,,,,,,Sasha Pavlovic,2,,,made,,running dunk,25,6
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,9:46,PHI,turnover,,,,,,,,,,Samuel Dalembert,,,traveling,,,,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,9:33,CLE,shot,,,,,,,,,,LeBron James,,,,missed,,3pt,42,23
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,9:31,CLE,rebound,,,,,,,,,,Drew Gooden,,,,,,off,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,9:29,PHI,foul,,,,,,,,Zydrunas Ilgauskas,,Steven Hunter,,,,,,shooting,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,9:29,CLE,free throw,,,,,,,1,,2,Zydrunas Ilgauskas,,,foul,made,,,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,9:29,CLE,free throw,,,,,,,2,,2,Zydrunas Ilgauskas,,,foul,made,,,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,9:16,PHI,shot,,,,,,,,,,Willie Green,2,,,made,,fade away jumper,33,17
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,8:57,CLE,shot,Zydrunas Ilgauskas,,,,,,,,,Larry Hughes,3,,,made,,3pt,44,25
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,8:41,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,jump,13,21
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,8:39,CLE,rebound,,,,,,,,,,Larry Hughes,,,,,,def,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,8:30,CLE,turnover,,,,,,,,,,Drew Gooden,,,traveling,,,,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,8:15,PHI,shot,,,,,,,,,,Bobby Jones,,,,missed,,jump,13,23
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,8:13,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,def,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,8:02,CLE,shot,Zydrunas Ilgauskas,,,,,,,,,LeBron James,2,,,made,,alley oop layup shot,25,6
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,7:50,PHI,turnover,,,,,,,,,,Samuel Dalembert,,,bad pass,,Drew Gooden,,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,7:45,CLE,turnover,,,,,,,,,,Zydrunas Ilgauskas,,,traveling,,,,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,7:27,PHI,shot,,,,,,,,,,Samuel Dalembert,2,,,made,,fade away jumper,16,13
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,7:13,CLE,shot,,,,,,,,,,Sasha Pavlovic,,,,missed,,jump,19,23
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,7:11,CLE,rebound,,,,,,,,,,Zydrunas Ilgauskas,,,,,,off,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,7:10,CLE,shot,,,,,,,,,,Zydrunas Ilgauskas,2,,,made,,layup,25,6
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,6:50,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,37,7
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,6:48,CLE,rebound,,,,,,,,,,Drew Gooden,,,,,,def,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Samuel Dalembert,Steven Hunter,Willie Green,1,6:35,PHI,foul,,,,,,,,LeBron James,,Steven Hunter,,,,,,personal,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Joe Smith,Samuel Dalembert,Willie Green,1,6:35,PHI,sub,,,,Joe Smith,,Steven Hunter,,,,,,,,,,,,
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Joe Smith,Samuel Dalembert,Willie Green,1,6:24,CLE,shot,,,,,,,,,,Larry Hughes,,,,missed,,jump,32,19
Drew Gooden,Larry Hughes,LeBron James,Sasha Pavlovic,Zydrunas Ilgauskas,Andre Miller,Bobby Jones,Joe Smith,Samuel Dalembert,Willie Green,1,6:23,PHI,rebound,,,,,,,,,,Andre Miller,,,,,,def,,
