a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,12:00,OFF,jump ball,,Pau Gasol,,,Mark Blount,,,,,,,Randy Foye,,,,,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,11:43,MIN,shot,,,,,,,,,,Craig Smith,,,,missed,,hook,26,11
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,11:42,MEM,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,11:32,MEM,shot,Chucky Atkins,,,,,,,,,Hakim Warrick,2,,,made,,jump,37,23
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,11:20,MIN,shot,,,,,,,,,,Mark Blount,,,,missed,,jump,38,12
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,11:18,MEM,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,11:08,MEM,shot,,,,,,,,,,Chucky Atkins,,,,missed,,3pt,48,6
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,11:06,MEM,rebound,,,,,,,,,,Dahntay Jones,,,,,,off,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,11:05,MEM,shot,,,,,,,,,,Dahntay Jones,,,,missed,,jump,24,10
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,11:04,MIN,rebound,,,,,,,,,,Mark Blount,,,,,,def,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,10:54,MIN,shot,Ricky Davis,,,,,,,,,Mark Blount,2,,,made,,jump,34,24
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,10:36,MEM,shot,Pau Gasol,,,,,,,,,Dahntay Jones,2,,,made,,jump,14,25
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,10:19,MIN,shot,,,,,,,,,,Randy Foye,,,,missed,,jump,42,9
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,10:18,MIN,rebound,,,,,,,,,,,,,,,,,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,10:18,MEM,foul,,,,,,,,Mark Blount,,Hakim Warrick,,,,,,personal,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,10:09,MIN,shot,,,,,,,,,,Ricky Davis,2,,,made,,layup,25,6
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,9:58,MIN,foul,,,,,,,,Pau Gasol,,Mark Blount,,,,,,shooting,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,9:58,MEM,free throw,,,,,,,1,,2,Pau Gasol,,,foul,made,,,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,9:58,MEM,free throw,,,,,,,2,,2,Pau Gasol,,,foul,made,,,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,9:41,MIN,shot,,,,,,,,,,Ricky Davis,,,,missed,,jump,15,13
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,9:40,MIN,rebound,,,,,,,,,,Ricky Davis,,,,,,off,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,9:38,MIN,shot,,,,,,,,,,Ricky Davis,2,,,made,,layup,25,6
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,9:21,MEM,shot,Pau Gasol,,,,,,,,,Tarence Kinsey,2,,,made,,jump,26,27
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,9:08,MIN,shot,,,,,,,,,,Ricky Davis,,,,missed,,jump,11,13
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,9:07,MEM,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,9:01,MEM,shot,Chucky Atkins,,,,,,,,,Tarence Kinsey,2,,,made,,reverse layup,25,6
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,8:44,MIN,shot,,,,,,,,,,Mark Blount,,,,missed,,jump,26,15
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,8:43,MIN,shot,,,,,,,,,,Craig Smith,,,,missed,,tip,25,6
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,8:43,MIN,rebound,,,,,,,,,,Craig Smith,,,,,,off,,
Chucky Atkins,Dahntay Jones,Hakim Warrick,Pau Gasol,Tarence Kinsey,Craig Smith,Mark Blount,Randy Foye,Ricky Davis,Trenton Hassell,1,8:42,MEM,rebound,,,,,,,,,,Pau Gasol,,,,,,def,,
