a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,12:00,OFF,jump ball,,Brad Miller,,,Tim Duncan,,,,,,,Kenny Thomas,,,,,,
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,11:47,SAC,turnover,,,,,,,,,,Kenny Thomas,,,lost ball,,Tony Parker,,,
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,11:25,SAS,shot,Tony Parker,,,,,,,,,Michael Finley,3,,,made,,3pt,13,27
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,11:04,SAC,shot,John Salmons,,,,,,,,,Brad Miller,2,,,made,,jump,18,23
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,10:47,SAS,turnover,,,,,,,,,,Michael Finley,,,bad pass,,Kevin Martin,,,
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,10:41,SAC,shot,,,,,,,,,,Kevin Martin,,,,missed,,layup,25,6
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,10:40,SAC,rebound,,,,,,,,,,John Salmons,,,,,,off,,
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,10:36,SAC,turnover,,,,,,,,,,Orien Greene,,,lost ball,,Bruce Bowen,,,
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,10:13,SAS,shot,Tim Duncan,,,,,,,,,Tony Parker,2,,,made,,jump,15,21
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,10:00,SAC,shot,,,,,,,,,,Kevin Martin,,,,missed,,jump,28,17
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,9:59,SAS,rebound,,,,,,,,,,Tim Duncan,,,,,,def,,
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,9:41,SAS,shot,,,,,,,,,,Tim Duncan,,,,missed,,running hook,29,10
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,9:40,SAC,rebound,,,,,,,,,,Kenny Thomas,,,,,,def,,
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,9:32,SAC,shot,,,,,,,,,,Kenny Thomas,,,,missed,,layup,23,8
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,9:31,SAS,rebound,,,,,,,,,,Tony Parker,,,,,,def,,
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,9:23,SAS,shot,,,,,,,,,,Tony Parker,2,,,made,,jump,26,9
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,9:08,SAC,turnover,,,,,,,,,,Brad Miller,,,bad pass,,Tim Duncan,,,
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,8:59,SAS,shot,,,,,,,,,,Tony Parker,2,,,made,,floating jump,16,8
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,8:42,SAC,shot,,,,,,,,,,Kenny Thomas,,,,missed,,jump,19,9
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,8:41,SAS,rebound,,,,,,,,,,Fabricio Oberto,,,,,,def,,
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,8:28,SAS,shot,,,,,,,,,,Michael Finley,,,,missed,,3pt,14,28
Brad Miller,John Salmons,Kenny Thomas,Kevin Martin,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,8:27,SAS,rebound,,,,,,,,,,Fabricio Oberto,,,,,,off,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,8:20,SAC,sub,,,,Mikki Moore,,Kenny Thomas,,,,,,,,,,,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,8:20,OFF,jump ball,,Orien Greene,,,Tim Duncan,,,,,,,Tony Parker,,,,,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,8:12,SAS,shot,,,,,,,,,,Tony Parker,,,,missed,,floating jump,28,14
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,8:11,SAS,rebound,,,,,,,,,,Fabricio Oberto,,,,,,off,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,7:59,SAS,shot,,,,,,,,,,Michael Finley,,,,missed,,3pt,48,8
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,7:59,SAS,rebound,,,,,,,,,,,,,,,,,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,7:52,SAS,shot,,,,,,,,,,Tony Parker,,,,missed,,jump,16,26
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,7:50,SAC,rebound,,,,,,,,,,John Salmons,,,,,,def,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,7:41,SAC,shot,,,,,,,,,,Brad Miller,,,,missed,,jump,11,18
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,7:39,SAS,rebound,,,,,,,,,,Fabricio Oberto,,,,,,def,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,7:31,SAS,shot,,,,,,,,,,Bruce Bowen,,,,missed,,3pt,2,7
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,7:29,SAC,rebound,,,,,,,,,,,,,,,,,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,7:12,SAC,foul,,,,,,,,Fabricio Oberto,,John Salmons,,,,,,offensive,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,7:12,SAC,turnover,,,,,,,,,,John Salmons,,,foul,,,,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,6:54,SAS,shot,Michael Finley,,,,,,,,,Fabricio Oberto,2,,,made,,jump bank,18,9
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,6:42,SAS,foul,,,,,,,,John Salmons,,Michael Finley,,,,,,personal,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Orien Greene,Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,1,6:42,SAS,sub,,,,Manu Ginobili,,Michael Finley,,,,,,,,,,,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Quincy Douby,Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,1,6:42,SAC,sub,,,,Quincy Douby,,Orien Greene,,,,,,,,,,,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Quincy Douby,Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,1,6:34,SAC,shot,,,,,,,,,,John Salmons,,,,missed,,layup,24,8
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Quincy Douby,Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,1,6:32,SAC,rebound,,,,,,,,,,John Salmons,,,,,,off,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Quincy Douby,Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,1,6:28,SAS,foul,,,,,,,,John Salmons,,Fabricio Oberto,,,,,,personal,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Quincy Douby,Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,1,6:19,SAC,shot,John Salmons,,,,,,,,,Brad Miller,2,,,made,,jump,11,7
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Quincy Douby,Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,1,6:07,SAC,foul,,,,,,,,Manu Ginobili,,Mikki Moore,,,,,,personal,,
Brad Miller,John Salmons,Kevin Martin,Mikki Moore,Quincy Douby,Bruce Bowen,Fabricio Oberto,Manu Ginobili,Tim Duncan,Tony Parker,1,6:07,SAS,timeout,,,,,,,,,,,,,,,,regular,,
