a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Nick Collison,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,1,12:00,OFF,jump ball,,Chris Wilcox,,,Chris Kaman,,,,,,,Earl Watson,,,,,,
Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Nick Collison,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,1,11:42,SEA,shot,Damien Wilkins,,,,,,,,,Chris Wilcox,2,,,made,,jump,39,6
Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Nick Collison,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,1,11:26,LAC,shot,Tim Thomas,,,,,,,,,Chris Kaman,2,,,made,,turnaround hook,23,11
Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Nick Collison,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,1,11:14,SEA,shot,,,,,,,,,,Chris Wilcox,,,,missed,,turnaround hook,27,12
Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Nick Collison,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,1,11:12,LAC,rebound,,,,,,,,,,Chris Kaman,,,,,,def,,
Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Nick Collison,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,1,10:51,LAC,shot,,,,,,,,,,Corey Maggette,,,,missed,,jump,25,26
Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Nick Collison,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,1,10:50,SEA,rebound,,,,,,,,,,Nick Collison,,,,,,def,,
Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Nick Collison,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,1,10:38,SEA,shot,Earl Watson,,,,,,,,,Kevin Durant,2,,,made,,jump,10,19
Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Nick Collison,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,1,10:29,LAC,shot,,,,,,,,,,Sam Cassell,,,,missed,,jump,42,16
Chris Wilcox,Damien Wilkins,Earl Watson,Kevin Durant,Nick Collison,Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,1,10:28,SEA,rebound,,,,,,,,,,Damien Wilkins,,,,,,def,,
