a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,12:00,OFF,jump ball,,Emeka Okafor,,,Samuel Dalembert,,,,,,,Andre Miller,,,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,11:51,PHI,shot,,,,,,,,,,Andre Iguodala,,,,missed,,jump,42,10
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,11:50,CHA,rebound,,,,,,,,,,Primoz Brezec,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,11:29,CHA,shot,,,,,,,,,,Jeff McInnis,,,,missed,,jump,19,24
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,11:27,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,11:19,CHA,foul,,,,,,,,Reggie Evans,,Jason Richardson,,,,,,shooting,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,11:19,PHI,free throw,,,,,,,1,,2,Reggie Evans,,,foul,made,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,11:19,PHI,free throw,,,,,,,2,,2,Reggie Evans,,,foul,made,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,11:09,CHA,shot,,,,,,,,,,Jason Richardson,,,,missed,,3pt,26,30
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,11:08,CHA,rebound,,,,,,,,,,Emeka Okafor,,,,,,off,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,11:06,CHA,shot,Gerald Wallace,,,,,,,,,Primoz Brezec,2,,,made,,jump,38,15
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,10:55,PHI,shot,,,Emeka Okafor,,,,,,,Reggie Evans,,,,missed,,layup,25,6
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,10:53,CHA,rebound,,,,,,,,,,Primoz Brezec,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,10:37,CHA,turnover,,,,,,,,,,Jason Richardson,,,lost ball,,Andre Iguodala,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,10:34,PHI,shot,Andre Miller,,,,,,,,,Willie Green,2,,,made,,reverse layup,25,6
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,10:11,CHA,shot,,,,,,,,,,Primoz Brezec,,,,missed,,layup,25,6
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,10:10,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,9:21,PHI,shot,,,,,,,,,,Samuel Dalembert,2,,,made,,fade away jumper,26,24
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,9:07,CHA,turnover,,,,,,,,,,Jeff McInnis,,,bad pass,,Samuel Dalembert,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,9:00,PHI,shot,Reggie Evans,,,,,,,,,Andre Iguodala,3,,,made,,3pt,2,4
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,8:40,CHA,turnover,,,,,,,,,,Primoz Brezec,,,bad pass,,Samuel Dalembert,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,8:28,PHI,turnover,,,,,,,,,,Samuel Dalembert,,,3 second violation,,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,8:28,CHA,shot,,,,,,,,,,Jeff McInnis,,,,missed,,jump,13,9
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,8:27,PHI,rebound,,,,,,,,,,Reggie Evans,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,8:17,PHI,turnover,,,,,,,,,,Samuel Dalembert,,,offensive goaltending,,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,7:36,CHA,shot,,,,,,,,,,Jeff McInnis,,,,missed,,jump,13,16
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,7:35,PHI,rebound,,,,,,,,,,Reggie Evans,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,7:34,PHI,turnover,,,,,,,,,,Reggie Evans,,,bad pass,,Jason Richardson,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,7:31,CHA,shot,,,,,,,,,,Jason Richardson,2,,,made,,jump,24,22
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,7:09,PHI,turnover,,,,,,,,,,Andre Iguodala,,,bad pass,,Jason Richardson,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,7:05,CHA,shot,,,Willie Green,,,,,,,Jason Richardson,,,,missed,,jump,32,4
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,7:03,CHA,rebound,,,,,,,,,,,,,,,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,6:54,CHA,shot,Jeff McInnis,,,,,,,,,Gerald Wallace,2,,,made,,running slam dunk,25,6
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,6:32,PHI,shot,Andre Iguodala,,,,,,,,,Willie Green,3,,,made,,3pt,2,5
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,6:21,CHA,foul,,,,,,,,Samuel Dalembert,,Emeka Okafor,,,,,,offensive,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,6:21,CHA,turnover,,,,,,,,,,Emeka Okafor,,,foul,,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,6:21,PHI,timeout,,,,,,,,,,,,,,,,regular,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,6:11,PHI,shot,Andre Miller,,,,,,,,,Reggie Evans,2,,,made,,layup,25,6
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,6:04,CHA,timeout,,,,,,,,,,,,,,,,short,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,5:40,CHA,shot,,,,,,,,,,Jason Richardson,,,,missed,,3pt,2,5
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,5:39,PHI,rebound,,,,,,,,,,Andre Miller,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,5:35,PHI,turnover,,,,,,,,,,Andre Miller,,,bad pass,,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,5:11,CHA,shot,,,,,,,,,,Gerald Wallace,,,,missed,,jump,38,14
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,5:10,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,4:58,PHI,shot,,,,,,,,,,Willie Green,,,,missed,,jump,41,5
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,4:56,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,off,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Primoz Brezec,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,4:54,PHI,turnover,,,,,,,,,,Samuel Dalembert,,,traveling,,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Ryan Hollins,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,4:54,CHA,sub,,,,Ryan Hollins,,Primoz Brezec,,,,,,,,,,,,
Emeka Okafor,Gerald Wallace,Jason Richardson,Jeff McInnis,Ryan Hollins,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,4:34,CHA,turnover,,,,,,,,,,Jeff McInnis,,,poss lost ball turnover,,,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Jason Richardson,Ryan Hollins,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,4:34,CHA,sub,,,,Derek Anderson,,Jeff McInnis,,,,,,,,,,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Jason Richardson,Ryan Hollins,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,4:24,PHI,shot,,,,,,,,,,Andre Iguodala,,,,missed,,jump,42,5
Derek Anderson,Emeka Okafor,Gerald Wallace,Jason Richardson,Ryan Hollins,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,4:23,PHI,rebound,,,,,,,,,,Reggie Evans,,,,,,off,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Jason Richardson,Ryan Hollins,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,4:10,PHI,turnover,,,,,,,,,,Andre Miller,,,bad pass,,,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Jason Richardson,Ryan Hollins,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,3:50,CHA,shot,Jason Richardson,,,,,,,,,Gerald Wallace,2,,,made,,pullup jump,25,23
Derek Anderson,Emeka Okafor,Gerald Wallace,Jason Richardson,Ryan Hollins,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,3:24,PHI,shot,,,,,,,,,,Willie Green,2,,,made,,running bank,24,11
Derek Anderson,Emeka Okafor,Gerald Wallace,Jason Richardson,Ryan Hollins,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,3:00,CHA,shot,Derek Anderson,,,,,,,,,Emeka Okafor,2,,,made,,hook,25,9
Derek Anderson,Emeka Okafor,Gerald Wallace,Jason Richardson,Ryan Hollins,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,2:39,PHI,turnover,,,,,,,,,,Samuel Dalembert,,,3 second violation,,,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Jason Richardson,Ryan Hollins,Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,1,2:39,CHA,timeout,,,,,,,,,,,,,,,,regular,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Jason Richardson,Ryan Hollins,Andre Iguodala,Andre Miller,Jason Smith,Samuel Dalembert,Willie Green,1,2:39,PHI,sub,,,,Jason Smith,,Reggie Evans,,,,,,,,,,,,
Derek Anderson,Emeka Okafor,Gerald Wallace,Jason Richardson,Ryan Hollins,Andre Iguodala,Andre Miller,Jason Smith,Kyle Korver,Samuel Dalembert,1,2:39,PHI,sub,,,,Kyle Korver,,Willie Green,,,,,,,,,,,,
Derek Anderson,Gerald Wallace,Jason Richardson,Matt Carroll,Ryan Hollins,Andre Iguodala,Andre Miller,Jason Smith,Kyle Korver,Samuel Dalembert,1,2:39,CHA,sub,,,,Matt Carroll,,Emeka Okafor,,,,,,,,,,,,
Derek Anderson,Gerald Wallace,Jermareo Davidson,Matt Carroll,Ryan Hollins,Andre Iguodala,Andre Miller,Jason Smith,Kyle Korver,Samuel Dalembert,1,2:39,CHA,sub,,,,Jermareo Davidson,,Jason Richardson,,,,,,,,,,,,
Derek Anderson,Gerald Wallace,Jermareo Davidson,Matt Carroll,Ryan Hollins,Andre Iguodala,Andre Miller,Jason Smith,Kyle Korver,Samuel Dalembert,1,2:12,CHA,rebound,,,,,,,,,,,,,,,,,,
Derek Anderson,Gerald Wallace,Jermareo Davidson,Matt Carroll,Ryan Hollins,Andre Iguodala,Andre Miller,Jason Smith,Kyle Korver,Samuel Dalembert,1,2:12,CHA,shot,,,,,,,,,,Gerald Wallace,,,,missed,,jump,40,7
Derek Anderson,Gerald Wallace,Jermareo Davidson,Matt Carroll,Ryan Hollins,Andre Iguodala,Andre Miller,Jason Smith,Kyle Korver,Samuel Dalembert,1,2:11,CHA,turnover,,,,,,,,,,,,,shot clock turnover,,,,,
Derek Anderson,Gerald Wallace,Jermareo Davidson,Matt Carroll,Ryan Hollins,Andre Iguodala,Jason Smith,Kyle Korver,Louis Williams,Samuel Dalembert,1,2:11,PHI,sub,,,,Louis Williams,,Andre Miller,,,,,,,,,,,,
Derek Anderson,Gerald Wallace,Jermareo Davidson,Matt Carroll,Ryan Hollins,Andre Iguodala,Jason Smith,Kyle Korver,Louis Williams,Samuel Dalembert,1,2:04,PHI,shot,Kyle Korver,,,,,,,,,Jason Smith,2,,,made,,dunk,25,6
Derek Anderson,Gerald Wallace,Jermareo Davidson,Matt Carroll,Ryan Hollins,Andre Iguodala,Jason Smith,Kyle Korver,Louis Williams,Samuel Dalembert,1,1:37,CHA,shot,,,,,,,,,,Derek Anderson,,,,missed,,3pt,7,23
Derek Anderson,Gerald Wallace,Jermareo Davidson,Matt Carroll,Ryan Hollins,Andre Iguodala,Jason Smith,Kyle Korver,Louis Williams,Samuel Dalembert,1,1:36,PHI,rebound,,,,,,,,,,Samuel Dalembert,,,,,,def,,
Derek Anderson,Gerald Wallace,Jermareo Davidson,Matt Carroll,Ryan Hollins,Andre Iguodala,Jason Smith,Kyle Korver,Louis Williams,Samuel Dalembert,1,1:25,PHI,shot,,,,,,,,,,Andre Iguodala,2,,,made,,turnaround jump,20,6
Derek Anderson,Gerald Wallace,Jermareo Davidson,Matt Carroll,Ryan Hollins,Andre Iguodala,Jason Smith,Kyle Korver,Louis Williams,Samuel Dalembert,1,1:19,CHA,shot,Derek Anderson,,,,,,,,,Matt Carroll,2,,,made,,driving layup,25,6
Derek Anderson,Gerald Wallace,Jermareo Davidson,Matt Carroll,Ryan Hollins,Andre Iguodala,Jason Smith,Kyle Korver,Louis Williams,Samuel Dalembert,1,1:05,PHI,foul,,,,,,,,Derek Anderson,,Louis Williams,,,,,,offensive,,
Derek Anderson,Gerald Wallace,Jermareo Davidson,Matt Carroll,Ryan Hollins,Andre Iguodala,Jason Smith,Kyle Korver,Louis Williams,Samuel Dalembert,1,1:05,PHI,turnover,,,,,,,,,,Louis Williams,,,foul,,,,,
Derek Anderson,Gerald Wallace,Jermareo Davidson,Matt Carroll,Ryan Hollins,Andre Iguodala,Jason Smith,Kyle Korver,Louis Williams,Samuel Dalembert,1,1:01,PHI,foul,,,,,,,,Matt Carroll,,Kyle Korver,,,,,,personal,,
