a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
DeSagana Diop,Devin Harris,Dirk Nowitzki,Jose Juan Barea,Josh Howard,Al Harrington,Andris Biedrins,Baron Davis,Kelenna Azubuike,Monta Ellis,1,12:00,OFF,jump ball,,DeSagana Diop,,,Andris Biedrins,,,,,,,Kelenna Azubuike,,,,,,
DeSagana Diop,Devin Harris,Dirk Nowitzki,Jose Juan Barea,Josh Howard,Al Harrington,Andris Biedrins,Baron Davis,Kelenna Azubuike,Monta Ellis,1,11:47,GSW,turnover,,,,,,,,,,Andris Biedrins,,,poss lost ball turnover,,,,,
DeSagana Diop,Devin Harris,Dirk Nowitzki,Jose Juan Barea,Josh Howard,Al Harrington,Andris Biedrins,Baron Davis,Kelenna Azubuike,Monta Ellis,1,11:27,DAL,shot,,,,,,,,,,Devin Harris,,,,missed,,jump,29,8
DeSagana Diop,Devin Harris,Dirk Nowitzki,Jose Juan Barea,Josh Howard,Al Harrington,Andris Biedrins,Baron Davis,Kelenna Azubuike,Monta Ellis,1,11:26,DAL,shot,,,,,,,,,,DeSagana Diop,2,,,made,,putback layup,23,6
DeSagana Diop,Devin Harris,Dirk Nowitzki,Jose Juan Barea,Josh Howard,Al Harrington,Andris Biedrins,Baron Davis,Kelenna Azubuike,Monta Ellis,1,11:26,DAL,rebound,,,,,,,,,,DeSagana Diop,,,,,,off,,
DeSagana Diop,Devin Harris,Dirk Nowitzki,Jose Juan Barea,Josh Howard,Al Harrington,Andris Biedrins,Baron Davis,Kelenna Azubuike,Monta Ellis,1,11:06,GSW,shot,Baron Davis,,,,,,,,,Al Harrington,3,,,made,,3pt,17,32
DeSagana Diop,Devin Harris,Dirk Nowitzki,Jose Juan Barea,Josh Howard,Al Harrington,Andris Biedrins,Baron Davis,Kelenna Azubuike,Monta Ellis,1,10:45,DAL,shot,,,,,,,,,,Dirk Nowitzki,,,,missed,,fade away jumper,38,16
DeSagana Diop,Devin Harris,Dirk Nowitzki,Jose Juan Barea,Josh Howard,Al Harrington,Andris Biedrins,Baron Davis,Kelenna Azubuike,Monta Ellis,1,10:44,GSW,rebound,,,,,,,,,,Al Harrington,,,,,,def,,
DeSagana Diop,Devin Harris,Dirk Nowitzki,Jose Juan Barea,Josh Howard,Al Harrington,Andris Biedrins,Baron Davis,Kelenna Azubuike,Monta Ellis,1,10:35,GSW,shot,,,,,,,,,,Baron Davis,2,,,made,,driving layup,24,7
DeSagana Diop,Devin Harris,Dirk Nowitzki,Jose Juan Barea,Josh Howard,Al Harrington,Andris Biedrins,Baron Davis,Kelenna Azubuike,Monta Ellis,1,10:18,DAL,turnover,,,,,,,,,,Dirk Nowitzki,,,bad pass,,,,,
