a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,12:00,OFF,jump ball,,Chris Kaman,,,Rasheed Wallace,,,,,,,Sam Cassell,,,,,,
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:52,LAC,shot,,,,,,,,,,Sam Cassell,,,,missed,,jump,11,19
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:51,DET,rebound,,,,,,,,,,Rasheed Wallace,,,,,,def,,
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:31,DET,shot,,,,,,,,,,Richard Hamilton,2,,,made,,driving layup,25,6
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:14,LAC,shot,Tim Thomas,,,,,,,,,Chris Kaman,2,,,made,,hook,35,8
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,11:00,DET,shot,Chauncey Billups,,,,,,,,,Rasheed Wallace,2,,,made,,jump bank,12,9
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:38,LAC,shot,,,,,,,,,,Sam Cassell,2,,,made,,running jump,37,12
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:22,DET,shot,,,,,,,,,,Rasheed Wallace,,,,missed,,jump,8,8
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:21,LAC,rebound,,,,,,,,,,Corey Maggette,,,,,,def,,
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:16,DET,foul,,,,,,,,Chris Kaman,,Antonio McDyess,,,,,,shooting,,
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:16,LAC,free throw,,,,,,,1,,2,Chris Kaman,,,foul,made,,,,
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:16,LAC,free throw,,,,,,,2,,2,Chris Kaman,,,foul,made,,,,
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:01,LAC,foul,,,,,,,,,,Tim Thomas,,,,,,defense 3 second,,
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,10:01,DET,free throw,,,,,,,1,,1,Chauncey Billups,,,technical,made,,,,
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:49,DET,shot,,,,,,,,,,Chauncey Billups,2,,,made,,jump,9,17
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:35,LAC,shot,,,,,,,,,,Sam Cassell,,,,missed,,jump,12,18
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:34,DET,rebound,,,,,,,,,,Richard Hamilton,,,,,,def,,
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:24,DET,shot,Chauncey Billups,,,,,,,,,Rasheed Wallace,2,,,made,,turnaround jump,14,9
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:06,LAC,shot,,,,,,,,,,Corey Maggette,,,,missed,,jump,33,24
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,9:04,DET,rebound,,,,,,,,,,Richard Hamilton,,,,,,def,,
Chris Kaman,Corey Maggette,Quinton Ross,Sam Cassell,Tim Thomas,Antonio McDyess,Chauncey Billups,Rasheed Wallace,Richard Hamilton,Tayshaun Prince,1,8:52,DET,shot,,,,,,,,,,Chauncey Billups,,,,missed,,jump,6,15
