a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Chris Mihm,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,12:00,OFF,jump ball,,Chris Mihm,,,Tim Duncan,,,,,,,Derek Fisher,,,,,,
Chris Mihm,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,11:48,LAL,turnover,,,,,,,,,,Ronny Turiaf,,,bad pass,,,,,
Chris Mihm,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,11:30,SAS,shot,,,Chris Mihm,,,,,,,Tim Duncan,,,,missed,,layup,26,6
Chris Mihm,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,11:27,LAL,rebound,,,,,,,,,,Ronny Turiaf,,,,,,def,,
Chris Mihm,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,11:22,LAL,shot,,,,,,,,,,Kobe Bryant,2,,,made,,jump,9,22
Chris Mihm,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,11:05,SAS,shot,,,,,,,,,,Michael Finley,,,,missed,,jump,40,14
Chris Mihm,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,11:04,LAL,rebound,,,,,,,,,,Ronny Turiaf,,,,,,def,,
Chris Mihm,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,10:51,LAL,shot,,,,,,,,,,Lamar Odom,,,,missed,,jump,20,8
Chris Mihm,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,10:50,LAL,rebound,,,,,,,,,,Chris Mihm,,,,,,off,,
Chris Mihm,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,10:49,LAL,shot,,,Tim Duncan,,,,,,,Chris Mihm,,,,missed,,layup,25,6
Chris Mihm,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,10:47,SAS,rebound,,,,,,,,,,Fabricio Oberto,,,,,,def,,
Chris Mihm,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,10:33,SAS,shot,,,,,,,,,,Tony Parker,2,,,made,,jump,34,23
Chris Mihm,Derek Fisher,Kobe Bryant,Lamar Odom,Ronny Turiaf,Bruce Bowen,Fabricio Oberto,Michael Finley,Tim Duncan,Tony Parker,1,10:18,LAL,shot,Lamar Odom,,,,,,,,,Kobe Bryant,2,,,made,,layup,26,7
