a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,DeSagana Diop,Devin Harris,Dirk Nowitzki,Eddie Jones,Josh Howard,1,12:00,OFF,jump ball,,Samuel Dalembert,,,DeSagana Diop,,,,,,,Willie Green,,,,,,
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,DeSagana Diop,Devin Harris,Dirk Nowitzki,Eddie Jones,Josh Howard,1,11:43,PHI,shot,Andre Iguodala,,,,,,,,,Samuel Dalembert,2,,,made,,jump,14,17
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,DeSagana Diop,Devin Harris,Dirk Nowitzki,Eddie Jones,Josh Howard,1,11:20,DAL,shot,Eddie Jones,,,,,,,,,Dirk Nowitzki,2,,,made,,jump,14,22
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,DeSagana Diop,Devin Harris,Dirk Nowitzki,Eddie Jones,Josh Howard,1,10:56,PHI,turnover,,,,,,,,,,Andre Miller,,,traveling,,,,,
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,DeSagana Diop,Devin Harris,Dirk Nowitzki,Eddie Jones,Josh Howard,1,10:42,DAL,shot,Dirk Nowitzki,,,,,,,,,DeSagana Diop,2,,,made,,slam dunk,25,6
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,DeSagana Diop,Devin Harris,Dirk Nowitzki,Eddie Jones,Josh Howard,1,10:18,PHI,shot,,,,,,,,,,Andre Miller,,,,missed,,jump,8,10
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,DeSagana Diop,Devin Harris,Dirk Nowitzki,Eddie Jones,Josh Howard,1,10:17,DAL,rebound,,,,,,,,,,Dirk Nowitzki,,,,,,def,,
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,DeSagana Diop,Devin Harris,Dirk Nowitzki,Eddie Jones,Josh Howard,1,9:58,DAL,shot,,,,,,,,,,Josh Howard,,,,missed,,3pt,43,23
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,DeSagana Diop,Devin Harris,Dirk Nowitzki,Eddie Jones,Josh Howard,1,9:57,PHI,rebound,,,,,,,,,,Reggie Evans,,,,,,def,,
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,DeSagana Diop,Devin Harris,Dirk Nowitzki,Eddie Jones,Josh Howard,1,9:57,DAL,foul,,,,,,,,Reggie Evans,,DeSagana Diop,,,,,,personal,,
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,DeSagana Diop,Devin Harris,Dirk Nowitzki,Eddie Jones,Josh Howard,1,9:43,PHI,shot,,,,,,,,,,Samuel Dalembert,,,,missed,,jump,9,11
Andre Iguodala,Andre Miller,Reggie Evans,Samuel Dalembert,Willie Green,DeSagana Diop,Devin Harris,Dirk Nowitzki,Eddie Jones,Josh Howard,1,9:42,DAL,rebound,,,,,,,,,,Devin Harris,,,,,,def,,
