a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,12:00,OFF,jump ball,,Eddy Curry,,,Brad Miller,,,,,,,David Lee,,,,,,
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,11:36,NYK,shot,Jamal Crawford,,,,,,,,,Eddy Curry,2,,,made,,jump hook,20,11
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,11:19,SAC,shot,,,,,,,,,,Brad Miller,,,,missed,,jump,32,24
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,11:18,NYK,rebound,,,,,,,,,,Quentin Richardson,,,,,,def,,
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,11:03,NYK,shot,,,,,,,,,,Eddy Curry,,,,missed,,jump,26,17
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,11:02,SAC,rebound,,,,,,,,,,Kevin Martin,,,,,,def,,
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:52,SAC,shot,,,,,,,,,,Kevin Martin,,,,missed,,reverse layup,25,6
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:51,SAC,shot,,,,,,,,,,Mikki Moore,2,,,made,,layup,25,6
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:51,SAC,rebound,,,,,,,,,,Mikki Moore,,,,,,off,,
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:35,NYK,shot,,,,,,,,,,David Lee,2,,,made,,jump bank,31,7
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:19,SAC,shot,,,,,,,,,,Mikki Moore,,,,missed,,jump,31,11
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:17,SAC,rebound,,,,,,,,,,,,,,,,,,
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:15,SAC,shot,,,,,,,,,,Kevin Martin,,,,missed,,jump,8,7
David Lee,Eddy Curry,Jamal Crawford,Mardy Collins,Quentin Richardson,Beno Udrih,Brad Miller,Kevin Martin,Mikki Moore,Ron Artest,1,10:13,SAC,rebound,,,,,,,,,,Kevin Martin,,,,,,off,,
