a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,12:00,OFF,jump ball,,Rashard Lewis,,,Jason Collins,,,,,,,Antoine Wright,,,,,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,11:39,NJN,shot,,,,,,,,,,Richard Jefferson,,,,missed,,jump,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,11:38,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,11:29,ORL,shot,,,,,,,,,,Hedo Turkoglu,,,,missed,,jump,35,25
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,11:27,NJN,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,11:09,NJN,shot,,,,,,,,,,Bostjan Nachbar,,,,missed,,jump,28,26
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,11:08,ORL,rebound,,,,,,,,,,Dwight Howard,,,,,,def,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,10:55,ORL,shot,,,,,,,,,,Hedo Turkoglu,,,,missed,,layup,25,6
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,10:54,NJN,rebound,,,,,,,,,,Jason Collins,,,,,,def,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,10:46,NJN,shot,Jason Kidd,,,,,,,,,Bostjan Nachbar,2,,,made,,driving dunk,25,6
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,10:36,ORL,shot,,,Antoine Wright,,,,,,,Jameer Nelson,,,,missed,,layup,25,6
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,10:35,ORL,rebound,,,,,,,,,,,,,,,,,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,10:17,ORL,shot,,,,,,,,,,Keith Bogans,2,,,made,,fade away jumper,39,14
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,10:04,NJN,shot,Jason Kidd,,,,,,,,,Richard Jefferson,2,,,made,,jump,41,8
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,9:51,ORL,shot,,,,,,,,,,Hedo Turkoglu,,,,missed,,3pt,41,25
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,9:49,NJN,rebound,,,,,,,,,,Jason Kidd,,,,,,def,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,9:39,NJN,turnover,,,,,,,,,,Bostjan Nachbar,,,traveling,,,,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,9:19,NJN,foul,,,,,,,,Hedo Turkoglu,,Bostjan Nachbar,,,,,,shooting,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,9:19,ORL,free throw,,,,,,,1,,2,Hedo Turkoglu,,,foul,made,,,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,9:19,ORL,free throw,,,,,,,2,,2,Hedo Turkoglu,,,foul,made,,,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,9:03,NJN,shot,,,,,,,,,,Antoine Wright,,,,missed,,3pt,49,5
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,9:02,ORL,rebound,,,,,,,,,,Keith Bogans,,,,,,def,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,8:57,ORL,foul,,,,,,,,Jason Collins,,Dwight Howard,,,,,,offensive,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,8:57,ORL,turnover,,,,,,,,,,Dwight Howard,,,foul,,,,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,8:46,NJN,shot,Jason Collins,,,,,,,,,Bostjan Nachbar,2,,,made,,jump,25,25
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,8:29,ORL,shot,,,,,,,,,,Jameer Nelson,,,,missed,,jump,44,13
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,8:28,NJN,rebound,,,,,,,,,,Richard Jefferson,,,,,,def,,
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,8:18,NJN,shot,,,,,,,,,,Antoine Wright,,,,missed,,jump bank,15,13
Dwight Howard,Hedo Turkoglu,Jameer Nelson,Keith Bogans,Rashard Lewis,Antoine Wright,Bostjan Nachbar,Jason Collins,Jason Kidd,Richard Jefferson,1,8:16,ORL,rebound,,,,,,,,,,Hedo Turkoglu,,,,,,def,,
