a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,time,team,etype,assist,away,block,entered,home,left,num,opponent,outof,player,points,possession,reason,result,steal,type,x,y
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Emeka Okafor,Jared Dudley,Jason Richardson,Primoz Brezec,Raymond Felton,1,12:00,OFF,jump ball,,Kendrick Perkins,,,Emeka Okafor,,,,,,,Raymond Felton,,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Emeka Okafor,Jared Dudley,Jason Richardson,Primoz Brezec,Raymond Felton,1,11:34,CHA,shot,Raymond Felton,,,,,,,,,Jared Dudley,2,,,made,,layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Emeka Okafor,Jared Dudley,Jason Richardson,Primoz Brezec,Raymond Felton,1,11:25,CHA,foul,,,,,,,,Paul Pierce,,Jared Dudley,,,,,,personal,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Emeka Okafor,Jared Dudley,Jason Richardson,Primoz Brezec,Raymond Felton,1,11:13,BOS,shot,,,,,,,,,,Rajon Rondo,,,,missed,,jump,7,11
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Emeka Okafor,Jared Dudley,Jason Richardson,Primoz Brezec,Raymond Felton,1,11:11,CHA,rebound,,,,,,,,,,Emeka Okafor,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Emeka Okafor,Jared Dudley,Jason Richardson,Primoz Brezec,Raymond Felton,1,11:09,CHA,turnover,,,,,,,,,,Raymond Felton,,,bad pass,,,,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Emeka Okafor,Jared Dudley,Jason Richardson,Primoz Brezec,Raymond Felton,1,10:53,BOS,shot,,,,,,,,,,Paul Pierce,2,,,made,,driving layup,25,6
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Emeka Okafor,Jared Dudley,Jason Richardson,Primoz Brezec,Raymond Felton,1,10:32,CHA,shot,Jason Richardson,,,,,,,,,Jared Dudley,2,,,made,,jump,5,9
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Emeka Okafor,Jared Dudley,Jason Richardson,Primoz Brezec,Raymond Felton,1,10:19,BOS,shot,,,,,,,,,,Paul Pierce,,,,missed,,jump,40,14
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Emeka Okafor,Jared Dudley,Jason Richardson,Primoz Brezec,Raymond Felton,1,10:17,CHA,rebound,,,,,,,,,,Jason Richardson,,,,,,def,,
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Emeka Okafor,Jared Dudley,Jason Richardson,Primoz Brezec,Raymond Felton,1,10:04,CHA,shot,,,,,,,,,,Jason Richardson,,,,missed,,jump,41,17
Kendrick Perkins,Kevin Garnett,Paul Pierce,Rajon Rondo,Ray Allen,Emeka Okafor,Jared Dudley,Jason Richardson,Primoz Brezec,Raymond Felton,1,10:02,CHA,rebound,,,,,,,,,,Primoz Brezec,,,,,,off,,
